Block,Time,KOLDAM,ANTA_LF,KISHANGANGA,JHAJJAR,TANAKPUR,TANDA2,SINGRAULI,RIHAND2,UNCHAHAR2,NJPC,DADRI_CRF,TEHRI,RIHAND3,CHAMERA3,DULHASTI,CHAMERA1,RIHAND1,ANTA_RF,UNCHAHAR1,RAPPB,AURY_RF,AURY_LF,AURY_CRF,AURY_GF,UNCHAHAR4,SINGRAULI_HYDRO,CHAMERA2,DADRI_LF,KHSTPP-II,URI2,URI,SASAN,DHAULIGNGA,RAPPC,FSTPP I & II,DADRI_RF,SEWA2,TALA,KHSTPP-I,BSIUL,PARBATI3,ANTA_CRF,BRBCL,RAMPUR,UNCHAHAR3,NAPP,DADRT2,DADRI_GF,ANTA_GF,KOTESHWR,SALAL,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,555.737500,12.628482,0.000000,134.643115,114.167812,37.453582,148.457686,0.000000,65.029986,119.522827,28.089204,47.780431,41.230890,43.492500,0.000000,11.600420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.961436,38.186531,0.000000,141.361160,31.333273,45.348180,402.184812,35.365878,49.182189,13.413184,2.451002,15.274612,26.994345,31.093272,0.000000,15.379431,0.000000,14.497500,0.000000,19.900718,36.850325,395.693702,0.000000,0.000000,35.259853,83.107402,23.97,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,555.737500,12.628482,0.000000,134.643115,114.167812,35.391007,148.457686,0.000000,65.029986,119.522827,28.089204,47.780431,41.230890,43.492500,0.000000,11.600420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.961436,38.186531,0.000000,141.361160,31.333273,45.348180,402.305625,35.365878,49.182189,13.413184,0.000000,15.274612,26.994345,31.093272,0.000000,15.379431,0.000000,14.497500,0.000000,19.900718,36.850325,444.018702,0.000000,0.000000,35.259853,83.107402,9.66,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,555.737500,12.628482,0.000000,134.643115,114.167812,35.391007,148.457686,0.000000,65.029986,119.522827,28.089204,47.780431,41.230890,43.492500,0.000000,11.600420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.961436,38.186531,0.000000,141.361160,30.553191,45.348180,402.305625,35.365878,49.182189,13.413184,0.000000,15.274612,26.994345,31.093272,0.000000,3.075886,0.000000,14.497500,0.000000,19.900718,36.850325,492.343702,0.000000,0.000000,35.259853,83.107402,9.66,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,526.742500,12.628482,0.000000,134.643115,114.167812,35.391007,148.457686,0.000000,65.029986,119.522827,28.089204,47.780431,41.230890,43.492500,0.000000,11.600420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.961436,38.186531,0.000000,141.361160,30.553191,45.348180,402.305625,35.365878,49.182189,13.413184,0.000000,15.274612,26.994345,31.093272,0.000000,3.075886,0.000000,14.497500,0.000000,19.900718,36.850325,492.343702,0.000000,0.000000,35.259853,83.107402,9.66,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,507.412500,12.628482,0.000000,134.643115,114.167812,35.391007,148.457686,0.000000,65.029986,119.522827,28.089204,47.780431,41.230890,24.162500,0.000000,11.514507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.961436,38.186531,0.000000,141.361160,30.553191,45.348180,402.305625,35.365878,49.182189,13.413184,0.000000,15.274612,26.994345,31.092402,0.000000,3.075886,0.000000,14.497500,0.000000,19.900718,36.850325,492.343702,0.000000,0.000000,35.259853,83.107402,9.66,0,0,0,0,0

