Block,Time,KGSU3AND4,KHSTPP-II,KISHANGANGA,KOTESHWR,KUDGI,NLCEXP,NLCIIST2,NNTPP,RAMPUR,RAPPD,SIMHST2,TALA,TALST2,TANDA2,ANTA_CRF,FSTPP I & II,NJPC,NLCIIST1,RIHAND3,SALAL,SASAN,AURY_GF,CHAMERA2,RIHAND1,RSTPSU1TO6,TANAKPUR,UNCHAHAR3,ANTA_RF,AURY_LF,AURY_RF,DADRI_CRF,DADRI_RF,DADRT2,DHAULIGNGA,KGSU1AND2,KHSTPP-I,NTPL,PARBATI2,SINGRAULI,TelanganaSTPP,UNCHAHAR2,ANTA_GF,SINGRAULI_HYDRO,VALLURNTECL,AURY_CRF,BRBCL,BSIUL,DULHASTI,JHAJJAR,KKNPPU2,KOLDAM,NAPP,PARBATI3,RIHAND2,SIMHST1,UNCHAHAR1,UNCHAHAR4,CHAMERA1,MAPS,NLCTS2EXP,RAPPC,URI,URI2,DADRI_GF,DADRI_LF,CHAMERA3,KKNP,RAPPB,RSTPSU7,SEWA2,TEHRI,ANTA_LF
1,00:00-00:15,0,148.3,8.63,10.43,0,0,0,0,2.98,30,0,0,0,5.7,0,18.2,75.04,0,130.79,79.38,412.88,0,48.81,97.23,0,0,27.68,51.17,0,55.19,0,98.41,688.58,10.95,0,45.53,0,13.52,150.34,0,31.57,0,1,0,0,15,19.56,59.5,448.67,0,0,26.03,16.88,124.58,0,21.64,2.3,42.15,0,0,69.23,50.23,38.56,0,0,23.33,0,0,0,18.9,36.84,0

2,00:15-00:30,0,148.3,8.63,10.43,0,0,0,0,2.98,30,0,0,0,5.7,0,18.2,75.04,0,130.79,79.38,412.88,0,48.81,97.23,0,0,27.68,51.17,0,55.19,0,98.41,688.58,10.95,0,45.53,0,13.52,150.34,0,31.57,0,1,0,0,15,19.56,59.5,448.67,0,0,26.03,16.88,124.58,0,21.64,2.3,42.15,0,0,69.23,50.23,38.56,0,0,23.33,0,0,0,18.9,36.84,0

3,00:30-00:45,0,148.3,8.63,10.43,0,0,0,0,2.98,30,0,0,0,5.7,0,18.2,75.04,0,130.79,79.38,412.88,0,48.81,97.23,0,6.27,27.68,51.17,0,55.19,0,98.41,688.58,10.95,0,45.53,0,13.52,150.34,0,31.57,0,1,0,0,15,19.56,59.5,448.67,0,0,26.03,19.64,124.58,0,21.64,2.3,42.15,0,0,69.23,50.23,38.56,0,0,23.33,0,0,0,18.9,36.84,0

4,00:45-01:00,0,148.3,8.63,10.43,0,0,0,0,2.98,30,0,0,0,5.7,0,18.2,75.04,0,130.79,79.38,412.88,0,48.81,97.23,0,6.27,27.68,51.17,0,55.19,0,98.41,688.58,10.95,0,45.53,0,13.52,150.34,0,31.57,0,1,0,0,15,19.56,59.5,448.67,0,0,26.03,19.64,124.58,0,21.64,2.3,42.15,0,0,69.23,52.36,38.56,0,0,23.33,0,0,0,18.9,36.84,0

5,01:00-01:15,0,148.3,8.63,10.43,0,0,0,0,2.98,30,0,0,0,5.7,0,18.2,75.04,0,130.79,79.38,412.88,0,32.53,97.23,0,6.27,27.68,51.17,0,55.19,0,98.41,688.58,10.95,0,45.53,0,13.52,150.34,0,31.57,0,1,0,0,15,19.56,59.5,448.67,0,0,26.03,19.64,124.58,0,21.64,2.3,42.15,0,0,69.23,52.36,35.34,0,0,23.33,0,0,0,18.9,36.84,0

6,01:15-01:30,0,148.3,8.63,10.43,0,0,0,0,2.98,30,0,0,0,5.7,0,18.2,75.04,0,130.79,79.38,412.88,0,32.53,97.23,0,6.27,27.68,51.17,0,55.19,0,98.41,688.58,10.95,0,45.53,0,13.52,150.34,0,31.57,0,1,0,0,15,19.56,59.5,448.67,0,0,26.03,19.64,124.58,0,21.64,2.3,42.15,0,0,69.23,52.36,35.34,0,0,23.33,0,0,0,18.9,35.39,0

7,01:30-01:45,0,148.3,8.63,10.43,0,0,0,0,2.98,30,0,0,0,5.7,0,18.2,75.04,0,130.79,79.38,412.88,0,32.53,97.23,0,6.27,27.68,51.17,0,55.19,0,101.14,688.58,10.95,0,45.53,0,13.52,150.34,0,35.13,0,1,0,0,15,13.04,59.5,448.67,0,0,26.03,19.64,124.58,0,21.64,2.3,42.15,0,0,69.23,52.36,35.34,0,0,23.33,0,0,0,18.9,35.39,0

8,01:45-02:00,0,148.3,8.63,10.43,0,0,0,0,2.98,30,0,0,0,5.7,0,18.2,75.04,0,130.79,79.38,412.88,0,32.53,97.23,0,6.27,27.68,51.17,0,76.74000000000001,0,101.14,688.58,0,0,45.53,0,13.52,150.34,0,38.7,0,1,0,0,15,13.04,59.5,448.67,0,0,26.03,19.64,124.58,0,21.64,2.3,42.15,0,0,69.23,52.36,35.34,0,0,23.33,0,0,0,18.9,23.59,0

9,02:00-02:15,0,148.3,8.63,10.43,0,0,0,0,2.98,30,0,0,0,5.7,0,18.2,75.04,0,130.79,79.38,412.88,0,32.53,97.23,0,0,27.68,51.17,0,76.74000000000001,0,101.14,688.58,0,0,45.53,0,13.52,150.34,0,41.06,0,1,0,0,15,13.04,59.5,448.67,0,0,26.03,19.64,124.58,0,21.64,2.3,42.15,0,0,69.23,52.36,35.34,0,0,23.33,0,0,0,18.9,23.59,0

10,02:15-02:30,0,148.3,8.63,10.43,0,0,0,0,2.98,30,0,0,0,5.7,0,18.2,75.04,0,130.79,79.38,412.88,0,32.53,97.23,0,0,27.68,51.17,0,76.74000000000001,0,101.14,688.58,0,0,45.53,0,13.52,150.34,0,44.5,0,1,0,0,15,13.04,59.5,448.67,0,0,26.03,19.64,124.58,0,21.64,2.3,42.15,0,0,69.23,50.23,35.34,0,0,23.33,0,0,0,12.61,11.8,0

11,02:30-02:45,0,148.3,8.63,10.43,0,0,0,0,2.98,30,0,0,0,5.7,0,18.2,75.04,0,130.79,53.45,412.88,0,32.53,97.23,0,0,27.68,51.17,0,76.74000000000001,0,98.4,688.58,0,0,45.53,0,13.52,150.34,0,44.5,0,1,0,0,15,13.04,59.5,448.67,0,0,26.03,19.64,124.58,0,21.64,2.3,42.15,0,0,69.23,50.23,35.34,0,0,23.33,0,0,0,12.61,11.8,0

12,02:45-03:00,0,148.3,8.63,10.43,0,0,0,0,2.98,30,0,0,0,5.7,0,18.2,75.04,0,130.79,53.45,412.88,0,32.53,97.23,0,0,27.68,51.17,0,76.74000000000001,0,98.4,688.58,0,0,45.53,0,13.52,150.34,0,44.5,0,1,0,0,15,13.04,59.5,448.67,0,0,26.03,19.64,124.58,0,21.64,2.3,42.15,0,0,69.23,50.23,35.34,0,0,23.33,0,0,0,12.61,0,0

13,03:00-03:15,0,148.3,8.63,10.43,0,0,0,0,2.98,30,0,0,0,5.7,0,18.2,75.04,0,130.79,53.45,412.88,0,32.53,97.23,0,0,27.68,51.17,0,76.74000000000001,0,98.4,688.58,0,0,45.53,0,13.52,150.34,0,44.5,0,1,0,0,15,13.04,59.5,448.67,0,0,26.03,19.64,124.58,0,21.64,2.3,42.15,0,0,69.23,50.23,35.34,0,0,23.33,0,0,0,12.61,0,0

14,03:15-03:30,0,148.3,8.63,10.43,0,0,0,0,2.98,30,0,0,0,5.7,0,18.2,75.04,0,130.79,53.45,412.88,0,32.53,97.23,0,0,27.68,51.17,0,76.74000000000001,0,98.4,688.58,0,0,45.53,0,13.52,150.34,0,44.5,0,1,0,0,15,13.04,59.5,448.67,0,0,26.03,19.64,124.58,0,21.64,2.3,42.15,0,0,69.23,50.23,35.34,0,0,23.33,0,0,0,12.61,0,0

15,03:30-03:45,0,148.3,8.63,10.43,0,0,0,0,2.98,30,0,0,0,5.7,0,18.2,75.04,0,130.79,53.45,412.88,0,32.53,97.23,0,0,27.68,51.17,0,76.74000000000001,0,98.4,688.58,0,0,45.53,0,13.52,150.34,0,44.5,0,1,0,0,15,13.04,59.5,448.67,0,0,26.03,19.64,124.58,0,21.64,2.3,42.15,0,0,69.23,50.23,35.34,0,0,23.33,0,0,0,12.61,0,0

