Block,Time,PARBATI3,DADRI_RF,URI2,SINGRAULI_HYDRO,RAPPC,RAPPB,DADRT2,CHAMERA2,JHAJJAR,UNCHAHAR2,CHAMERA1,RAMPUR,AURY_GF,DADRI_LF,ANTA_CRF,ANTA_LF,SEWA2,TEHRI,TANDA2,TALA,KHSTPP-II,KUDGI,FSTPP I & II,KHSTPP-I,BRBCL,SASAN,UNCHAHAR4,DHAULIGNGA,NJPC,ANTA_GF,RIHAND2,AURY_LF,RIHAND3,NAPP,KOLDAM,KISHANGANGA,DADRI_GF,AURY_CRF,SALAL,AURY_RF,BSIUL,URI,DULHASTI,RIHAND1,CHAMERA3,SINGRAULI,UNCHAHAR3,ANTA_RF,UNCHAHAR1,DADRI_CRF,KOTESHWR,TANAKPUR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,31.271676,0.922640,49.207911,0.000000,662.467947,0.000000,313.162309,30.220822,41.149836,0.000000,0.000000,0.000000,0.000000,0.000000,15.244585,43.997335,0.000000,25.523316,142.293572,36.65,15.754330,29.275610,14.901834,400.429575,0.000000,35.296354,0.000000,0.000000,113.943375,0.000000,119.287862,38.323172,0.000000,0.000000,0.000000,0.000000,81.935246,0.000000,0.000000,45.791491,15.841047,88.743200,0.000000,99.764237,25.455890,0.000000,19.277531,0.000000,15.407749,11.985830,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,31.271676,0.922640,49.207911,0.000000,662.467947,0.000000,313.162309,30.220822,41.149836,0.000000,0.000000,0.000000,0.000000,0.000000,15.244585,43.997335,0.000000,25.523316,142.293572,33.76,15.754330,29.275610,15.047188,400.429575,0.000000,35.296354,0.000000,0.000000,113.943375,0.000000,119.287862,38.323172,0.000000,0.000000,0.000000,0.000000,81.935246,0.000000,0.000000,45.791491,15.841047,88.743200,0.000000,99.764237,25.455890,0.000000,19.277531,0.000000,15.407749,11.985830,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,31.271676,0.922640,49.207911,0.000000,662.467947,0.000000,313.162309,30.220822,41.149836,0.000000,0.000000,0.000000,0.000000,0.000000,15.244585,32.998001,0.000000,25.523316,142.293572,31.83,15.754330,29.275610,15.573738,400.429575,0.000000,35.296354,0.000000,0.000000,113.943375,0.000000,119.287862,38.323172,0.000000,0.000000,0.000000,0.000000,81.935246,0.000000,0.000000,45.791491,15.841047,88.743200,0.000000,99.764237,25.455890,0.000000,19.277531,0.000000,15.407749,11.985830,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,31.271676,0.922640,49.207911,0.000000,626.451850,0.000000,313.162309,30.220822,41.149836,0.000000,0.000000,0.000000,0.000000,0.000000,15.244585,32.998001,0.000000,25.523316,142.293572,30.87,15.754330,29.275610,14.240987,400.429575,0.000000,35.296354,0.000000,0.000000,113.943375,0.000000,119.287862,38.323172,0.000000,0.000000,0.000000,0.000000,81.935246,0.000000,0.000000,45.791491,15.841047,88.743200,0.000000,99.764237,25.455890,0.000000,19.277531,0.000000,15.407749,11.985830,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,30.768215,0.922640,49.207911,0.000000,578.221850,0.000000,306.964754,27.558429,41.149836,0.000000,0.000000,0.000000,0.000000,0.000000,15.244585,32.998001,0.000000,25.523316,114.526186,28.94,15.349776,26.541741,15.901431,400.429575,0.000000,35.296354,0.000000,0.000000,113.943375,0.000000,119.287862,38.323172,0.000000,0.000000,0.000000,0.000000,81.935246,0.000000,0.000000,45.791491,15.841047,88.743200,0.000000,99.764237,21.027894,7.089810,16.601152,0.000000,15.407749,11.985830,0,0,0,0,0

