Block,Time,BRBCL,DHAULIGNGA,DULHASTI,KGSU3AND4,RAPPC,RIHAND2,TEHRIPSP,UNCHAHAR3,URI,CHAMERA3,DADRT2,KUDGI,MAPS,NJPC,NLCTS2EXP,SALAL,SASAN,TEHRI,ANTA_RF,AURY_CRF,AURY_LF,DADRI_RF,NLCIIST1,NLCIIST2,NTPL,UNCHAHAR1,KGSU1AND2,KHSTPP-II,RAPPD,RIHAND1,TALST2,AURY_RF,DADRI_GF,FSTPP I & II,JHAJJAR,KHSTPP-I,NAPP,RSTPSU7,SINGRAULI,UNCHAHAR4,URI2,VALLURNTECL,ANTA_GF,BSIUL,KKNPPU2,KOLDAM,RSTPSU1TO6,SEWA2,TANDA2,ANTA_CRF,AURY_GF,DADRI_CRF,CHAMERA2,KISHANGANGA,NLCEXP,NNTPP,RAMPUR,RAPPB,RIHAND3,SIMHST1,SIMHST2,SINGRAULI_HYDRO,TALA,TANAKPUR,TelanganaSTPP,CHAMERA1,KKNP,KOTESHWR,PARBATI2,PARBATI3,UNCHAHAR2,ANTA_LF,DADRI_LF
1,00:00-00:15,24.99,42.46,38.32,0,65.43,125.27,192.57,14.49,4.41,22.61,689.01,0,0,175.8,0,81.34,416.25,82.36,52.09,0,0,106.06,0,0,0,21.65,0,98.87,40.15,48.09,0,82.48,0,18.07,589.99,45.53,24.11,0,74.95,2.94,37.41,0,0,19.56,0,8.63,0,18.34,5.23,0,0,0,31.41,6.97,0,0,5.68,0,130.84,0,0,0,23.52,1.79,0,42.15,0,45.08,25.69,50.55,44.05,0,0

2,00:15-00:30,24.99,42.46,38.32,0,65.43,125.27,192.57,14.49,4.41,22.61,689.01,0,0,175.8,0,81.34,416.25,82.36,52.09,0,0,106.06,0,0,0,21.65,0,98.87,40.15,48.09,0,82.48,0,18.07,537.72,45.53,24.11,0,74.95,1.94,37.41,0,0,19.56,0,8.63,0,18.34,5.23,0,0,0,31.41,6.97,0,0,5.68,0,130.84,0,0,0,23.52,1.79,0,42.15,0,45.08,25.69,50.55,43.91,0,0

3,00:30-00:45,24.99,42.46,38.32,0,65.43,125.27,192.57,14.49,4.41,22.61,689.01,0,0,175.8,0,81.34,416.25,82.36,52.09,0,0,106.06,0,0,0,21.65,0,98.87,40.15,48.09,0,82.48,0,18.07,495.68,45.53,24.11,0,74.95,1.59,29.62,0,0,19.56,0,8.63,0,18.34,5.23,0,0,0,31.41,6.97,0,0,5.68,0,130.84,0,0,0,23.52,1.79,0,42.15,0,45.08,25.69,52.04,43.91,0,0

4,00:45-01:00,24.99,42.46,38.32,0,65.43,125.27,192.57,14.49,4.41,22.61,689.01,0,0,175.8,0,81.34,416.25,82.36,52.09,0,0,106.06,0,0,0,21.65,0,98.87,40.15,48.09,0,82.48,0,18.07,667.27,45.53,24.11,0,74.95,1.59,29.62,0,0,19.56,0,8.63,0,18.34,5.23,0,0,0,31.41,6.97,0,0,5.68,0,130.84,0,0,0,23.52,9.86,0,42.15,0,45.08,25.69,52.04,43.91,0,0

5,01:00-01:15,24.99,42.46,38.32,0,65.43,125.27,192.57,18.11,4.41,22.61,689.01,0,0,175.8,0,81.34,416.25,82.36,52.34,0,0,106.06,0,0,0,21.65,0,98.87,40.15,48.09,0,82.48,0,18.07,573.57,45.53,24.11,0,74.95,1.59,37.41,0,0,19.56,0,8.63,0,18.34,5.23,0,0,0,31.41,6.97,0,0,5.68,0,130.84,0,0,0,23.52,9.86,0,42.15,0,45.08,25.69,52.04,43.91,0,0

