Column1,Block,NR/2024/23639/A/41673,NR/2024/23640/A/41672,NR/2024/23384/A/41641,NR/2024/23694/A/41667,NR/2024/23383/A/41634,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/8106,NR/2024/23753/C,NR/2024/23382/A/41804,NR/2024/23754/C,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/3642,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/16/2350,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/16/4393,Total
,,SJVNL,SJVNL,IEXL,DIAPL,ITCLH,BAWANA_GAS,NDMC,NDMC,NDMC,TPDDL,NVVNL,NVVNL,APPCPL,NDMC,DELHI,PTC,PUNJAB,NDMC,PTC,
,,NA,NA,KARNATAKA_STATE,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,DELHI_UT,NA,NA,NA,NA,NA,NA,DELHI_UT,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,NA,DELHI_UT,
,,RSRPL_BKN,TPSL_BKN2,NSLSUGAR,GBHHPL,ITCWIND,BAWANA_GAS,RKM_POWER,JPL2,TRN_ENERGY,JHAJJAR,JITPL,SOLAPUR_SOLAR,BYPL,RKM_POWER,CHANJUII,BYPL,BAWANA_GAS,SKS_Raigarh,BRPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,HIMACHAL_STATE,PUNJAB_STATE,DELHI_UT,HIMACHAL_STATE,
,,NDMC,NDMC,MES_Delhi,DIAPL,ITCLH,HARYANA,NDMC,NDMC,NDMC,TPDDL,NDMC,MES_Delhi,AEML,NDMC,TPDDL,HP,PUNJAB,NDMC,HP,
,,North-North,North-North,South-West-North,North-North,South-West-North,North-North,West-North,West-North,West-North,North-North,East-North,West-North,North-West,West-North,North-North,North-North,North-North,West-North,North-North,
1,00:00-00:15,0,0,6.75,2.89,0.58,25.4,26.02,26.02,8.67,0,17.52,0,200,26.02,4.41,47.56,25.4,8.67,142.69,568.6

2,00:15-00:30,0,0,6.75,2.89,0.58,25.4,26.02,26.02,8.67,0,17.52,0,200,26.02,4.41,47.56,25.4,8.67,142.69,568.6

3,00:30-00:45,0,0,6.75,2.89,0.58,25.4,26.02,26.02,8.67,0,17.52,0,200,26.02,4.41,47.56,25.4,8.67,142.69,568.6

4,00:45-01:00,0,0,6.75,2.89,0.58,25.4,26.02,26.02,8.67,0,17.52,0,200,26.02,4.41,47.56,25.4,8.67,142.69,568.6

5,01:00-01:15,0,0,6.75,2.89,0.53,25.4,26.02,26.02,8.67,0,17.52,0,200,26.02,4.33,47.56,25.4,8.67,142.69,568.47

6,01:15-01:30,0,0,6.75,2.89,0.53,25.4,26.02,26.02,8.67,0,17.52,0,200,26.02,4.33,47.56,25.4,8.67,142.69,568.47

7,01:30-01:45,0,0,6.75,2.89,0.53,25.4,26.02,26.02,8.67,0,17.52,0,200,26.02,4.33,47.56,25.4,8.67,142.69,568.47

8,01:45-02:00,0,0,6.75,2.89,0.53,25.4,26.02,26.02,8.67,0,17.52,0,200,26.02,4.33,47.56,25.4,8.67,142.69,568.47

9,02:00-02:15,0,0,6.75,2.89,0.48,24.37,26.02,26.02,8.67,0,17.52,0,0,26.02,4.33,47.56,24.37,8.67,142.69,366.36

10,02:15-02:30,0,0,6.75,2.89,0.48,24.37,26.02,26.02,8.67,0,17.52,0,0,26.02,4.33,47.56,24.37,8.67,142.69,366.36

11,02:30-02:45,0,0,6.75,2.89,0.48,24.37,26.02,26.02,8.67,0,17.52,0,0,26.02,4.33,47.56,24.37,8.67,142.69,366.36

12,02:45-03:00,0,0,6.75,2.89,0.48,24.37,26.02,26.02,8.67,0,17.52,0,0,26.02,4.33,47.56,24.37,8.67,142.69,366.36

13,03:00-03:15,0,0,6.75,2.89,0.43,24.37,26.02,26.02,8.67,0,17.52,0,0,26.02,4.33,47.56,24.37,8.67,142.69,366.31

14,03:15-03:30,0,0,6.75,2.89,0.43,24.37,26.02,26.02,8.67,0,17.52,0,0,26.02,4.33,47.56,24.37,8.67,142.69,366.31

15,03:30-03:45,0,0,6.75,2.89,0.43,24.37,26.02,26.02,8.67,0,17.52,0,0,26.02,4.33,47.56,24.37,8.67,142.69,366.31

16,03:45-04:00,0,0,6.75,2.89,0.43,24.37,26.02,26.02,8.67,0,17.52,0,0,26.02,4.33,47.56,24.37,8.67,142.69,366.31

17,04:00-04:15,0,0,6.75,2.89,0.43,24.37,26.02,26.02,8.67,0,17.52,0,0,26.02,4.33,47.56,24.37,8.67,142.69,366.31

18,04:15-04:30,0,0,6.75,2.89,0.43,24.37,26.02,26.02,8.67,0,17.52,0,0,26.02,4.33,47.56,24.37,8.67,142.69,366.31

19,04:30-04:45,0,0,6.75,2.89,0.43,24.37,26.02,26.02,8.67,0,17.52,0,0,26.02,4.33,47.56,24.37,8.67,142.69,366.31

20,04:45-05:00,0,0,6.75,2.89,0.43,24.37,26.02,26.02,8.67,0,17.52,0,0,26.02,4.33,47.56,24.37,8.67,142.69,366.31

21,05:00-05:15,0,0,6.75,2.89,0.48,24.37,26.02,26.02,8.67,0,17.52,0,0,26.02,4.33,47.56,24.37,8.67,142.69,366.36

22,05:15-05:30,0,0,6.75,2.89,0.48,24.37,26.02,26.02,8.67,0,17.52,0,0,26.02,4.33,47.56,24.37,8.67,142.69,366.36

23,05:30-05:45,0,0,6.75,2.89,0.48,24.37,26.02,26.02,8.67,0,17.52,0,0,26.02,4.33,47.56,24.37,8.67,142.69,366.36

24,05:45-06:00,0,0,6.75,2.89,0.48,24.37,26.02,26.02,8.67,0,17.52,0,0,26.02,4.33,47.56,24.37,8.67,142.69,366.36

25,06:00-06:15,0,0,6.75,2.89,0.53,26.91,26.02,26.02,8.67,0,17.52,0,0,26.02,4.23,0,26.91,8.67,0,181.13999999999996

26,06:15-06:30,0,0,6.75,2.89,0.53,26.91,26.02,26.02,8.67,0,17.52,0,0,26.02,4.23,0,26.91,8.67,0,181.13999999999996

27,06:30-06:45,0,0,6.75,2.89,0.53,26.91,26.02,26.02,8.67,0,17.52,0,0,26.02,4.23,0,26.91,8.67,0,181.13999999999996

28,06:45-07:00,0,0,6.75,2.89,0.53,26.91,26.02,26.02,8.67,0,17.52,0.16,0,26.02,4.23,0,26.91,8.67,0,181.29999999999995

29,07:00-07:15,0,0,6.75,2.89,0.58,26.91,26.02,26.02,8.67,0,17.52,0.39,0,26.02,4.23,0,26.91,8.67,0,181.57999999999998

30,07:15-07:30,0,0,6.75,2.89,0.58,26.91,26.02,26.02,8.67,0,17.52,0.87,0,26.02,4.23,0,26.91,8.67,0,182.05999999999997

31,07:30-07:45,0,0,6.75,2.89,0.58,26.91,26.02,26.02,8.67,0,17.52,1.45,0,26.02,4.23,0,26.91,8.67,0,182.64

32,07:45-08:00,0,0,6.75,2.89,0.58,26.91,26.02,26.02,8.67,0,17.52,1.88,0,26.02,4.23,0,26.91,8.67,0,183.06999999999996

33,08:00-08:15,0,0,6.75,2.89,0.96,26.91,26.02,26.02,8.67,0,17.52,2.51,0,26.02,4.23,0,26.91,8.67,0,184.07999999999998

34,08:15-08:30,0,0,6.75,2.89,0.96,26.91,26.02,26.02,8.67,0,17.52,2.8,0,26.02,4.23,0,26.91,8.67,0,184.36999999999998

35,08:30-08:45,0,0,6.75,2.89,0.96,26.91,26.02,26.02,8.67,0,17.52,3.37,0,26.02,4.23,0,26.91,8.67,0,184.93999999999997

36,08:45-09:00,0,0,6.75,2.89,0.96,26.91,26.02,26.02,8.67,0,17.52,3.76,0,26.02,4.23,0,26.91,8.67,0,185.32999999999998

37,09:00-09:15,42.41,10.6,6.75,2.89,0.87,26.91,26.02,26.02,8.67,0,17.52,4.34,0,26.02,4.23,0,26.91,8.67,0,238.82999999999998

38,09:15-09:30,42.41,10.6,6.75,2.89,0.87,26.91,26.02,26.02,8.67,0,17.52,4.63,0,26.02,4.23,0,26.91,8.67,0,239.11999999999998

39,09:30-09:45,42.41,10.6,6.75,2.89,0.87,26.91,26.02,26.02,8.67,0,17.52,4.82,0,26.02,4.23,0,26.91,8.67,0,239.30999999999997

