Time,Block,NR/2024/19172/A/13941,NR/2024/18976/A/13322,NR/2024/18986/A/13405,NR/2024/19030/A/13289,NR/2024/19075/A/13260,NR/2024/19252/C,NR/2024/18977/A/13321,NR/2024/18934/A/13335,NR/2024/19115/A/13368,NR/2024/19247/C,NR/2024/18855/A/13601,NR/2024/18978/A/13319,NR/2024/18935/A/13334,NR/2024/19043/A/13270,NR/2024/18936/A/13333,NR/2024/18919/A/13847,NR/2024/19244/C,NR/2024/19243/C,NR/2024/19121/A/13599,NR/2024/18996/A/13831,NR/2024/19259/C,NR/2024/19143/A/13365,NR/2024/19024/A/13399,Total
,,TPDDL,PXIL,ITCLH,IEXL,IEXL,PXIL,PXIL,PXIL,IEXL,DIAPL,GMRETL,PXIL,PXIL,IEXL,PXIL,APPCPL,NVVNL,NVVNL,GMRETL,PTC,IEXL,IEXL,DIAPL,Total

,,NA,ODISHA,ANDHRA PRADESH,NA,ODISHA,DVC,NA,TAMIL NADU,MAHARASHTRA,HIMACHAL PRADESH,RAJASTHAN,TAMIL NADU,TAMIL NADU,NA,TAMIL NADU,NAGALAND,NA,NA,RAJASTHAN,MAHARASHTRA,NA,DELHI,HIMACHAL PRADESH,
,,JHAJJAR,FACORPOWER,ITCWIND,JHABUA_IPP,VSL,DVC,MEENAKSHI,SAKTHISUGRAR_TN,SWPL,GBHHPL,RUVNL,BIRLACARBONTN,SAKTHISUGARS_ELMTN,MBMP,SAKTHISUGARSLTD,Nagaland_Ben,KAMENG,SOLAPUR_SOLAR,RUVNL,JPL_DHULE,JPL-2,EDWPCL12,GBHHPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,
,,TPDDL,BRPL,ITCLH,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,DIAPL,BYPL,BRPL,BRPL,BRPL,BRPL,BYPL,TPDDL,MES (Delhi),BYPL,BRPL,TPDDL,UPPCL,DIAPL,
,,North-North,East-West-North,South-West-North,West-East-North,East-North,East-North,South-West-North,South-West-North,West-East-North,North-North,North-North,South-West-North,South-West-North,West-East-North,South-West-North,North East-East-North,North East-East-North,West-North,North-North,West-North,West-North,North-North,North-North,
1,00:00-00:15,116.090000,0.000000,0.530000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,48.370000,2.000000,4.840000,390.25

2,00:15-00:30,116.090000,0.000000,0.530000,0.000000,0.000000,96.740000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,9.670000,45.080000,0,0.000000,0.000000,48.370000,2.000000,4.840000,390.25
