Block,Time Block,DADRT2,CHAMERA1,DHAULIGNGA,FSTPP I & II,DULHASTI,BRBCL,BSIUL,CHAMERA3,CHAMERA2,KGSU3AND4,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,JHAJJAR,KGSU1AND2,MAPS,KUDGI,NAPP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,NLCEXP,NTPL,PARBATI3,RAPPB,RIHAND2,RIHAND1,RAMPUR,RAPPC,RIHAND3,RSTPSU1TO6,SASAN,SINGRAULI_HYDRO,RSTPSU7,SIMHST1,SALAL,SEWA2,SIMHST2,SINGRAULI,TALA,TEHRI,TANDA2,TALST2,TANAKPUR,TelanganaSTPP,UNCHAHAR2,UNCHAHAR1,URI2,ANTA_LF,UNCHAHAR3,ANTA_GF,ANTA_CRF,URI,VALLURNTECL,UNCHAHAR4,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,657.81,40.84,39.14,20.15,52.12,19.38,12.63,31.08,42.84,0,9.36,95.8,0,0,5.18,4.23,32.64,391.28,0,0,0,43.59,0,161.9,0,0,0,0,0,17.01,0,117.92,84.73,3.43,58.65,123.63,0,331.36,0,0,0,81.07,16.83,0,116.98,4.84,34.34,0,0,8.44,0,38.64,19.18,34.93,0,24.37,0,0,21.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,657.81,40.84,39.14,20.15,52.12,16.66,12.63,31.08,42.84,0,9.36,95.8,0,0,5.18,4.23,32.64,391.85,0,0,0,43.59,0,161.9,0,0,0,0,0,17.01,0,117.92,84.73,3.43,58.65,123.63,0,331.36,0,0,0,81.07,16.83,0,116.98,4.84,34.34,0,0,8.44,0,38.64,19.92,34.93,0,25.58,0,0,21.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,657.81,40.84,39.14,20.15,52.12,14.32,12.63,31.08,42.84,0,9.36,95.8,0,0,5.18,4.23,32.64,340.06,0,0,0,43.59,0,161.9,0,0,0,0,0,17.01,0,117.92,84.73,3.43,58.65,123.63,0,331.36,0,0,0,81.07,16.83,0,116.98,1.71,34.34,0,0,8.44,0,38.64,19.92,34.93,0,25.58,0,0,43.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,600.47,40.84,39.14,20.15,52.12,11.96,12.63,31.08,42.84,0,9.36,95.8,0,0,5.18,4.23,32.64,255.72,0,0,0,43.59,0,161.9,0,0,0,0,0,17.01,0,117.92,84.73,3.43,58.65,123.63,0,331.36,0,0,0,81.07,16.83,0,116.98,1.71,34.34,0,0,8.44,0,38.64,19.92,34.93,0,25.58,0,0,43.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,600.47,40.84,39.14,20.15,52.12,10.7,12.63,31.08,42.84,0,9.36,95.8,0,0,5.18,4.23,32.64,197.59,0,0,0,43.59,0,161.9,0,0,0,0,0,17.01,0,117.92,84.73,3.43,58.65,123.63,0,331.36,0,0,0,81.07,16.83,0,116.98,1.71,34.34,0,0,8.44,0,41.07,18.19,34.93,0,25.58,0,0,43.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

