Block,Time,CHAMERA2,ANTA_RF,TANAKPUR,DADRI_LF,NAPP,DADRI_CRF,AURY_CRF,URI2,PARBATI3,UNCHAHAR2,BSIUL,TEHRI,UNCHAHAR1,CHAMERA3,KISHANGANGA,UNCHAHAR4,DADRT2,JHAJJAR,RIHAND2,CHAMERA1,KOLDAM,AURY_LF,RAPPB,DHAULIGNGA,KOTESHWR,SALAL,URI,RAMPUR,DADRI_GF,BRBCL,RIHAND3,FSTPP I & II,SASAN,KUDGI,KHSTPP-II,KHSTPP-I,TALA,ANTA_CRF,AURY_GF,ANTA_LF,UNCHAHAR3,RAPPC,SINGRAULI,ANTA_GF,SINGRAULI_HYDRO,NJPC,SEWA2,DULHASTI,DADRI_RF,RIHAND1,AURY_RF,TANDA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,3.713107,0.000000,19.399750,0.000000,0.000000,30.819250,0.000000,27.095340,0.000000,0.000000,4.831000,0.000000,0.000000,0.000000,289.360668,341.068600,54.783540,0.000000,0.000000,0.000000,0.000000,0.000000,8.574059,12.349968,48.000816,0.000000,0.000000,19.324022,119.485727,14.941897,404.615574,44.45,95.016108,43.691564,0.000000,0.000000,0.000000,0.000000,6.763400,24.644767,99.277050,0.000000,0.572986,0.000000,0.000000,15.921867,0.000000,88.890400,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,3.713107,0.000000,19.399750,0.000000,0.000000,30.819250,0.000000,18.646984,0.000000,0.000000,4.831000,0.000000,0.000000,0.000000,284.719236,341.068600,54.783540,0.000000,0.000000,0.000000,0.000000,0.000000,8.574059,68.486188,48.000816,0.000000,0.000000,19.324022,119.485727,14.941897,404.615574,44.45,95.016108,43.691564,0.000000,0.000000,0.000000,0.000000,6.763400,24.644767,99.277050,0.000000,0.572986,0.000000,0.000000,15.921867,0.000000,88.890400,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,11.519294,0.000000,19.399750,0.000000,0.000000,30.819250,0.000000,18.550364,0.000000,0.000000,4.802014,0.000000,0.000000,0.000000,246.821293,340.025104,54.783540,0.000000,0.000000,0.000000,0.000000,0.000000,8.574059,68.486188,8.533478,0.000000,0.000000,19.324022,119.485727,14.941897,404.615574,44.45,95.016108,43.691564,0.000000,0.000000,0.000000,0.000000,6.763400,24.644767,99.277050,0.000000,0.572986,0.000000,0.000000,15.921867,0.000000,88.890400,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,11.519294,0.000000,19.399750,0.000000,0.000000,30.819250,0.000000,18.550364,0.000000,0.000000,4.802014,0.000000,0.000000,0.000000,225.442866,340.025104,54.783540,0.000000,0.000000,0.000000,0.000000,0.000000,8.574059,68.486188,6.400109,0.000000,0.000000,17.291549,119.485727,20.029326,404.615574,44.45,95.016108,43.691564,0.000000,0.000000,0.000000,0.000000,6.763400,24.644767,99.277050,0.000000,0.572986,0.000000,0.000000,15.921867,0.000000,88.890400,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,11.519294,0.000000,19.399750,0.000000,0.000000,11.697590,0.000000,18.550364,0.000000,0.000000,4.802014,0.000000,0.000000,0.000000,215.780866,340.025104,54.783540,0.000000,0.000000,0.000000,0.000000,0.000000,8.574059,68.486188,6.400109,0.000000,0.000000,19.201961,119.485727,14.941897,404.615574,44.45,95.016108,36.333081,0.568126,0.000000,0.000000,0.000000,6.763400,24.644767,99.277050,0.000000,0.572986,0.000000,0.000000,15.921867,0.000000,88.890400,0.000000,0.000000,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,11.519294,0.000000,19.399750,0.000000,0.000000,9.098126,0.000000,18.550364,0.000000,0.000000,4.802014,0.000000,0.000000,0.000000,206.118866,340.025104,54.783540,0.000000,0.000000,0.000000,0.000000,0.000000,8.574059,12.349968,6.400109,0.000000,0.000000,17.423356,119.485727,14.941897,404.615574,44.45,95.016108,36.333081,0.568126,0.000000,0.000000,0.000000,6.763400,24.644767,99.277050,0.000000,0.572986,0.000000,0.000000,15.921867,0.000000,88.890400,0.000000,0.000000,0,0,0,0,0

