Column1,Block,NR/2025/26335/A/75947,NR/2025/26755/A/75790,GNARE/NR/2024/12/20/3668,NR/2025/27618/C,NR/2025/27600/C,NR/2025/27619/C,NR/2025/26233/A/76310,NR/2025/27525/C,NR/2025/26827/A/76297,NR/2025/27526/C,NR/2025/27527/C,NR/2025/27528/C,NR/2025/26822/A/76299,NR/2025/27529/C,NR/2025/27651/C,NR/2025/26082/A/76363,NR/2025/27532/C,NR/2025/27533/C,NR/2025/26005/A/75774,NR/2025/26336/A/75943,NR/2025/27558/C,NR/2025/27562/C,NR/2025/26265/A/76309,NR/2025/26202/A/76366,NR/2025/26191/A/75771,NR/2025/27597/C,NR/2025/27598/C,NR/2025/27613/C,NR/2025/26232/A/76311,NR/2025/26085/A/75796,NR/2025/26879/A/75945,NR/2025/26828/A/76296,NR/2025/27621/C,NR/2025/26785/A/75791,NR/2025/27615/C,NR/2025/25859/A/76206,NR/2025/26379/A/76204,NR/2025/26101/A/75944,NR/2025/27149/A/75928,NR/2025/26825/A/76298,NR/2025/26153/A/75792,NR/2025/26959/A/75930,NR/2025/26829/A/76295,NR/2025/26289/A/76308,NR/2025/26291/A/76307,NR/2025/25861/A/76208,NR/2025/25967/A/76205,NR/2025/25860/A/76207,NR/2025/26004/A/75773,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/8954,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/8068,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/2474,NR/2025/27593/C,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/4138,NR/2025/27649/C,NR/2025/27650/C,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6363,Total
,,BRPL,IEXL,SECI_Trader,APPCPL,NVVNL,APPCPL,HPXL,HPXL,APPCPL,HPXL,HPXL,HPXL,APPCPL,HPXL,GEPL_Trader,NVVNL,IEXL,IEXL,PXIL,BRPL,PXIL,PowerPulse,HPXL,NVVNL,PXIL,NVVNL,NVVNL,APPCPL,HPXL,ITCLH,BRPL,APPCPL,APPCPL,IEXL,APPCPL,PowerPulse,PowerPulse,GMRETL,DIAPL,APPCPL,IEXL,DIAPL,APPCPL,HPXL,HPXL,PowerPulse,PowerPulse,PowerPulse,PXIL,PXIL,HPXL,PUNJAB,BAWANA_GAS,PXIL,DELHI,PXIL,HPXL,NDMC,TPDDL,PXIL,PowerPulse,GEPL_Trader,GEPL_Trader,HPXL,IEXL,PXIL,JPL,PowerPulse,IEXL,SIMHAPURI,PXIL,
,,NA,NA,NA,NA,NA,NA,GEB_State,NA,NA,NA,MP_State,GEB_State,NA,GEB_State,NA,NA,NA,TAMILNADU_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GEB_State,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,NA,TAMILNADU_State,HIMACHAL_STATE,NA,NA,MP_State,NA,NA,NA,NA,NA,MSEB_State,DELHI_UT,DELHI_UT,CSEB_State,HIMACHAL_STATE,UTTARPRADESH_STATE,HIMACHAL_STATE,NA,NA,Meghalaya_State,NA,KARNATAKA_STATE,NA,NA,JK_and_LADAKH_UT,ODISHA_STATE,NA,NA,ODISHA_STATE,NA,ODISHA_STATE,
,,TS1PL_BKN,TPSL_BKN2,APSEPL_FTG,JPL2,JPNIGRIE_JNSTPP,TRN_ENERGY,PCBL_MUNDRA,JPL,JPL2,SIMHAPURI,Ultratech_Sidhi_MP,PCBL_PALEJ,SKS_Raigarh,PCBL_MUNDRA,SORANG_HEP,SKS_Raigarh,MBMP,SURYADEV_ALLOYSTN,SKS_Raigarh,DADRT2,JPNIGRIE_JNSTPP,COASTGEN,JPL,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,Kameng,SORANG_HEP,SKS_Raigarh,PCBL_PALEJ,ITCWIND,RIHAND3,TRN_ENERGY,RKM_POWER,MBMP,RKM_POWER,APL_Raipur_TPP,COASTGEN,GBHHPL,GBHHPL,RKM_POWER,SURYADEV_ALLOYSTN,GBHHPL,RKM_POWER,SIMHAPURI,Ultratech_Sidhi_MP,APL_Raipur_TPP,MAHAN_ENERGEN,APL_Raipur_TPP,ILFS,SINGOLI,GRETAENERGY,BAWANA_GAS,BAWANA_GAS,SKSIPL,CHANJUII,LAPL_UP,KGEPL_HP,JIPL,JHAJJAR,Meghalaya_Ben,COASTGEN,FORTUNE5PROJKAR,DIKCHU,JPL,O2ZTPL,FACORPOWER,JPL2,APL_Raipur_TPP,VSL,SIMHAPURI,FACORPOWER,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,MES_Delhi,TPDDL,NDMC,TPDDL,NDMC,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,NDMC,BRPL,BYPL,BYPL,NDMC,BRPL,BYPL,BRPL,BRPL,BRPL,BRPL,TPDDL,BRPL,TPDDL,TPDDL,NDMC,BRPL,ITCLH,BRPL,NDMC,NDMC,NDMC,NDMC,TPDDL,BRPL,TPDDL,DIAPL,NDMC,BRPL,DIAPL,NDMC,BRPL,BRPL,TPDDL,BRPL,TPDDL,BYPL,BRPL,BRPL,PUNJAB,HARYANA,BRPL,TPDDL,BRPL,BRPL,NDMC,TPDDL,BRPL,BRPL,BYPL,BYPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,
,,North-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,South-West-North,West-North,North-North,West-North,South-West-North,West-North,West-North,West-North,North East-East-North,North-North,West-North,West-North,South-West-North,North-North,West-North,West-North,West-North,West-North,West-North,South-West-North,North-North,North-North,West-North,South-West-North,North-North,West-North,South-West-North,West-North,West-North,West-North,West-North,South-West-North,North-North,West-North,North-North,North-North,West-North,North-North,North-North,North-North,East-North,North-North,North East-East-North,South-East-North,South-West-North,East-North,West-North,North-North,East-North,West-North,West-North,East-North,South-West-North,East-North,
1,00:00-00:15,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,108.55,0,0,4.83,0.77,33.81,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,144.92,48.3,28.98,5.8,30,30,10.63,15.07,28.98,13.53,17.56,62.8,67.63,0,27.8,88.61,0,0,14.49,82.12,164.24,0,20.53,14.49,2318.2799999999993

2,00:15-00:30,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,108.55,0,0,4.83,0.77,33.81,14.64,0,0,0,96.61,164.24,0,1.93,43.91,62.8,6.76,37.33,48.3,24.15,0,164.24,144.92,48.3,28.98,5.8,30,30,10.63,15.07,28.98,13.53,17.56,62.8,67.63,0,27.8,88.61,0,0,14.49,82.12,164.24,0,20.53,14.49,2318.2799999999993

