Block,Time,SH-07,LT_MEJA_Delhi,L_NR_2012_07,LT-59,L_NR_2012_01,LT-36,LT-05,SH-06,L_NR_2012_04,L_NR_2019_19,L_NR_2020_02,L_NR_2012_02,LT-35,L_NR_2019_11,LT-31,L_NR_2021_17,L_NR_2022_10,L_NR_2022_08,L_NR_2021_12,L_NR_2021_16,L_NR_2020_07,L_NR_2021_13,L_NR_2022_09,L_NR_2019_05,L_NR_2021_15,L_NR_2019_07,L_NR_2020_05,L_NR_2019_06,L_NR_2021_14,L_NR_2020_06,L_NR_2018_61
1,00:00-00:15,0.000000,6.170000,63.380000,4.510000,101.240000,0.000000,66.370000,0.000000,271.830000,0.000000,4.370000,261.530000,0.000000,4.380000,0.000000,0,26.79,5.77,0,0,11.16,0,26.79,0,0,0,33.46,0,0,11.15,4.62

2,00:15-00:30,0.000000,6.450000,63.380000,4.510000,101.240000,0.000000,66.370000,0.000000,271.830000,0.000000,4.370000,230.380000,0.000000,4.380000,0.000000,0,26.95,5.84,0,0,10.97,0,26.95,0,0,0,32.92,0,0,10.97,4.79

3,00:30-00:45,0.000000,6.450000,63.380000,4.510000,101.240000,0.000000,66.370000,0.000000,271.830000,0.000000,4.370000,201.390000,0.000000,4.380000,0.000000,0,19.27,5.89,0,0,8.88,0,19.27,0,0,0,26.66,0,0,8.89,7.45

4,00:45-01:00,0.000000,6.450000,63.380000,4.510000,101.240000,0.000000,66.370000,0.000000,271.830000,0.000000,4.370000,201.390000,0.000000,4.380000,0.000000,0,18.63,5.94,0,0,9.12,0,18.63,0,0,0,27.41,0,0,9.14,7.25

5,01:00-01:15,0.000000,6.450000,63.380000,4.510000,101.240000,0.000000,66.370000,0.000000,271.830000,0.000000,4.370000,201.390000,0.000000,4.380000,0.000000,0,18.86,6,0,0,9.38,0,18.86,0,0,0,28.17,0,0,9.39,7.05

6,01:15-01:30,0.000000,6.450000,41.470000,4.510000,101.240000,0.000000,66.370000,0.000000,271.830000,0.000000,4.370000,166.900000,0.000000,4.380000,0.000000,0,19.13,6.07,0,0,9.54,0,19.13,0,0,0,28.64,0,0,9.55,6.85

7,01:30-01:45,0.000000,6.450000,29.000000,4.510000,101.240000,0.000000,66.370000,0.000000,271.830000,0.000000,4.370000,143.700000,0.000000,4.380000,0.000000,0,19.42,6.14,0,0,9.58,0,19.42,0,0,0,28.74,0,0,9.58,6.98

8,01:45-02:00,0.000000,6.450000,29.000000,4.510000,101.240000,0.000000,66.370000,0.000000,271.830000,0.000000,4.370000,143.700000,0.000000,4.380000,0.000000,0,19.71,6.21,0,0,9.72,0,19.71,0,0,0,29.17,0,0,9.73,6.84

9,02:00-02:15,0.000000,6.450000,29.000000,4.440000,101.240000,0.000000,70.540000,0.000000,271.830000,0.000000,4.370000,143.700000,0.000000,4.380000,0.000000,0,20.49,6.02,0,0,9.93,0,20.49,0,0,0,29.76,0,0,9.92,5.05

10,02:15-02:30,0.000000,6.450000,29.000000,4.440000,101.240000,0.000000,70.540000,0.000000,271.830000,0.000000,4.370000,143.700000,0.000000,4.380000,0.000000,0,21.33,5.89,0,0,10.09,0,21.33,0,0,0,30.27,0,0,10.09,5.17

11,02:30-02:45,0.000000,6.450000,29.000000,4.440000,101.240000,0.000000,70.540000,0.000000,271.830000,0.000000,4.370000,143.700000,0.000000,4.380000,0.000000,0,22.96,5.75,0,0,10.31,0,22.96,0,0,0,30.98,0,0,10.33,5.18

12,02:45-03:00,0.000000,6.450000,29.000000,4.440000,101.240000,0.000000,70.540000,0.000000,271.830000,0.000000,4.370000,143.700000,0.000000,4.380000,0.000000,0,23.84,5.66,0,0,10.62,0,23.84,0,0,0,31.85,0,0,10.61,5.06

13,03:00-03:15,0.000000,6.450000,29.000000,4.440000,101.240000,0.000000,70.540000,0.000000,271.830000,0.000000,4.270000,143.700000,0.000000,4.220000,0.000000,0,24.01,5.47,0,0,10.03,0,24.01,0,0,0,30.09,0,0,10.03,5.09

14,03:15-03:30,0.000000,6.450000,29.000000,4.440000,101.240000,0.000000,70.540000,0.000000,271.830000,0.000000,4.270000,143.700000,0.000000,4.220000,0.000000,0,24.19,5.23,0,0,9.94,0,24.19,0,0,0,29.84,0,0,9.95,5.08

15,03:30-03:45,0.000000,6.450000,29.000000,4.440000,101.240000,0.000000,70.540000,0.000000,271.830000,0.000000,4.270000,143.700000,0.000000,4.220000,0.000000,0,21.68,4.98,0,0,9.71,0,21.68,0,0,0,29.12,0,0,9.71,5.1

16,03:45-04:00,0.000000,6.450000,29.000000,4.440000,101.240000,0.000000,70.540000,0.000000,271.830000,0.000000,4.270000,143.700000,0.000000,4.220000,0.000000,0,21.15,4.69,0,0,9.5,0,21.15,0,0,0,28.52,0,0,9.51,5.12

