Column1,Time,GNA/NR/2024/11/01/4503,GNA/WR/2024/11/01/4200,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/10/15/7089,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,GNA/NR/2024/11/01/1868,NR/30092023/26122029/SH-06,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/11/01/5428,NR/01102023/30042040/GNA_LT_36,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/9042,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/11/01/9061,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/3646,NR/01102023/05012040/L_NR_2020_02,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61
1,00:00-00:15,8.64,0,2.38,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.53,57.34,0,17.29,25.74,1.16,186.45,70.02,0,25.93,96.04,142.69,25.93,47.56,1.76,0,0,0,0,0,0,7.44

2,00:15-00:30,8.64,0,2.38,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.53,57.34,0,17.29,25.74,1.16,191.4,70.02,0,25.93,74.68,142.69,25.93,47.56,1.76,0,0,0,0,0,0,7.44

3,00:30-00:45,8.64,0,2.38,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.53,57.34,0,17.29,25.74,1.16,191.4,70.02,0,25.93,74.68,142.69,25.93,47.56,1.76,0,0,0,0,0,0,7.44

4,00:45-01:00,8.64,0,2.38,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.53,57.34,0,17.29,25.74,1.16,191.4,70.02,0,25.93,74.68,142.69,25.93,47.56,1.76,0,0,0,0,0,0,7.44

5,01:00-01:15,8.64,0,2.38,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.53,57.34,0,17.29,25.74,1.16,181.51,70.02,0,25.93,74.68,142.69,25.93,47.56,1.76,0,0,0,0,0,0,7.44

6,01:15-01:30,8.64,0,2.38,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.53,57.34,0,17.29,25.74,1.16,186.45,70.02,0,25.93,74.68,142.69,25.93,47.56,1.76,0,0,0,0,0,0,7.44

7,01:30-01:45,8.64,0,2.38,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.53,57.34,0,17.29,25.74,1.16,181.51,70.02,0,25.93,74.68,142.69,25.93,47.56,1.76,0,0,0,0,0,0,7.44

8,01:45-02:00,8.64,0,2.38,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.53,57.34,0,17.29,25.74,1.16,181.51,70.02,0,25.93,74.68,142.69,25.93,47.56,1.76,0,0,0,0,0,0,7.44

9,02:00-02:15,8.64,0,2.38,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.45,57.34,0,17.29,25.74,1.16,181.51,70.02,0,25.93,74.68,142.69,25.93,47.56,1.76,0,0,0,0,0,0,9.2

10,02:15-02:30,8.64,0,2.38,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.45,57.34,0,17.29,25.74,1.16,181.51,70.02,0,25.93,74.68,142.69,25.93,47.56,1.76,0,0,0,0,0,0,9.8

11,02:30-02:45,8.64,0,2.38,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.45,57.34,0,17.29,25.23,1.16,138.3,70.02,0,25.93,74.68,142.69,25.93,47.56,1.76,0,0,0,0,0,0,10.6

12,02:45-03:00,8.64,0,2.38,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.45,57.34,0,17.29,25.23,1.16,109.49,70.02,0,25.93,74.68,142.69,25.93,47.56,1.76,0,0,0,0,0,0,11.21

13,03:00-03:15,8.64,0,2.3,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.45,57.34,0,17.29,25.23,1.09,109.49,70.02,0,25.93,74.68,142.69,25.93,47.56,1.71,0,0,0,0,0,0,15.21

14,03:15-03:30,8.64,0,2.3,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.45,57.34,0,17.29,25.23,1.09,109.49,70.02,0,25.93,74.68,142.69,25.93,47.56,1.71,0,0,0,0,0,0,15.81

15,03:30-03:45,8.64,0,2.3,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.45,57.34,0,17.29,25.23,1.09,109.49,70.02,0,25.93,74.68,142.69,25.93,47.56,1.71,0,0,0,0,0,0,16.21

16,03:45-04:00,8.64,0,2.3,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.45,57.34,0,17.29,25.23,1.09,109.49,70.02,0,25.93,74.68,142.69,25.93,47.56,1.71,0,0,0,0,0,0,16.61

17,04:00-04:15,8.64,0,2.3,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.37,57.34,0,17.29,25.23,1.09,109.49,70.02,0,25.93,74.68,142.69,25.93,47.56,1.71,0,0,0,0,0,0,17.01

18,04:15-04:30,8.64,0,2.3,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.37,57.34,0,17.29,25.23,1.09,138.3,70.02,0,25.93,74.68,142.69,25.93,47.56,1.71,0,0,0,0,0,0,16.81

19,04:30-04:45,8.64,0,2.3,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.37,57.34,0,17.29,25.23,1.09,173.76,70.02,0,25.93,74.68,142.69,25.93,47.56,1.71,0,0,0,0,0,0,16.61

20,04:45-05:00,8.64,0,2.3,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.37,57.34,0,17.29,25.23,1.09,173.76,70.02,0,25.93,74.68,142.69,25.93,47.56,1.71,0,0,0,0,0,0,16.21

21,05:00-05:15,8.64,0,2.3,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.37,67.74,0,17.29,25.23,1.01,205.09,65.88,0,25.93,74.68,142.69,25.93,47.56,1.71,0,0,0,0,0,0,15.01

22,05:15-05:30,8.64,0,2.3,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.37,67.74,0,17.29,25.23,1.01,205.09,65.88,0,25.93,74.68,142.69,25.93,47.56,1.71,0,0,0,0,0,0,14.01

23,05:30-05:45,8.64,0,2.3,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.37,67.74,0,17.29,25.23,1.01,205.09,70.02,0,25.93,96.04,142.69,25.93,47.56,1.71,0,0,0,0,0,0,13.41

24,05:45-06:00,8.64,0,2.3,0,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.37,67.74,0,17.29,25.23,1.01,205.09,70.02,0,25.93,115.25,142.69,25.93,47.56,1.71,0,0,0,0,0,0,13.01

25,06:00-06:15,8.64,0,2.3,0,0,0,0,19.99,13.34,6.67,0.01,0,0.88,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.37,86.63,0,17.29,25.23,1.01,253.11,65.88,0,25.93,134.33,0,25.93,0,1.66,0,0,0,0,0,0,15.81

26,06:15-06:30,8.64,0,2.3,0,0,0,0,19.99,13.34,6.67,3.96,2,1.42,6.67,6.67,13.33,8.64,0,0,100.05,25.93,0,1.37,86.63,0,17.29,25.23,1.01,260.75,65.88,0,25.93,134.33,0,25.93,0,1.66,0,0,0,0,0,0,15.41

27,06:30-06:45,8.64,0,2.3,0,0,0,0,19.99,13.34,6.67,10.35,6,2.91,6.67,6.67,13.33,8.64,0,0.11,100.05,25.93,0.11,1.37,86.63,0,17.29,24.22,1.01,260.75,65.88,0.11,25.93,134.33,0,25.93,0,1.66,0.01,0,0,0,0,0,15.01

28,06:45-07:00,8.64,0,2.3,0,0,0,1.8,19.99,13.34,6.67,17.24,9,9.28,6.67,6.67,13.33,8.64,0,0.22,100.05,25.93,0.23,1.37,86.63,0,17.29,24.22,1.01,260.75,74.35,0.22,25.93,134.33,0,25.93,0,1.66,0.19,0,0,0,0,0.04,14.41

29,07:00-07:15,8.64,0,2.3,0,0,1,9.17,19.99,13.34,6.67,26.87,14,18.71,6.67,6.67,13.33,8.64,0,0.53,100.05,31.69,0.54,1.37,86.63,0,17.29,24.22,1.01,260.75,82.82,0.53,31.69,134.33,0,31.69,0,1.66,0.28,2,1,0,0,0.05,13.81

