Block,Time,DULHASTI,FSTPP I & II,JHAJJAR,KGSU1AND2,NLCIIST2,RIHAND2,VALLURNTECL,AURY_GF,DADRI_CRF,KOLDAM,KOTESHWR,NJPC,NLCTS2EXP,RAPPC,RSTPSU7,SEWA2,SIMHST2,UNCHAHAR1,BRBCL,KKNP,NLCEXP,RSTPSU1TO6,TEHRI,URI2,ANTA_CRF,ANTA_LF,AURY_RF,DADRI_LF,DADRI_RF,KISHANGANGA,MAPS,NTPL,RIHAND3,SINGRAULI_HYDRO,TALA,TANAKPUR,TANDA2,UNCHAHAR4,URI,ANTA_GF,AURY_LF,BSIUL,KKNPPU2,NNTPP,RIHAND1,SINGRAULI,TelanganaSTPP,CHAMERA1,KUDGI,RAMPUR,RAPPB,UNCHAHAR2,AURY_CRF,DADRI_GF,CHAMERA3,DHAULIGNGA,KGSU3AND4,KHSTPP-I,NAPP,PARBATI3,SIMHST1,UNCHAHAR3,CHAMERA2,DADRT2,KHSTPP-II,NLCIIST1,SALAL,SASAN,TALST2,ANTA_RF
1,00:00-00:15,16.48,20.8,654.31,0,0,118.76,0,0,0,0,8.87,0,0,52.03,0,0,0,20.56,20,0,0,0,0,18.83,0,0,0,22.47,66.85,0,0,0,124.32,0,0,11.53,0,0,1.66,0,0,0,0,0,92,104.16,0,0,0,0,0,21.19,70.37,0,0,0,0,45.22,42.51,0,0,26.39,0,683.14,98.87,0,2.33,418.77,0,42.84

2,00:15-00:30,16.48,20.8,654.31,0,0,118.76,0,0,0,0,8.87,0,0,52.03,0,0,0,20.56,20,0,0,0,0,18.83,0,0,0,22.47,66.85,0,0,0,124.32,0,0,3.2,0,0,1.66,0,0,0,0,0,92,104.16,0,0,0,0,0,21.19,70.37,0,0,0,0,45.22,42.51,0,0,26.39,0,683.14,98.87,0,2.33,418.77,0,42.84

3,00:30-00:45,16.48,20.8,654.31,0,0,118.76,0,0,0,0,8.87,0,0,52.03,0,0,0,20.56,20,0,0,0,0,18.83,0,0,0,22.47,66.85,0,0,0,124.32,0,0,3.2,0,0,1.66,0,0,0,0,0,92,104.16,0,0,0,0,0,21.19,70.37,0,0,0,0,45.22,42.51,0,0,26.39,0,683.14,98.87,0,2.33,418.77,0,42.84

4,00:45-01:00,16.48,20.8,654.31,0,0,118.76,0,0,0,0,8.87,0,0,52.03,0,0,0,20.56,20,0,0,0,0,18.83,0,0,0,22.47,66.85,0,0,0,124.32,0,0,11.53,0,0,1.66,0,0,0,0,0,92,104.16,0,0,0,0,0,21.19,70.37,0,0,0,0,45.22,42.51,0,0,26.39,0,683.14,98.87,0,2.33,418.77,0,42.84

5,01:00-01:15,16.48,20.8,654.31,0,0,118.76,0,0,0,0,8.87,0,0,52.03,0,0,0,20.56,20,0,0,0,0,18.83,0,0,0,22.47,66.85,0,0,0,124.32,0,0,3.2,0,0,1.66,0,0,0,0,0,92,104.16,0,0,0,0,0,21.19,70.37,0,0,0,0,45.22,42.51,0,0,26.39,0,683.14,98.87,0,2.33,418.77,0,42.84

6,01:15-01:30,16.48,20.8,654.31,0,0,118.76,0,0,0,0,8.87,0,0,52.03,0,0,0,20.56,20,0,0,0,0,18.83,0,0,0,22.47,66.85,0,0,0,124.32,0,0,3.2,0,0,1.66,0,0,0,0,0,92,104.16,0,0,0,0,0,21.19,70.37,0,0,0,0,45.22,42.51,0,0,26.39,0,683.14,98.87,0,2.33,418.77,0,42.84

7,01:30-01:45,16.48,20.8,654.31,0,0,118.76,0,0,0,0,8.87,0,0,52.03,0,0,0,20.56,20,0,0,0,0,4.57,0,0,0,22.47,66.85,0,0,0,124.32,0,0,11.53,0,0,1.66,0,0,0,0,0,92,104.16,0,0,0,0,0,21.19,70.37,0,0,0,0,45.22,42.51,0,0,26.39,0,683.14,98.87,0,2.33,418.77,0,42.84

8,01:45-02:00,16.48,20.8,654.31,0,0,118.76,0,0,0,0,8.87,0,0,52.03,0,0,0,20.56,20,0,0,0,0,4.57,0,0,0,22.47,66.85,0,0,0,124.32,0,0,3.2,0,0,1.66,0,0,0,0,0,92,104.16,0,0,0,0,0,21.19,70.37,0,0,0,0,45.22,42.51,0,0,26.39,0,683.14,98.87,0,13.95,418.77,0,42.84

9,02:00-02:15,16.48,20.8,654.31,0,0,118.76,0,0,0,0,8.87,0,0,52.03,0,0,0,20.56,20,0,0,0,0,4.57,0,0,0,22.47,66.85,0,0,0,124.32,0,0,3.2,0,0,1.66,0,0,0,0,0,92,104.16,0,0,0,0,0,21.19,70.37,0,0,0,0,45.22,42.51,0,0,26.39,0,683.14,98.87,0,69.72,418.77,0,42.84

10,02:15-02:30,16.48,20.8,654.31,0,0,118.76,0,0,0,0,8.87,0,0,52.03,0,0,0,20.56,20,0,0,0,0,4.57,0,0,0,22.47,66.85,0,0,0,124.32,0,0,11.53,0,0,1.66,0,0,0,0,0,92,104.16,0,0,0,0,0,21.19,70.37,0,0,0,0,45.22,42.51,0,0,26.39,0,683.14,98.87,0,69.72,418.77,0,42.84

11,02:30-02:45,16.48,20.8,654.31,0,0,118.76,0,0,0,0,8.87,0,0,52.03,0,0,0,20.56,20,0,0,0,0,4.57,0,0,0,22.47,66.85,0,0,0,124.32,0,0,3.85,0,0,1.66,0,0,0,0,0,92,104.16,0,0,0,0,0,21.19,70.37,0,0,0,0,32.78,42.51,0,0,26.39,0,683.14,98.87,0,69.72,418.77,0,42.84

