Block,Time,AURY_CRF,NAPP,SINGRAULI_HYDRO,DULHASTI,ANTA_LF,UNCHAHAR1,ANTA_GF,DHAULIGNGA,CHAMERA2,DADRI_CRF,DADRI_GF,UNCHAHAR3,ANTA_CRF,RAPPC,CHAMERA3,URI,CHAMERA1,UNCHAHAR2,RAPPB,ANTA_RF,UNCHAHAR4,URI2,PARBATI3,DADRT2,AURY_GF,AURY_LF,KOLDAM,RIHAND1,RIHAND2,KISHANGANGA,TEHRI,NJPC,BSIUL,AURY_RF,DADRI_LF,KOTESHWR,RIHAND3,SALAL,RAMPUR,TANAKPUR,TANDA2,DADRI_RF,JHAJJAR,SEWA2,SINGRAULI,KHSTPP-I,TALA,BRBCL,SASAN,KHSTPP-II,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.569546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.933516,0.000000,51.796773,0.000000,3.180845,0.000000,25.563639,0.000000,0.000000,0.000000,16.019933,0.000000,414.892800,0.000000,0.000000,0.000000,88.356800,54.454680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.522590,118.768466,6.695909,0.000000,0.492109,0.000000,0.000000,229.535600,0.000000,70.589400,20.441346,0.000000,14.406011,402.186708,107.815368,9.572403,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.569546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.933516,0.000000,51.796773,0.000000,3.180845,0.000000,25.563639,0.000000,0.000000,0.000000,16.019933,0.000000,366.872800,0.000000,0.000000,0.000000,88.356800,54.454680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.522590,118.768466,1.339182,0.000000,0.492109,0.000000,0.000000,229.535600,0.000000,70.589400,20.441346,0.000000,14.406011,402.186708,107.815368,9.572403,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.569546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.933516,0.000000,51.796773,0.000000,3.180845,0.000000,25.563639,0.000000,0.000000,0.000000,16.019933,0.000000,366.872800,0.000000,0.000000,0.000000,88.356800,54.454680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.522590,118.768466,1.339182,0.000000,0.492109,0.000000,0.000000,229.535600,0.000000,70.589400,20.441346,0.000000,14.406011,402.186708,100.641084,9.572403,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.569546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.933516,0.000000,51.796773,0.000000,3.180845,0.000000,25.563639,0.000000,0.000000,0.000000,16.019933,0.000000,347.664800,0.000000,0.000000,0.000000,88.356800,54.454680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.522590,118.768466,1.339182,0.000000,0.492109,0.000000,0.000000,229.535600,0.000000,70.589400,20.441346,0.000000,14.406011,402.186708,95.839084,9.572403,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.569546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.643600,0.000000,51.796773,0.000000,3.180845,0.000000,25.563639,0.000000,0.000000,0.000000,16.019933,0.000000,347.664800,0.000000,0.000000,0.000000,88.356800,54.454680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.522590,118.768466,1.339182,0.000000,0.492109,0.000000,0.000000,225.694000,0.000000,70.589400,20.441346,0.000000,14.406011,402.186708,131.622724,9.572403,0,0,0,0,0

