Column1,Time,GNA/NR/2025/06/01/2868,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/8456,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/8510,NR/01102023/19072037/LT-05,GNA/NR/2025/06/09/3517,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/5280,GNA/NR/2025/04/01/8964,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/07/5932,GNA/NR/2025/06/01/9257,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06
1,00:00-00:15,28.99,100.67,9.48,133.72,0,130.74,30,3.44,14.43,0,28.77,0,7.96,15.35,115.91,48.32,30,48.32,62.81,0,48.32,24.16,24.16,11.91,7.09,87.16,5.92,48.32,11.9,-0,24.16,0,37.02,0,0,0,0,18.33,41.67,0,0,41.67,0,0,22,0,0,0,66,0,22

2,00:15-00:30,28.99,100.67,9.48,133.72,0,130.74,30,4.29,14.43,0,28.77,0,7.96,15.35,115.91,48.32,30,48.32,62.81,0,48.32,24.16,24.16,11.91,7.09,87.16,5.92,48.32,11.9,-0,24.16,0,35.81,0,0,0,0,18,41.67,0,0,41.67,0,0,21.83,0,0,0,65.51,0,21.83

3,00:30-00:45,28.99,100.67,9.48,133.72,0,130.74,30,3.44,14.43,0,29.27,0,7.96,15.35,115.91,48.32,30,48.32,62.81,0,48.32,24.16,24.16,11.91,7.09,87.16,5.92,48.32,11.9,-0,24.16,0,35.01,0,0,0,0,17.67,41.67,0,0,41.67,0,0,21.67,0,0,0,64.99,0,21.67

4,00:45-01:00,28.99,100.67,9.48,133.72,0,130.74,30,4.29,14.43,0,29.27,0,7.96,15.35,115.91,48.32,30,48.32,62.81,0,48.32,24.16,24.16,11.91,7.09,87.16,5.92,48.32,11.9,-0,24.16,0,33.61,0,0,0,0,17.33,41.67,0,0,41.67,0,0,21.5,0,0,0,64.5,0,21.5

5,01:00-01:15,28.99,100.67,9.32,133.72,0,130.74,30,3.44,14.15,0,29.27,0,7.68,15.35,115.91,48.32,30,48.32,62.81,0,48.32,24.16,24.16,11.91,7.09,87.16,5.92,48.32,11.9,-0,24.16,0,36.01,0,0,0,0,17,41.67,0,0,41.67,0,0,21.17,0,0,0,63.49,0,21.17

6,01:15-01:30,28.99,100.67,9.32,133.72,0,130.74,30,4.29,14.15,0,29.27,0,7.68,15.35,115.91,48.32,30,48.32,62.81,0,48.32,24.16,24.16,11.91,7.09,87.16,5.92,48.32,11.9,-0,24.16,0,35.01,0,0,0,0,16.67,41.67,0,0,41.67,0,0,21,0,0,0,63,0,21

7,01:30-01:45,28.99,100.67,9.32,133.72,0,130.74,30,5.15,14.15,0,29.27,0,7.68,15.35,115.91,48.32,30,48.32,62.81,0,48.32,24.16,24.16,11.91,7.09,87.16,5.92,48.32,11.9,-0,24.16,0,36.02,0,0,0,0,15.67,41.67,0,0,41.67,0,0,20.83,0,0,0,62.51,0,20.83

8,01:45-02:00,28.99,100.67,9.32,133.72,0,130.74,30,6.01,14.15,0,29.27,0,7.68,15.35,115.91,48.32,30,48.32,62.81,0,48.32,24.16,24.16,11.91,7.09,87.16,5.92,48.32,11.9,-0,24.16,0,35.22,0,0,0,0,15.33,41.67,0,0,41.67,0,0,20.5,0,0,0,61.5,0,20.5

9,02:00-02:15,28.99,100.67,8.86,133.72,0,130.74,30,6.87,13.96,0,29.27,0,7.31,15.35,103.48,48.32,30,48.32,62.81,193.26,48.32,24.16,24.16,11.91,7.09,87.16,7.25,48.32,11.9,-0,24.16,0,37.4,0,0,0,0,12.67,41.67,0,0,41.67,0,0,19.33,0,0,0,58.01,0,19.33

10,02:15-02:30,28.99,100.67,8.86,133.72,0,130.74,30,7.73,13.96,0,29.27,0,7.31,15.35,115.91,48.32,30,48.32,62.81,193.26,48.32,24.16,24.16,11.91,7.09,87.16,7.25,48.32,11.9,-0,24.16,0,36.52,0,0,0,0,12.33,41.67,0,0,41.67,0,0,19.67,0,0,0,58.99,0,19.67

11,02:30-02:45,28.99,100.67,8.86,133.72,0,130.74,26.5,0.86,13.96,0,29.27,0,7.31,15.35,115.91,48.32,26.5,48.32,62.81,193.26,48.32,24.16,24.16,11.91,7.09,87.16,7.25,48.32,11.9,-0,24.16,0,40.02,0,0,0,0,12.33,41.67,0,0,41.67,0,0,19.83,0,0,0,59.51,0,19.83

12,02:45-03:00,28.99,100.67,8.86,133.72,0,130.74,26.5,1.71,13.96,0,29.27,0,7.31,15.35,90.56,48.32,26.5,48.32,62.81,193.26,48.32,24.16,24.16,11.91,7.09,87.16,7.25,48.32,11.9,-0,24.16,0,40.02,0,0,0,0,12,41.67,0,0,41.67,0,0,20.17,0,0,0,60.49,0,20.17

13,03:00-03:15,28.99,100.67,8.24,148.81,0,130.74,26.5,2.58,13.68,0,29.27,0,6.93,15.35,115.91,0,26.5,48.32,62.81,193.26,48.32,24.16,24.16,11.91,7.09,87.16,7.25,48.32,11.9,-0,24.16,0,35.19,0,0,0,0,11.67,41.67,0,0,41.67,0,0,18.53,0,0,0,55.56,0,18.53

14,03:15-03:30,28.99,100.67,8.24,156.54,0,130.74,26.5,2.58,13.68,0,29.27,0,6.93,15.35,115.91,0,26.5,48.32,62.81,193.26,48.32,24.16,24.16,11.91,7.09,87.16,7.25,48.32,11.9,-0,24.16,0,34.46,0,0,0,0,11.33,41.67,0,0,41.67,0,0,17.89,0,0,0,53.68,0,17.89

15,03:30-03:45,28.99,100.67,8.24,164.27,0,130.74,26.5,3.44,13.68,0,29.27,0,6.93,15.35,115.91,0,26.5,48.32,62.81,193.26,48.32,24.16,24.16,11.91,7.09,87.16,7.25,48.32,11.9,-0,24.16,0,33.43,0,0,0,0,11,41.67,0,0,41.67,0,0,17.58,0,0,0,52.71,0,17.58

16,03:45-04:00,28.99,100.67,8.24,172,0,130.74,26.5,3.44,13.68,0,29.27,0,6.93,15.35,115.91,0,26.5,48.32,62.81,193.26,48.32,24.16,24.16,11.91,7.09,87.16,7.25,48.32,11.9,-0,24.16,0,32.35,0,0,0,0,10.67,41.67,0,0,41.67,0,0,17.1,0,0,0,51.3,0,17.1

17,04:00-04:15,28.99,100.67,8.01,178.77,0,130.74,26.5,4.29,13.5,0,29.27,0,6.56,15.35,115.91,0,26.5,48.32,62.81,193.26,48.32,24.16,24.16,11.91,7.09,87.16,7.25,48.32,11.9,-0,24.16,0,31.48,0,0,0,0,11,41.67,0,0,41.67,0,0,14.88,0,0,0,44.66,0,14.88

18,04:15-04:30,28.99,100.67,8.01,186.5,0,130.74,26.5,5.15,13.5,0,29.27,0,6.56,15.35,115.91,0,26.5,48.32,62.81,193.26,48.32,24.16,24.16,11.91,7.09,87.16,7.25,48.32,11.9,-0,24.16,0,30.23,0,0,0,0,11,41.67,0,0,41.67,0,0,14.73,0,0,0,44.16,0,14.73

