Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,GNARE/NR/2024/12/20/3668,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,GNARE/SR/2025/01/13/4532,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/8954,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/6957,GNA/NR/2025/04/01/8456,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/9320,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/2474,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/8510,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9154,NR/01102023/19072037/LT-05,GNA/NR/2025/05/01/3877,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/04/01/8964,GNA/NR/2025/05/01/7902,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02
1,00:00-00:15,0,0,15,0,18,0,18,40,54,40,7.2,0,0,0,0,0,0,0,0,0,0,10.62,5.79,100.56,2.88,87.07,0,164.1,10.45,272.94,26.5,14.48,164.1,26.5,9.7,13.51,0,29.01,29.27,3.75,7.76,14.48,0,67.57,123.08,115.43,28.96,0,3.62,4.05,28.96,0,0,261.21

2,00:15-00:30,0,0,15.67,0,18.33,0,18.33,41.67,55.01,41.66,7.2,0,0,0,0,0,0,0,0,0,0,10.62,5.79,100.56,2.88,87.07,0,164.1,10.45,272.94,26.5,14.48,164.1,26.5,9.7,13.51,0,29.01,29.27,3.75,7.76,14.48,0,67.57,123.08,115.43,28.96,0,3.62,4.05,28.96,0,0,261.21

3,00:30-00:45,0,0,16.67,0,20,0,20,42.33,60,42.34,7.2,0,0,0,0,0,0,0,0,0,0,10.62,5.79,100.56,2.88,87.07,0,164.1,10.45,272.94,26.5,14.48,164.1,26.5,9.7,13.51,0,29.01,29.27,3.75,7.76,14.48,0,67.57,123.08,115.43,28.96,0,3.62,4.05,28.96,0,0,261.21

4,00:45-01:00,0,0,16.67,0,20.33,0,20.33,43.33,61.01,43.34,7.2,0,0,0,0,0,0,0,0,0,0,10.62,5.79,100.56,2.88,69.1,0,164.1,10.45,272.94,26.5,14.48,164.1,26.5,9.7,13.51,0,29.01,29.27,3.75,7.76,14.48,0,67.57,123.08,115.43,28.96,0,3.62,4.05,28.96,0,0,212.95

5,01:00-01:15,0,0,6.67,0,16.66,0,16.67,45,50,45,7.2,0,0,0,0,0,0,0,0,0,0,10.62,5.79,100.56,2.88,56.87,0,164.1,10.45,272.94,26.5,14.48,164.1,26.5,9.6,13.51,0,29.01,29.27,3.75,7.76,14.48,0,67.57,123.08,70.4,28.96,0,3.62,4.05,28.96,0,0,164.76

