Column1,Block,NR/2025/24883/C,NR/2024/24434/A/49267,NR/2025/24885/C,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/17/2132,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/17/8178,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/17/3869,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3925,GNA/WR/2025/01/01/8625,NR/2024/24508/A/49539,WR/2024/25501/A/49525,NR/30092023/31122025/SH-07,NR/2025/24876/C,NR/2024/24614/A/49540,GNA/NR/2025/01/01/3945,NR/2024/24435/A/49266,NR/2024/24566/A/49251,NR/2024/24507/A/49538,NR/30092023/26122029/SH-06,NR/2025/24887/C,NR/2025/24884/C,GNA/NR/2025/01/01/6528,NR/2025/24886/C,NER/2024/2820/A/49517,NR/2024/24418/A/49249,SR/2024/15456/A/49268,GNA/NR/2025/01/17/6226,NR/2025/24875/C,Total
,,SJVNL,IEXL,SJVNL,APPCPL,MANIKARAN,HPXL,HPXL,IEXL,DELHI,IEXL,PXIL,IEXL,NDMC,NDMC,IEXL,IEXL,IEXL,HPXL,TPTCL,NVVNL,APPCPL,BAWANA_GAS,NVVNL,NVVNL,NDMC,IEXL,IEXL,NVVNL,PUNJAB,IEXL,SJVNL,NDMC,IEXL,APPCPL,ITCLH,IEXL,IEXL,NVVNL,
,,NA,NA,NA,DELHI_UT,DELHI_UT,Meghalaya_State,NA,MSEB_State,HIMACHAL_STATE,MP_State,NA,NA,NA,NA,KARNATAKA_STATE,NA,ODISHA_STATE,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,NA,NA,KARNATAKA_STATE,TELANGANA_State,NA,DELHI_UT,NA,UTTARPRADESH_STATE,NA,Meghalaya_State,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,KARNATAKA_STATE,NA,
,,TPSL_BKN2,TESPL_BKN2,RSRPL_BKN,BYPL,BRPL,Meghalaya_Ben,SKS_Raigarh,JSWEL_MSEB,CHANJUII,JP_BINA,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,RKM_POWER,RKM_POWER,JSWEL,SKS_Raigarh,NBVLIPP,JPNIGRIE_JNSTPP,BYPL,TRN_ENERGY,BRPL,BAWANA_GAS,JIPL,TRN_ENERGY,JPL2,NSLSUGARALAND,NSLKSLWPRTY,JIPL,BAWANA_GAS,DIKCHU,BCMLUH,SKS_Raigarh,Meghalaya_Ben,BYPL,ITCWIND,BYPL,JSWEL,TRN_ENERGY,
,,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,GOA_State,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,
,,NDMC,MES_Delhi,NDMC,AEML,AEML,BRPL,BRPL,TPDDL,TPDDL,BRPL,BRPL,BRPL,NDMC,NDMC,TPDDL,BRPL,BRPL,BRPL,TPC_MSEB,NDMC,GOA_Beneficiary,HARYANA,NDMC,NDMC,NDMC,MES_Delhi,MES_Delhi,NDMC,PUNJAB,TPDDL,NDMC,NDMC,TPDDL,Manipur_Ben,ITCLH,TANGEDCO,TPDDL,NDMC,
,,North-North,North-North,North-North,North-West,North-West,North East-East-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,South-East-North,West-North,East-North,West-North,North-West,West-North,North-West,North-North,East-North,West-North,West-North,South-West-North,South-West-North,East-North,North-North,East-North,North-North,West-North,North East-East-North,North-East-North East,South-West-North,North-West-South,South-East-North,West-North,
1,00:00-00:15,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,25.87,25.87,0,47.9,20.12,47.9,0,8.71,0,0,0,0,25.87,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,367.8

2,00:15-00:30,0,0,0,0,0,0,19.16,0,1.37,47.9,28.74,26.82,25.87,25.87,0,47.9,20.12,47.9,0,8.71,0,0,0,0,25.87,9.58,5.75,17.24,0,0,0,8.62,0,0,0.38,0,0,0,367.8

