Column1,Time,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),GNA/NR/2024/10/01/4083,GNA/NR/2024/10/05/3525,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/10/05/8379,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/10/01/3642,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/10/01/6101,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/05/7177,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,GNA/NR/2024/10/05/6226,NR/01102023/05012040/L_NR_2020_02,WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/01102023/19072037/LT-05,GNA/NR/2024/10/01/9072,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31
1,00:00-00:15,0,0,0,22,22,0,0,66,59.33,0,54.36,0,6.55,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.98,31.29,100.68,32,0,4.18,59.33,7,16,0,0,0,0,0,0,66.3,37.33,1.35,4.61,0

2,00:15-00:30,0,0,0,21.67,21.66,0,0,65,58.67,0,54.36,0,6.55,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.98,31.29,100.68,32,0,4.18,58.67,7,15.34,0,0,0,0,0,0,66.3,37.33,1.35,4.61,0

3,00:30-00:45,0,0,0,21.5,21.5,0,0,64.5,58.33,0,54.36,0,6.55,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.98,31.29,100.68,32,0,4.18,58.33,7,15,0,0,0,0,0,0,66.3,37.33,1.35,4.61,0

4,00:45-01:00,0,0,0,21.33,21.34,0,0,64,57.67,0,54.36,0,6.55,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.98,31.29,100.68,32,0,4.18,57.67,7,15,0,0,0,0,0,0,66.3,37.33,1.35,4.61,0

5,01:00-01:15,0,0,0,21,21,0,0,63,57.33,0,54.36,0,6.55,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.98,31.29,100.68,32,0,4.18,57.33,7,15,0,0,0,0,0,0,66.3,37.33,1.35,4.61,0

6,01:15-01:30,0,0,0,20.83,20.84,0,0,62.5,57,0,54.36,0,6.55,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.98,31.29,100.68,32,0,4.18,57,7,15,0,0,0,0,0,0,66.3,37.33,1.35,4.61,0

7,01:30-01:45,0,0,0,20.5,20.5,0,0,61.5,56.33,0,54.36,0,6.55,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.98,31.29,100.68,32,0,4.18,56.33,7,14.34,0,0,0,0,0,0,66.3,37.33,1.35,4.61,0

8,01:45-02:00,0,0,0,19.67,19.66,0,0,59,55.67,0,54.36,0,6.55,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.98,31.29,100.68,32,0,4.18,55.67,7,14,0,0,0,0,0,0,66.3,37.33,1.35,4.61,0

9,02:00-02:15,0,0,0,19.17,19.16,0,0,57.5,55.33,0,54.36,0,6.55,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.82,31.29,100.68,32,0,4.04,55.33,7,15,0,0,0,0,0,0,66.3,37.33,1.35,4.46,0

10,02:15-02:30,0,0,0,18.67,18.66,0,0,56,54.33,0,54.36,0,6.55,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.82,31.29,100.68,32,0,4.04,54.33,7,15,0,0,0,0,0,0,66.3,37.33,1.35,4.46,0

11,02:30-02:45,0,0,0,19.67,19.66,0,0,59,53.33,0,54.36,0,6.55,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.82,31.29,100.68,32,0,4.04,53.33,7,14.66,0,0,0,0,0,0,66.3,37.33,1.35,4.46,0

12,02:45-03:00,0,0,0,19.17,19.16,0,0,57.5,52.33,0,54.36,0,6.55,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.82,31.29,100.68,32,0,4.04,52.33,7,14.34,0,0,0,0,0,0,66.3,37.33,1.35,4.46,0

13,03:00-03:15,0,0,0,18.83,18.84,0,0,56.5,51,0,54.36,0,6.46,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.82,31.29,100.68,32,0,4.04,51,7,14,0,0,0,0,0,0,66.3,37.33,1.35,4.46,0

14,03:15-03:30,0,0,0,18.67,18.66,0,0,56,50,0,54.36,0,6.46,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.82,31.29,100.68,32,0,4.04,50,7,12.66,0,0,0,0,0,0,66.3,37.33,1.35,4.46,0

15,03:30-03:45,0,0,0,18.33,18.34,0,0,55,48.33,0,54.36,0,6.46,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.82,31.29,100.68,32,0,4.04,48.33,7,12,0,0,0,0,0,0,66.3,37.33,1.35,4.46,0

16,03:45-04:00,0,0,0,18,18,0,0,54,47.67,0,54.36,0,6.46,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.82,31.29,100.68,32,0,4.04,47.67,7,11.66,0,0,0,0,0,0,66.3,37.33,1.35,4.46,0

17,04:00-04:15,0,0,0,14.17,14.16,0,0,42.5,49.33,0,54.36,0,6.46,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.67,31.29,100.68,32,0,3.9,49.33,7,9.34,0,0,0,0,0,0,66.3,37.33,1.35,4.3,0

18,04:15-04:30,0,0,0,13.67,13.66,0,0,41,48.67,0,54.36,0,6.46,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.67,31.29,100.68,32,0,3.9,48.67,7,8.66,0,0,0,0,0,0,66.3,37.33,1.35,4.3,0

19,04:30-04:45,0,0,0,15.83,15.84,0,0,47.5,56,0,54.36,0,6.46,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.67,31.29,100.68,32,0,3.9,56,7,11.34,0,0,0,0,0,0,66.3,37.33,1.35,4.3,0

20,04:45-05:00,0,0,0,15.5,15.5,0,0,46.5,55.33,0,54.36,0,6.46,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.67,31.29,100.68,32,0,3.9,55.33,7,11.34,0,0,0,0,0,0,66.3,37.33,1.35,4.3,0

21,05:00-05:15,0,0,0,21.67,21.66,0,0,65,63.33,0,54.36,0,6.46,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.67,31.29,100.68,32,0,3.9,63.33,7,15,0,0,0,0,0,0,66.3,37.33,1.35,4.3,0

22,05:15-05:30,0,0,0,21.5,21.5,0,0,64.5,62.67,0,54.36,0,6.46,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.67,31.29,100.68,32,0,3.9,62.67,7,15,0,0,0,0,0,0,66.3,37.33,1.35,4.3,0

23,05:30-05:45,0,0,0,21.33,21.34,0,0,64,44.33,0,54.36,0,6.46,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.67,31.29,100.68,32,0,3.9,44.33,7,14.66,0,0,0,0,0,0,66.3,37.33,1.35,4.3,0

24,05:45-06:00,0,0,0,20.83,20.84,0,0,62.5,44,0,54.36,0,6.46,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.67,31.29,100.68,32,0,3.9,44,7,14.34,0,0,0,0,0,0,66.3,37.33,1.35,4.3,0

25,06:00-06:15,1,16.82,0,12.5,12.5,0,8.25,37.5,25,3.71,0,0,6.46,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.67,31.29,100.68,32,0,3.81,25,7,8.34,0,0,0,0,0,0,66.3,37.33,1.35,4.15,0

26,06:15-06:30,2,32.68,0.14,12.67,12.66,1,17.66,38,25.33,9.89,0,0,6.46,0,87.17,0,273.25,37.33,0,37.33,197.15,12.45,12.45,0,4.67,31.29,100.68,32,0,3.81,25.33,7,8.34,0,1,0,0,0,0,66.3,37.33,1.35,4.15,0

27,06:30-06:45,5,32.2,4.82,12.5,12.5,3,29.42,37.5,25.67,13.6,0,0,6.46,0.43,87.17,0,273.25,37.33,0.42,37.33,197.15,12.45,12.45,0,4.67,31.29,100.68,32,0,3.81,25.67,7,8.34,0.19,4,1,0.93,2,2,70.46,37.33,1.35,4.15,0.42

28,06:45-07:00,8,33,10.7,12.5,12.5,4,33,37.5,26,17.3,0,0,6.46,0.76,87.17,0,273.25,37.33,0.74,37.33,197.15,12.45,12.45,0,4.67,31.29,100.68,32,0,3.81,26,7,8.34,0.9,7,3,4.49,3,3,70.46,37.33,1.35,4.15,0.74

29,07:00-07:15,10,33,18.49,8.33,8.34,5,33,25,26,21.01,0,0,6.37,1.23,87.17,0,273.25,37.33,1.2,37.33,197.15,12.45,12.45,0,4.67,31.29,100.68,32,0,3.81,26,7,7.66,2.17,14,6,10.85,7,5,70.46,37.33,1.35,4.15,1.2

30,07:15-07:30,15,32.92,27.4,8.33,8.34,7,32.92,25,26.33,29.66,0,0,6.37,1.93,87.17,0,273.25,37.33,1.88,37.33,197.15,12.45,12.45,0,4.67,31.29,100.68,32,0,3.81,26.33,7,7.66,3.95,25,10,19.74,10,7,66.3,37.33,1.35,4.15,1.88

31,07:30-07:45,18,32.5,36.9,8.33,8.34,9,32.5,25,26.67,32.5,0,0,6.37,2.92,76.63,0,273.25,37.33,2.85,37.33,179.48,12.45,12.45,0,4.67,31.29,100.68,32,0,3.81,26.67,7,7.66,7.07,35,15,35.37,15,8,66.3,37.33,1.35,4.15,2.85

32,07:45-08:00,25,32.5,46.6,8.33,8.34,12,32.5,25,27.33,32.5,0,0,6.37,3.61,76.63,0,273.25,37.33,3.52,37.33,179.48,12.45,12.45,0,4.67,31.29,86.98,32,0,3.81,27.33,7,8,10.65,49,21,53.25,21,12,66.3,37.33,1.35,4.15,3.52

33,08:00-08:15,32,33,56.23,8.33,8.34,15,33,25,28.33,33,0,0,6.37,4.61,57.69,0,273.25,37.33,4.5,37.33,142.21,12.45,12.45,0,4.67,31.29,100.68,32,0,3.72,28.33,7,8.34,14.6,63,27,72.99,25,17,66.3,37.33,1.35,4,4.5

34,08:15-08:30,39,33,65.84,8.33,8.34,19,33,25,28.67,33,0,0,6.37,5.7,57.69,0,273.25,37.33,5.56,37.33,142.21,12.45,12.45,0,4.67,31.29,100.68,32,0,3.72,28.67,7,8.34,18.88,77,33,94.43,33,21,66.3,37.33,1.35,4,5.56

35,08:30-08:45,46,33,74.91,8.33,8.34,22,33,25,27.33,33,0,0,6.37,6.73,57.69,0,231.94,37.33,6.57,37.33,171.67,12.45,12.45,0,4.67,31.29,100.68,32,0,3.72,27.33,7,8.66,22.93,91,39,114.63,41,25,70.46,37.33,1.35,4,6.57

36,08:45-09:00,53,33,83.73,8.33,8.34,25,33,25,27.33,33,0,0,6.37,7.78,57.69,0,231.94,37.33,7.59,37.33,171.67,12.45,12.45,0,4.67,31.29,86.98,32,0,3.72,27.33,7,9,26.99,105,45,134.98,49,28,70.46,37.33,1.35,4,7.59

37,09:00-09:15,60,33,91.15,8.33,8.34,28,33,25,27.67,33,0,0,6.27,8.71,57.69,0,231.94,37.33,8.5,37.33,171.67,12.45,12.45,0,4.67,31.29,100.68,32,0,3.72,27.67,7,8.34,31.11,119,51,155.57,56,31,70.46,37.33,1.35,4,8.5

38,09:15-09:30,66,33,98.85,8.5,8.5,32,33,25.5,28,33,0,0,6.27,9.64,76.63,0,273.25,37.33,9.4,37.33,171.67,12.45,12.45,0,4.67,31.29,100.68,32,0,3.72,28,7,9,34.47,133,57,172.36,63,34,70.46,37.33,1.35,4,9.4

39,09:30-09:45,72,33,106.05,8.67,8.66,35,33,26,28.33,33,0,0,6.27,10.56,76.63,0,273.25,37.33,10.3,37.33,171.67,12.45,12.45,0,4.59,31.29,86.98,32,0,3.72,28.33,7,9.34,37.88,144,61,189.41,71,37,70.46,37.33,1.35,4,10.3

40,09:45-10:00,77,33,112.86,9,9,37,33,27,28.67,33,0,0,6.27,11.73,76.63,0,273.25,37.33,11.44,37.33,227.66,12.45,12.45,0,4.59,31.29,86.98,32,0,3.72,28.67,7,9.66,40.94,154,66,204.72,78,39,70.46,37.33,1.35,4,11.44

41,10:00-10:15,83,33,118.36,9.33,9.34,39,33,28,29,33,0,0,6.18,12.38,76.63,0,273.25,37.33,12.07,37.33,227.66,12.45,12.45,0,4.59,31.29,100.68,32,0,3.72,29,7,10.34,45.57,165,70,227.88,80,41,70.46,37.33,1.35,3.85,12.07

42,10:15-10:30,87,33,122.73,9.67,9.66,41,33,29,29.33,33,0,0,6.18,13.52,76.63,0,273.25,37.33,13.2,37.33,171.67,12.45,12.45,0,4.59,31.29,100.68,32,0,3.72,29.33,7,10.66,45.83,175,75,229.17,82,42,70.46,37.33,1.35,3.85,13.2

43,10:30-10:45,90,33,131.35,10.17,10.16,43,33,30.5,29.67,33,0,0,6.18,14.04,76.63,0,273.25,37.33,13.69,37.33,171.67,12.45,12.45,0,4.59,31.29,100.68,32,0,3.72,29.67,7,11.34,42.78,182,78,213.91,83,42,70.46,37.33,1.35,3.85,13.69

44,10:45-11:00,93,33,133.32,10.5,10.5,44,33,31.5,30,33,0,0,6.18,14.97,76.63,0,273.25,37.33,14.61,37.33,171.67,12.45,12.45,0,4.59,31.29,100.68,32,0,3.72,30,7,11.66,45.03,189,81,225.18,85,43,70.46,37.33,1.35,3.85,14.61

45,11:00-11:15,95,33,134.81,11,11,45,33,33,30.33,33,0,0,6.09,15.27,57.69,0,273.25,37.33,14.9,37.33,171.67,12.45,12.45,0,4.59,31.29,100.68,32,0,3.72,30.33,7,12.34,45.38,193,82,226.9,86,43,70.46,37.33,1.35,3.85,14.9

46,11:15-11:30,95,33,135.84,11.5,11.5,45,33,34.5,31,33,0,0,6.09,15.92,57.69,0,273.25,37.33,15.53,37.33,227.66,12.45,12.45,0,4.59,31.29,100.68,32,0,3.72,31,7,12.66,45.45,195,83,227.24,86,44,70.46,37.33,1.35,3.85,15.53

47,11:30-11:45,95,33,136.36,12,12,45,33,36,32,33,0,0,6.09,15.96,57.69,0,273.25,37.33,15.57,37.33,171.67,12.45,12.45,0,4.59,31.29,100.68,32,0,3.72,32,7,13,42.89,195,83,214.44,90,46,70.46,37.33,1.35,3.85,15.57

48,11:45-12:00,95,33,136.53,12.5,12.5,45,33,37.5,33,33,0,0,6.09,15.96,57.69,0,273.25,37.33,15.57,37.33,171.67,12.45,12.45,0,4.59,31.29,100.68,32,0,3.72,33,7,13.66,42.97,195,83,214.83,91,46,70.46,37.33,1.35,3.85,15.57

49,12:00-12:15,95,33,136.37,12.83,12.84,45,33,38.5,38,33,0,0,6.09,15.96,57.69,0,273.25,37.33,15.57,37.33,171.67,12.45,12.45,0,4.67,31.29,100.68,32,0,3.76,38,7,13.66,42.94,195,83,214.68,91,46,70.46,37.33,1.35,4.08,15.57

50,12:15-12:30,95,33,135.37,13.17,13.16,45,33,39.5,38.67,33,0,0,6.09,15.96,57.69,0,273.25,37.33,15.57,37.33,171.67,12.45,12.45,0,4.67,31.29,100.68,32,0,3.76,38.67,7,14,42.93,195,83,214.66,91,46,70.46,37.33,1.35,4.08,15.57

51,12:30-12:45,95,33,133.82,13.33,13.34,45,33,40,38.67,33,0,0,6.09,15.96,57.69,0,273.25,37.33,15.57,37.33,171.67,12.45,12.45,0,4.67,31.29,100.68,32,0,3.76,38.67,7,14.34,42.92,195,83,214.63,91,46,70.46,37.33,1.35,4.08,15.57

