Block,Time,SINGRAULI,ANTA_LF,AURY_LF,KOLDAM,SALAL,UNCHAHAR4,AURY_RF,ANTA_RF,CHAMERA3,DULHASTI,DADRI_CRF,DADRI_LF,AURY_GF,NAPP,DADRI_GF,UNCHAHAR3,TANAKPUR,ANTA_CRF,URI2,CHAMERA2,TEHRI,JHAJJAR,RIHAND1,DADRT2,BSIUL,NJPC,RIHAND2,SEWA2,DADRI_RF,CHAMERA1,AURY_CRF,PARBATI3,URI,DHAULIGNGA,UNCHAHAR1,RAPPC,TANDA2,KISHANGANGA,SINGRAULI_HYDRO,RAPPB,TALA,UNCHAHAR2,KOTESHWR,RIHAND3,FSTPP I & II,KUDGI,RAMPUR,KHSTPP-II,KHSTPP-I,ANTA_GF,BRBCL,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,100.288256,0.000000,0.000000,0.000000,81.935246,0.000000,0.000000,0.000000,0.000000,15.841047,0.000000,0.000000,0.000000,38.323172,0.000000,25.455890,4.942610,0.000000,31.271676,0.000000,43.997335,259.144709,88.743200,505.876850,0.000000,0.000000,113.943375,15.244585,0.000000,41.149836,0.000000,0.000000,45.791491,35.296354,18.722886,49.207911,0.000000,0.000000,0.867282,0.000000,17.015544,40.884378,15.407749,119.287862,17.497940,46.46,0.000000,142.293572,29.275610,0.000000,17.738383,400.429575,0,0,0,0,0

2,00:15-00:30,100.288256,0.000000,0.000000,0.000000,81.935246,0.000000,0.000000,0.000000,0.000000,15.841047,0.000000,0.000000,0.000000,38.323172,0.000000,25.455890,11.985830,0.000000,31.271676,0.000000,43.997335,259.144709,88.743200,438.354850,0.000000,0.000000,113.943375,15.244585,0.000000,41.149836,0.000000,0.000000,45.791491,35.296354,18.722886,49.207911,0.000000,0.000000,0.867282,0.000000,17.015544,40.884378,15.407749,119.287862,17.497940,48.23,0.000000,142.293572,29.275610,0.000000,14.720961,400.429575,0,0,0,0,0

3,00:30-00:45,100.288256,0.000000,0.000000,0.000000,81.935246,0.000000,0.000000,0.000000,0.000000,15.841047,0.000000,0.000000,0.000000,38.323172,0.000000,25.455890,11.985830,0.000000,31.271676,0.000000,32.998001,259.144709,88.743200,370.832850,0.000000,0.000000,113.943375,15.244585,0.000000,41.149836,0.000000,0.000000,45.791491,35.296354,18.722886,49.207911,0.000000,0.000000,0.867282,0.000000,21.269430,40.884378,15.407749,119.287862,17.497940,48.23,0.000000,142.293572,30.342615,0.000000,15.901431,400.429575,0,0,0,0,0

4,00:45-01:00,100.288256,0.000000,0.000000,0.000000,81.935246,0.000000,0.000000,0.000000,0.000000,15.841047,0.000000,0.000000,0.000000,38.323172,0.000000,25.455890,11.985830,0.000000,31.271676,0.000000,32.998001,259.144709,88.743200,303.310850,0.000000,0.000000,113.943375,15.244585,0.000000,41.149836,0.000000,0.000000,45.791491,35.296354,18.722886,49.207911,0.000000,0.000000,0.867282,0.000000,21.269430,40.884378,15.407749,119.287862,17.497940,48.23,0.000000,142.293572,30.446634,0.000000,15.901431,400.429575,0,0,0,0,0

5,01:00-01:15,100.288256,0.000000,0.000000,0.000000,81.935246,0.000000,0.000000,0.000000,0.000000,15.841047,0.000000,0.000000,0.000000,38.323172,0.000000,14.388456,11.985830,0.000000,30.768215,0.000000,32.998001,156.579573,88.743200,182.703825,0.000000,0.000000,113.943375,15.244585,0.000000,41.149836,0.000000,0.000000,45.791491,35.296354,10.432149,49.207911,0.000000,0.000000,0.867282,0.000000,25.523316,28.515891,15.407749,119.287862,17.497940,38.58,0.000000,142.293572,30.446634,0.000000,15.901431,400.429575,0,0,0,0,0

