Block,Time,L_NR_2019_05,L_NR_2020_07,L_NR_2020_06,L_NR_2019_06,LT-31,L_NR_2012_07,L_NR_2020_02,L_NR_2022_09,SH-06,L_NR_2012_01,LT-35,LT-36,LT-05,LT-59,L_NR_2021_17,L_NR_2019_19,L_NR_2018_61,L_NR_2020_05,SH-07,L_NR_2012_02,L_NR_2022_08,L_NR_2021_12,L_NR_2021_13,L_NR_2019_07,L_NR_2021_14,L_NR_2021_16,L_NR_2019_11,L_NR_2022_10,L_NR_2021_15,LT_MEJA_Delhi,L_NR_2012_04
1,00:00-00:15,0,22.35,22.33,0,0.000000,86.910000,3.890000,42.9,30.830000,100.930000,0.000000,0.000000,115.690000,4.030000,0,0.000000,6.78,67,30.830000,260.720000,12.66,0,0,0,0,0,3.830000,42.9,0,6.370000,270.980000

2,00:15-00:30,0,22.18,22.19,0,0.000000,86.910000,3.890000,42.66,30.830000,100.930000,0.000000,0.000000,115.690000,4.030000,0,0.000000,6.86,66.57,30.830000,260.720000,12.37,0,0,0,0,0,3.830000,42.66,0,6.370000,270.980000

3,00:30-00:45,0,22.2,22.21,0,0.000000,86.910000,3.890000,42.37,30.830000,100.930000,0.000000,0.000000,115.690000,4.030000,0,0.000000,6.85,66.62,30.830000,260.720000,12.22,0,0,0,0,0,3.830000,42.37,0,6.370000,270.980000

4,00:45-01:00,0,22.07,22.07,0,0.000000,86.910000,3.890000,42.04,30.830000,100.930000,0.000000,0.000000,115.690000,4.030000,0,0.000000,6.9,66.21,30.830000,260.720000,11.99,0,0,0,0,0,3.830000,42.04,0,6.370000,270.980000

5,01:00-01:15,0,21.88,21.89,0,0.000000,86.910000,3.890000,41.76,30.830000,100.930000,0.000000,0.000000,115.690000,4.030000,0,0.000000,6.89,65.67,30.830000,260.720000,11.71,0,0,0,0,0,3.830000,41.76,0,6.370000,270.980000

6,01:15-01:30,0,21.66,21.66,0,0.000000,86.910000,3.890000,41.48,30.830000,100.930000,0.000000,0.000000,115.690000,4.030000,0,0.000000,6.8,64.99,30.830000,260.720000,11.58,0,0,0,0,0,3.830000,41.48,0,6.370000,270.980000

7,01:30-01:45,0,21.53,21.55,0,0.000000,86.910000,3.890000,46.78,30.830000,100.930000,0.000000,0.000000,115.690000,4.030000,0,0.000000,6.9,64.64,30.830000,260.720000,11.42,0,0,0,0,0,3.830000,46.78,0,6.370000,270.980000

8,01:45-02:00,0,21.35,21.35,0,0.000000,86.910000,3.890000,46.54,30.830000,100.930000,0.000000,0.000000,115.690000,4.030000,0,0.000000,6.75,64.05,30.830000,260.720000,14.28,0,0,0,0,0,3.830000,46.54,0,6.370000,270.980000

9,02:00-02:15,0,24.71,24.73,0,0.000000,86.910000,3.800000,45.82,30.830000,100.930000,0.000000,0.000000,115.690000,3.870000,0,0.000000,6.7,74.18,30.830000,260.720000,14.1,0,0,0,0,0,3.830000,45.82,0,6.370000,270.980000

