Block,Time Block,KHSTPP-II,KKNPPU2,KUDGI,MAPS,BSIUL,BRBCL,CHAMERA1,CHAMERA3,CHAMERA2,DADRT2,SINGRAULI,SINGRAULI_HYDRO,DHAULIGNGA,FSTPP I & II,DULHASTI,KGSU1AND2,JHAJJAR,KGSU3AND4,KHSTPP-I,KISHANGANGA,KKNP,KOTESHWR,KOLDAM,NAPP,NLCEXP,NJPC,NNTPP,NLCIIST1,NLCIIST2,NLCTS2EXP,NTPL,PARBATI3,RAMPUR,RAPPC,RAPPB,RIHAND2,RIHAND1,RSTPSU1TO6,RSTPSU7,RIHAND3,SEWA2,SASAN,SIMHST1,SIMHST2,SALAL,UNCHAHAR3,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,URI2,URI,DADRI_GF,AURY_GF,DADRI_CRF,AURY_CRF,AURY_RF,AURY_LF,DADRI_RF,DADRI_LF,TANAKPUR,TALA,TANDA2,TALST2,TelanganaSTPP,TEHRI,VALLURNTECL,ANTA_LF,ANTA_GF,ANTA_CRF,ANTA_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,142.56,0,0,0,12.54,16.16,40.52,9.31,12.66,342.37,134.28,0.68,0,20,0,0,231.93,0,37.72,0,0,8.53,0,19.81,0,0,0,0,0,0,0,0,0,24.52,0,114.16,88.44,0,0,59.75,15.89,254.15,0,0,2.24,21.19,34.39,16.82,0,23.27,31.84,0,0,0,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,142.56,0,0,0,12.54,16.8,40.52,9.31,12.66,361.7,134.28,0.68,0,20,0,0,231.93,0,37.72,0,0,8.53,0,19.81,0,0,0,0,0,0,0,0,0,24.52,0,114.16,88.44,0,0,59.75,15.89,268.68,0,0,2.24,21.19,34.39,16.82,0,23.27,31.84,0,0,0,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,142.56,0,0,0,18.8,18.82,40.52,9.31,12.66,342.37,134.28,0.68,0,20,0,0,231.93,0,37.72,0,0,8.53,0,19.81,0,0,0,0,0,0,0,0,0,24.52,0,114.16,88.44,0,0,59.75,15.89,270.37,0,0,2.24,21.19,34.39,16.82,0,23.27,31.84,0,0,0,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,142.56,0,0,0,18.8,16.23,40.52,9.31,12.66,313.53,134.28,0.68,0,20,0,0,231.93,0,37.72,0,0,8.53,0,19.81,0,0,0,0,0,0,0,0,0,24.52,0,114.16,88.44,0,0,59.75,15.89,270.37,0,0,2.24,21.19,34.39,16.82,0,23.27,31.84,0,0,0,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,142.56,0,0,0,18.8,16.02,40.52,9.31,12.66,351.05,134.28,0.68,0,20,0,0,231.93,0,37.72,0,0,8.53,0,19.81,0,0,0,0,0,0,0,0,0,24.52,0,114.16,88.44,0,0,59.75,15.89,270.37,0,0,2.24,21.19,34.39,16.82,0,23.27,33.96,0,0,0,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

