Block,Time Block,DADRT2,CHAMERA3,CHAMERA2,BSIUL,BRBCL,CHAMERA1,UNCHAHAR1,UNCHAHAR2,TALST2,TANAKPUR,TALA,TelanganaSTPP,TEHRI,TANDA2,TEHRIPSP,RIHAND1,RAPPB,SINGRAULI_HYDRO,SIMHST1,RSTPSU1TO6,RAPPD,SIMHST2,RSTPSU7,SINGRAULI,SALAL,SEWA2,RAMPUR,RIHAND3,RAPPC,RIHAND2,SASAN,MAPS,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NAPP,KUDGI,NLCTS2EXP,NNTPP,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,KGSU3AND4,KISHANGANGA,KOTESHWR,KHSTPP-II,KKNPPU2,KOLDAM,KHSTPP-I,KKNP,NTPL,PARBATI3,PARBATI2,DADRI_RF,ANTA_RF,DADRI_LF,AURY_LF,ANTA_LF,DADRI_GF,AURY_GF,DADRI_CRF,AURY_CRF,AURY_RF,ANTA_GF,UNCHAHAR4,UNCHAHAR3,VALLURNTECL,URI2,URI,ANTA_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,656.96,32.7,45.4,12.56,14.4,40.61,20.46,40.75,0,12.58,24.44,0,72.8,1.37,0,46.33,0,0,0,0,23.18,0,0,109.6,81.73,17.67,5.46,126.06,63.03,120.7,336.24,0,0,0,169.37,0,23.59,0,0,0,40.91,18.75,36.91,403.11,0,0,6.71,39.09,93.98,0,8.31,43.87,0,0,54.43,47.46,0,0,0,0,0,0,0,0,0,0,0,1.12,25.39,0,36.05,50.45,0,0,0,0,0,0

2,00:15-00:30,638.51,32.7,45.4,12.56,12.67,40.61,20.46,42.02,0,12.58,24.44,0,72.8,1.37,0,46.33,0,0,0,0,23.18,0,0,109.6,81.73,17.67,5.46,126.06,63.03,120.7,336.24,0,0,0,169.37,0,23.59,0,0,0,40.91,18.75,36.91,362.35,0,0,6.71,39.09,93.98,0,8.31,43.87,0,0,54.43,47.46,0,0,0,0,0,0,0,0,0,0,0,1.12,26.01,0,36.05,50.45,0,0,0,0,0,0

3,00:30-00:45,619.24,32.7,45.4,12.56,12.76,40.61,20.46,42.02,0,12.58,24.44,0,72.8,1.37,0,45.55,0,0,0,0,23.18,0,0,108.68,81.73,17.67,5.46,126.06,63.03,120.7,336.24,0,0,0,169.37,0,23.59,0,0,0,40.91,18.75,36.91,340.62,0,0,6.71,39.09,93.98,0,8.31,43.87,0,0,54.43,47.46,0,0,0,0,0,0,0,0,0,0,0,1.12,26.01,0,36.05,29.78,0,0,0,0,0,0

4,00:45-01:00,599.01,32.7,45.4,12.56,11.77,40.61,20.46,42.02,0,12.58,24.44,0,72.8,1.37,0,45.55,0,0,0,0,23.18,0,0,108.68,81.73,17.67,5.46,126.06,63.03,120.7,336.24,0,0,0,169.37,0,23.59,0,0,0,40.91,18.75,36.91,311.35,0,0,6.71,39.09,93.98,0,8.31,43.87,0,0,54.43,47.46,0,0,0,0,0,0,0,0,0,0,0,1.12,26.01,0,36.05,29.78,0,0,0,0,0,0

5,01:00-01:15,512.92,32.7,45.4,12.56,10.6,40.61,20.46,42.02,0,12.58,24.64,0,72.8,1.37,0,45.55,0,0,0,0,23.18,0,0,108.68,81.73,17.67,5.46,126.06,63.03,120.7,336.24,0,0,0,169.37,0,23.59,0,0,0,40.91,18.75,36.91,284.12,0,0,6.71,39.09,93.98,0,8.31,43.87,0,0,54.43,47.46,0,0,0,0,0,0,0,0,0,0,0,1.02,26.01,0,24.03,25.52,0,0,0,0,0,0

6,01:15-01:30,401.92,32.7,45.4,12.56,11.31,40.61,17.68,39.58,0,12.58,24.64,0,72.8,2.51,0,45.55,0,0,0,0,23.18,0,0,108.68,81.73,17.67,5.46,126.06,63.03,120.7,336.24,0,0,0,169.37,0,23.59,0,0,0,40.91,18.75,36.91,263.62,0,0,6.71,39.09,93.98,0,8.31,43.87,0,0,54.43,47.46,0,0,0,0,0,0,0,0,0,0,0,1.46,26.01,0,24.03,25.52,0,0,0,0,0,0

7,01:30-01:45,333.52,32.7,45.4,12.56,10.43,40.61,17.68,36.39,0,12.58,24.64,0,72.8,2.51,0,45.55,0,0,0,0,23.81,0,0,108.68,81.73,17.67,5.46,126.06,63.03,120.7,336.24,0,0,0,169.37,0,23.59,0,0,0,40.91,18.75,36.91,263.62,0,0,6.71,39.09,93.98,0,8.31,43.87,0,0,54.43,47.46,0,0,0,0,0,0,0,0,0,0,0,1.46,22.51,0,24.03,29.78,0,0,0,0,0,0

8,01:45-02:00,266.07,32.7,45.4,12.56,9.96,40.61,19.48,36.93,0,12.58,24.64,0,72.8,2.51,0,45.55,0,0,0,0,23.81,0,0,108.68,81.73,17.67,5.46,126.06,63.03,120.7,336.24,0,0,0,169.37,0,23.59,0,0,0,40.91,18.75,36.91,243.2,0,0,6.71,39.09,93.98,0,8.31,43.87,0,0,54.43,47.46,0,0,0,0,0,0,0,0,0,0,0,1.46,25.1,0,24.03,29.78,0,0,0,0,0,0

