Column1,Block,NR/2025/25257/C,NR/2025/25256/C,GNA/SR/2025/02/01/6460,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/9969,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,NR/30092023/31122025/SH-07,GNA/WR/2024/11/01/4200,NR/01082024/19092033/Chanju/TPDDL/01082024,WR/2025/26047/A/53366,GNA/WR/2025/01/01/8625,GNA/NR/2025/02/01/2143,NR/2025/24992/A/53090,ER/2025/15683/A/53359,NR/2025/25070/A/53368,NR/2025/24882/A/53094,NER/2025/2918/A/53361,NR/2024/24418/A/53218,Total
,,SJVNL,SJVNL,APPCPL,APPCPL,NDMC,NDMC,NDMC,NDMC,PUNJAB,APPCPL,BAWANA_GAS,MANIKARAN,DELHI,APPCPL,TPTCL,NDMC,IEXL,APPCPL,NVVNL,IEXL,APPCPL,ITCLH,
,,NA,NA,DELHI_UT,DELHI_UT,NA,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,NA,KARNATAKA_STATE,DELHI_UT,NA,TELANGANA_State,DELHI_UT,ANDHRA_PRADESH_STATE,
,,RSRPL_BKN,TPSL_BKN2,BYPL,BYPL,TRN_ENERGY,RKM_POWER,SKS_Raigarh,JPL2,BAWANA_GAS,BYPL,BAWANA_GAS,BRPL,CHANJUII,BRPL,BYPL,RKM_POWER,NSLSUGARALAND,BYPL,JIPL,NSLKSLWPRTY,BYPL,ITCWIND,
,,DELHI_UT,DELHI_UT,KERALA_State,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,MSEB_State,HARYANA_STATE,MSEB_State,DELHI_UT,GOA_State,MSEB_State,DELHI_UT,DELHI_UT,SIKKIM_STATE,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,
,,NDMC,NDMC,KSEB,KSEB,NDMC,NDMC,NDMC,NDMC,PUNJAB,AEML,HARYANA,AEML,TPDDL,GOA_Beneficiary,TPC_MSEB,NDMC,MES_Delhi,SIKKIM,NDMC,MES_Delhi,Manipur_Ben,ITCLH,
,,North-North,North-North,North-West-South,North-West-South,West-North,West-North,West-North,West-North,North-North,North-West,North-North,North-West,North-North,North-West,North-West,West-North,South-West-North,North-East,East-North,South-West-North,North-East-North East,South-West-North,
1,00:00-00:15,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

2,00:15-00:30,0,0,75,0,8.64,23.04,8.64,23.04,26.99,0,26.99,0,1.3,0,0,23.04,6.72,7.33,17.28,2.88,9.16,0.38,260.43000000000006

