Column1,Block,NR/2024/23038/A/38614,NR/2024/22874/A/38905,NR/2024/22848/A/38877,NR/2024/23307/C,NR/2024/22754/A/38894,NR/2024/23217/A/38670,NR/2024/22820/A/38618,NR/2024/21658/A/38674,NR/2024/23119/A/38908,GNA/NR/2024/09/01/9821,NR/2024/23121/A/38907,NR/2024/23299/C,NR/2024/23304/C,NR/2024/23311/C,NR/2024/23122/A/38909,NR/2024/22835/A/38945,NR/2024/23280/C,GNA/NR/2024/09/01/8090,NR/2024/22803/A/38904,NR/2024/23298/C,NR/2024/23308/C,NR/2024/23118/A/38910,NR/2024/23213/A/38678,NR/2024/23214/A/38679,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/6566,NR/30092023/26122029/SH-06,GNA/NR/2024/09/25/9437,GNA/NR/2024/09/25/7488,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/7119,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/23305/C,Total
,,IEXL,NVVNL,APPCPL,HPXL,PTC,DIAPL,IEXL,ITCLH,NVVNL,APPCPL,NVVNL,NVVNL,IEXL,IEXL,NVVNL,MANIKARAN,TPDDL,DELHI,NVVNL,NVVNL,DIAPL,NVVNL,SJVNL,SJVNL,BAWANA_GAS,TPTCL,PUNJAB,HPXL,PXIL,INSTINCT,MANIKARAN,MANIKARAN,PTC,JITPL,DELHI,HPXL,
,,MSEB_State,MP_State,UTTARAKHAND_STATE,NA,HIMACHAL_STATE,HIMACHAL_STATE,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,NA,Arunachal_State,NA,NA,NA,MP_State,NA,MSEB_State,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,NA,DELHI_UT,NA,DELHI_UT,NA,KARNATAKA_STATE,NA,ODISHA_STATE,MP_State,HIMACHAL_STATE,NA,HIMACHAL_STATE,NA,
,,A_A_Energy_MH_Bio,JP_BINA,UTTARAKHAND,SORANG_HEP,HP,GBHHPL,NSLSUGAR,ITCWIND,RKM_POWER,Arunachal_Ben,RKM_POWER,Kameng,SINGOLI,Continuum_WFDPL_MP,JPL2,AEML,JHAJJAR,SKS_Raigarh,JPNIGRIE_JNSTPP,SOLAPUR_SOLAR,GBHHPL,TRN_ENERGY,TPSL_BKN2,RSRPL_BKN,BAWANA_GAS,JITPL,BAWANA_GAS,JHABUA_IPP,JSWEL,JPL2,MAADURGA_THERMAL,BLAPOWER_MP,HP,JITPL,CHANJUII,HIRIYUR_OSTROKANNADA,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,TPDDL,BYPL,BRPL,BYPL,DIAPL,MES_Delhi,ITCLH,NDMC,BRPL,NDMC,TPDDL,BRPL,BRPL,NDMC,BYPL,TPDDL,NDMC,TPDDL,MES_Delhi,DIAPL,NDMC,NDMC,NDMC,HARYANA,BRPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,TPDDL,BRPL,
,,West-North,West-North,North-North,North-North,North-North,North-North,South-West-North,South-West-North,West-North,North East-East-North,West-North,North East-East-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,North-North,North-North,North-North,East-North,North-North,West-North,South-East-North,West-North,East-North,West-North,North-North,East-North,North-North,South-West-North,
1,00:00-00:15,3.87,48.38,84.36,0,54.43,6.77,4.84,0.87,26.39,32.9,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,32,24.19,32,0,193.54,96.77,2.42,21.77,163.3,17.5,9.79,0,1511.3999999999999

2,00:15-00:30,3.87,48.38,84.36,0,54.43,6.77,4.84,0.87,26.39,32.9,26.39,163.11,0,0,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,32,24.19,32,0,193.54,96.77,2.42,21.77,163.3,17.5,9.79,0,1511.3999999999999

