Block,Time Block,BRBCL,KGSU1AND2,KGSU3AND4,KHSTPP-II,KOTESHWR,KKNP,KKNPPU2,KUDGI,KISHANGANGA,KOLDAM,KHSTPP-I,MAPS,NLCTS2EXP,NNTPP,NAPP,NTPL,PARBATI3,NLCEXP,NLCIIST1,NJPC,NLCIIST2,TALST2,RIHAND1,RAMPUR,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,RAPPC,SIMHST2,TALA,RSTPSU7,SALAL,SEWA2,SINGRAULI,RIHAND3,RAPPB,RIHAND2,SASAN,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,JHAJJAR,CHAMERA2,CHAMERA3,CHAMERA1,BSIUL,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,TANAKPUR,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,TANDA2,URI2,UNCHAHAR3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,19.01,0,0,68.61,8.52,0,0,0,0,0,31.57,0,0,0,40.84,0,0,0,0,0,0,0,88.38,0,0,0,0,49.99,0,0,0,2.24,0,100.07,119.43,0,114.09,402.31,0,14.54,15.83,454.41,234.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.08,0,14.71,1.59,0,14.44,0,0,0,18.09,18.82,0,0,0,0,0

2,00:15-00:30,19.21,0,0,75.34,8.52,0,0,0,0,0,31.57,0,0,0,40.84,0,0,0,0,0,0,0,88.38,0,0,0,0,49.99,0,0,0,2.24,0,100.07,119.43,0,114.09,402.31,0,14.54,15.83,406.38,234.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,0,14.71,1.59,0,14.44,0,0,0,18.09,18.82,0,0,0,0,0

3,00:30-00:45,19.21,0,0,75.34,8.52,0,0,0,0,0,31.57,0,0,0,40.84,0,0,0,0,0,0,0,88.38,0,0,0,0,49.99,0,0,0,2.24,0,100.07,119.43,0,114.09,402.31,0,14.54,15.83,406.38,234.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,0,14.71,1.59,0,14.44,0,0,0,18.09,18.82,0,0,0,0,0

4,00:45-01:00,18.15,0,0,68.61,8.52,0,0,0,0,0,31.57,0,0,0,40.84,0,0,0,0,0,0,0,88.38,0,0,0,0,49.99,0,0,0,2.24,0,100.07,119.43,0,114.09,402.31,0,14.54,15.83,406.38,234.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.08,0,14.71,1.59,0,14.44,0,0,0,18.09,18.82,0,0,0,0,0

5,01:00-01:15,15.46,0,0,68.61,8.52,0,0,0,0,0,31.57,0,0,0,40.84,0,0,0,0,0,0,0,88.38,0,0,0,0,49.99,0,0,0,2.24,0,100.07,119.43,0,114.09,402.31,0,14.54,15.83,360.96,234.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,0,14.71,1.59,0,14.44,0,0,0,18.09,18.82,0,0,0,0,0

6,01:15-01:30,15.53,0,0,68.61,8.52,0,0,0,0,0,31.57,0,0,0,40.84,0,0,0,0,0,0,0,88.38,0,0,0,0,49.99,0,0,0,2.24,0,100.07,119.43,0,114.09,402.31,0,14.54,15.83,360.96,234.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,0,14.71,1.59,0,14.44,0,0,0,18.09,18.82,0,0,0,0,0

7,01:30-01:45,12.06,0,0,68.61,8.52,0,0,0,0,0,31.57,0,0,0,40.84,0,0,0,0,0,0,0,88.38,0,0,0,0,49.99,0,0,0,2.24,0,100.07,119.43,0,114.09,402.31,0,14.54,15.83,360.96,230.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.08,0,11.19,1.59,0,11.54,0,0,0,4.39,13.94,0,0,0,0,0

8,01:45-02:00,12.78,0,0,68.61,8.52,0,0,0,0,0,31.57,0,0,0,40.84,0,0,0,0,0,0,0,88.38,0,0,0,0,49.99,0,0,0,13.4,0,100.07,119.43,0,114.09,402.31,0,14.54,15.83,360.96,230.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,0,11.19,1.59,0,11.54,0,0,0,4.39,13.94,0,0,0,0,0

