Time,Block,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/26122029/SH-06,NR/2024/20777/A/24520,NR/2024/20050/A/24783,NR/01102023/02012046/L_NR_2021_17,NR/2024/19588/A/24579,NR/2024/20554/A/24458,NR/2024/21285/C,NR/01062024/30062024/R2,NR/2024/20130/A/24572,NR/2024/19642/A/24811,NR/2024/20037/A/24516,NR/2024/20558/A/24818,NR/2024/19757/A/24825,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/30062024/30062024/IEX_240629_01348_1,NR/2024/20537/A/24704,NR/2024/19919/A/24797,NR/2024/19640/A/24810,NR/20062024/30062024/1000011400-GOHP-BRPL(DISCOM),NR/2024/19966/A/24527,NR/2024/19683/A/24484,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/2024/20515/A/24567,NR/2024/20513/A/24568,NR/2024/21258/C,NR/2024/20540/A/24290,NR/2024/20557/A/24819,NR/2024/20141/A/24552,NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/2024/20599/A/24518,NR/2024/19791/A/24800,NR/2024/19355/A/24709,NR/2024/20598/A/24519,NR/2024/20572/A/24781,NR/2024/20144/A/24557,NR/2024/20597/A/24775,NR/30092023/31122025/SH-07,NR/2024/19475/A/24703,NR/2024/19637/A/24537,NR/2024/19432/A/24831,NR/2024/20553/A/24465,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/2024/20560/A/24817,NR/2024/20524/A/24743,NR/2024/19779/A/24461,NR/2024/20211/A/24558,NR/01062024/30062024/IEPL01,NR/01102023/23072042/L_NR_2012_04,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/2024/20516/A/24566,NR/2024/20142/A/24556,NR/2024/19978/A/24799,NR/2024/21266/C,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/2024/21265/C,NR/2024/20090/A/24467,NR/2024/19760/A/24514,NR/2024/20041/A/24776,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/2024/20048/A/24784,NR/2024/20212/A/24561,NR/2024/19988/A/24515,NR/2024/20109/A/24707,NR/2024/19918/A/24798,NR/2024/20552/A/24466,NR/2024/19699/A/24828,NR/01102023/14082046/L_NR_2021_16,Total
,,MEJA,PUNJAB,TPTCL,PTC,SECI_Trader,GMRETL,PXIL,IEXL,PTC,DTCP,MANIKARAN,TPTCL,NVVNL,NVVNL,APPCPL,IEXL,TPDDL,APPCPL,MANIKARAN,TPTCL,BRPL,IEXL,TPTCL,NDMC,MHIL,MSSH,DIAPL,DIAPL,NVVNL,BAL184,TPTCL,TPTCL,APPCPL,TPDDL,TPTCL,NVVNL,BAL234,PTC,BAWANA_GAS,AEL,INSTINCT,NVVNL,IEXL,TPTCL,INSTINCT,NVVNL,HPXL,ITCLH,JHPL-DL,IEPLBELA2022,TPTCL,GMRETL,BMDRC,BAL224,APPCPL,NVVNL,PTC,NVVNL,IEXL,TPTCL,PTC,TPTCL,PTC,UHL,TPTCL,TPDDL,APPCPL,IEXL,NVVNL,SECI_Trader,Total

,,UTTAR PRADESH,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,RAJASTHAN,NA,NA,NA,HIMACHAL PRADESH,GOA,MAHARASHTRA,NA,TAMIL NADU,ARUNACHAL PRADESH,NA,NA,KERALA,MAHARASHTRA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,UTTAR PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,NA,TAMIL NADU,NA,UTTAR PRADESH,NA,HIMACHAL PRADESH,NA,DELHI,NA,NA,NA,MAHARASHTRA,NA,NA,NA,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,MAHARASHTRA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTARAKHAND,NA,MAHARASHTRA,NA,MAHARASHTRA,NA,MAHARASHTRA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NAGALAND,KARNATAKA,MP,NA,
,,MEJA,BAWANA_GAS,HP-GOVT,HP,SBSRPC11PL_BKN,RUVNL,IND_BHARAT,RKM_POWER,SEILP2,SHPPBPL,GOA_Beneficiary,JPL_DHULE,RKM_POWER,TANGEDCO,Arunachal_Ben,RKM_POWER,JHAJJAR,KSEB,AEML,HP-GOVT,IEPLBELA2022,NHCPL_HP,PPGCL,JITPL,SHPPBPL,SHPPBPL,GBHHPL,GBHHPL,SKS Raigarh,SHPPBPL,KWHEP,ACBIL,TANGEDCO,JPL-2,PPGCL,JPL-2,SHPPBPL,SEILP2,BAWANA_GAS,APL_Raipur TPP,JPL-2,SEIL,JSWEL MSEB,ACBIL,JPL-2,RKM_POWER,GBHHPL,ITCWIND,SHPPBPL,IEPLBELA2022,MPL,GBHHPL,SHPPBPL,SHPPBPL,UTTARAKHAND,SORANG_HEP,JPL_DHULE,KAMENG,A_A_Energy_MH_Bio,SIMHAPURI,JPL_DHULE,SIMHAPURI,HP,SHPPBPL,HP-GOVT,JHAJJAR,Nagaland_Ben,JSWEL,JP BINA,SBSRPC11PL_BKN,
,,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,DELHI,PUNJAB,BRPL,BRPL,BYPL,BYPL,BRPL,BRPL,BRPL,DTCP,BRPL,TPDDL,NDMC,BRPL,BRPL,BRPL,TPDDL,BYPL,BYPL,BRPL,BRPL,MES (Delhi),BRPL,NDMC,MHIL,MSSH,DIAPL,DIAPL,NDMC,BAL184,BRPL,BRPL,BYPL,TPDDL,BRPL,NDMC,BAL234,BRPL,HARYANA,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,NDMC,BRPL,ITCLH,JHPL-DL,BRPL,TPDDL,BRPL,BMDRC,BAL224,BYPL,TPDDL,BRPL,TPDDL,MES (Delhi),BRPL,BRPL,BRPL,BYPL,UHL,BRPL,TPDDL,BYPL,BRPL,TPDDL,TPDDL,
,,North-North,North-North,North-North,North-North,North-North,North-North,East-West-North,West-North,South-West-North,North-North,West-North,West-North,West-North,South-West-North,North East-East-North,West-North,North-North,South-West-North,West-North,North-North,West-North,North-North,North-North,East-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,West-North,South-West-North,West-North,North-North,West-North,North-North,South-West-North,North-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,North-North,South-West-North,North-North,West-North,East-North,North-North,North-North,North-North,North-North,North-North,West-North,North East-East-North,West-North,South-West-North,West-North,South-West-North,North-North,North-North,North-North,North-North,North East-East-North,South-East-West-North,West-North,North-North,
1,00:00-00:15,0.000000,32.000000,0.000000,108.530000,0,66.750000,48.240000,48.240000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,38.590000,144.700000,0.000000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,32.000000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.630000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,2421.55

2,00:15-00:30,0.000000,32.000000,0.000000,108.530000,0,66.750000,48.240000,48.240000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,38.590000,144.700000,0.000000,308.700000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,6.750000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,32.000000,192.940000,0.000000,24.120000,48.240000,24.120000,0.000000,32.890000,19.290000,0.630000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,36.180000,0.610000,96.470000,241.180000,13.510000,28.940000,48.240000,0,2421.55
