Column1,Block,GNA/SR/2024/12/01/6968,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/2024/24237/C,NR/2024/24238/C,NR/2024/24146/A/45185,NR/2024/24097/A/45191,NR/2024/24088/A/45193,NR/2024/24052/A/45202,NR/2024/24051/A/45203,NR/2024/24239/C,NR/2024/24060/A/45367,WR/2024/25054/A/45371,NR/2024/23952/A/45183,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1475,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1599,GNA/WR/2024/10/15/7089,GNA/NR/2024/12/01/7739,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,NR/2024/24071/A/45200,Total
,,KSEB,DELHI,BAWANA_GAS,SJVNL,SJVNL,IEXL,IEXL,IEXL,IEXL,IEXL,SJVNL,NVVNL,APPCPL,ITCLH,NDMC,NDMC,NDMC,NDMC,NDMC,PTC,APPCPL,PTC,MANIKARAN,PUNJAB,IEXL,
,,DELHI_UT,HIMACHAL_STATE,DELHI_UT,NA,NA,MP_State,KARNATAKA_STATE,KARNATAKA_STATE,TELANGANA_State,TELANGANA_State,KARNATAKA_STATE,NA,DELHI_UT,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,
,,BYPL,CHANJUII,BAWANA_GAS,RSRPL_BKN,TPSL_BKN2,NSPLN_MP,NSLSUGARALAND,NSLSTUNGBHDRA,NSLKSLWPRTY,NSLKSLWPRTY,RENUKASUGARSATHANI,JITPL,BRPL,ITCWIND,RKM_POWER,RKM_POWER,SKS_Raigarh,JPL2,TRN_ENERGY,BRPL,BYPL,BYPL,BRPL,BAWANA_GAS,TESPL_BKN2,
,,KERALA_State,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,MSEB_State,HIMACHAL_STATE,MSEB_State,PUNJAB_STATE,DELHI_UT,
,,KSEB,TPDDL,HARYANA,NDMC,NDMC,MES_Delhi,MES_Delhi,MES_Delhi,MES_Delhi,MES_Delhi,NDMC,NDMC,GOA_Beneficiary,ITCLH,NDMC,NDMC,NDMC,NDMC,NDMC,HP,AEML,HP,AEML,PUNJAB,MES_Delhi,
,,North-West-South,North-North,North-North,North-North,North-North,West-North,South-West-North,South-West-North,South-West-North,South-West-North,South-West-North,East-North,North-West,South-West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-West,North-North,North-West,North-North,North-North,
1,00:00-00:15,150,1.92,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.43,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,409.03999999999996

2,00:15-00:30,150,1.92,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.43,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,409.03999999999996

3,00:30-00:45,150,1.92,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.43,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,409.03999999999996

4,00:45-01:00,150,1.92,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.43,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,409.03999999999996

5,01:00-01:15,150,1.92,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.38,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,408.99

6,01:15-01:30,150,1.92,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.38,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,408.99

7,01:30-01:45,150,1.92,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.38,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,408.99

8,01:45-02:00,150,1.92,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.38,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,408.99

9,02:00-02:15,150,1.92,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.38,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,408.99

10,02:15-02:30,150,1.92,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.38,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,408.99

11,02:30-02:45,150,1.92,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.38,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,408.99

12,02:45-03:00,150,1.92,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.38,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,408.99

13,03:00-03:15,150,1.84,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.34,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,408.87

14,03:15-03:30,150,1.84,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.34,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,408.87

15,03:30-03:45,150,1.84,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.34,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,408.87

16,03:45-04:00,150,1.84,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.34,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,408.87

17,04:00-04:15,150,1.84,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.43,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,408.96000000000004

18,04:15-04:30,150,1.84,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.43,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,408.96000000000004

19,04:30-04:45,150,1.84,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.43,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,408.96000000000004

20,04:45-05:00,150,1.84,0,0,0,5.77,7.69,0.96,2.89,0,0,17.31,0,0.43,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,408.96000000000004

21,05:00-05:15,150,1.92,0,0,0,5.77,7.69,4.81,2.89,0,0,17.31,0,0.43,25.97,25.97,8.66,25.97,8.66,95.13,0,31.71,0,0,0,412.89

