Block,Time,NR/23032024/30032024/HP-57,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/23032024/30032024/HP-60,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_02,NR/23032024/30032024/HP-64,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/23072042/L_NR_2012_04,NR/01012024/31032024/ ChanjuII,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/01032024/31032024/NVVN/OA/16997,NR/01102023/31102037/L_NR_2019_11,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/01102023/02012046/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,NR/26072023/31072042/L_NR_2023_07,SR/01032024/31032024/SJVN010324NR1590,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,WR/16032024/31032024/TPDDL/PMG/MSEDCL/Banking/12112023,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/14082046/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,NR/01032024/31032024/SJVN010324NR1588,NR/01032024/31032024/SJVN010324NR1589,WR/01102023/01102023/L_NR_2022_09,SR/16032024/31032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023
1,00:00-00:15,173.290000,2.330000,0.000000,27.080000,74.210000,35.260000,57.650000,25.570000,0.000000,205.880000,29.590000,82.200000,271.970000,7.110000,0.000000,0.000000,25.570000,1.820000,48.350000,2.610000,48.35,13.34,0,0,0,20.67,0,0,62,0,18.8,0,0,0,20.66,0,193.400000,0,0,0,0,46.67,0,0,0,46.67,48.35

2,00:15-00:30,173.290000,2.330000,0.000000,27.080000,74.210000,35.260000,57.650000,25.570000,0.000000,225.220000,29.590000,82.200000,271.970000,7.110000,0.000000,0.000000,25.570000,1.820000,48.350000,2.610000,48.35,13.34,0,0,0,20.83,0,0,62.5,0,18.2,0,0,0,20.84,0,193.400000,0,0,0,0,47,0,0,0,47,48.35

3,00:30-00:45,173.290000,2.330000,0.000000,27.080000,74.210000,35.260000,57.650000,25.570000,0.000000,215.550000,29.590000,82.200000,271.970000,7.110000,0.000000,0.000000,25.570000,1.820000,48.350000,2.610000,48.35,13.34,0,0,0,20.83,0,0,62.5,0,17,0,0,0,20.84,0,193.400000,0,0,0,0,36.33,0,0,0,36.33,48.35

4,00:45-01:00,173.290000,2.330000,0.000000,27.080000,74.210000,35.260000,57.650000,25.570000,0.000000,215.550000,29.590000,77.360000,271.970000,7.110000,0.000000,0.000000,25.570000,1.820000,48.350000,2.610000,48.35,13,0,0,0,13.67,0,0,41,0,7.21,0,0,0,13.66,0,193.400000,0,0,0,0,36.67,0,0,0,36.67,48.35

5,01:00-01:15,173.290000,2.330000,0.000000,27.080000,74.210000,35.260000,57.650000,25.570000,0.000000,215.550000,29.590000,77.360000,271.970000,7.110000,0.000000,0.000000,25.570000,1.820000,48.350000,2.390000,48.35,13,0,0,0,13.83,0,0,41.5,0,7.21,0,0,0,13.84,0,193.400000,0,0,0,0,37,0,0,0,37,48.35

6,01:15-01:30,173.290000,2.330000,0.000000,27.080000,74.210000,35.260000,57.650000,25.570000,0.000000,215.550000,29.590000,77.360000,271.970000,7.110000,0.000000,0.000000,25.570000,1.820000,48.350000,2.390000,48.35,12.66,0,0,0,14,0,0,42,0,7.21,0,0,0,14,0,193.400000,0,0,0,0,37.67,0,0,0,37.67,48.35

7,01:30-01:45,173.290000,2.330000,0.000000,27.080000,74.210000,35.260000,57.650000,25.570000,0.000000,215.550000,29.590000,77.360000,271.970000,7.110000,0.000000,0.000000,25.570000,1.820000,48.350000,2.390000,48.35,12.66,0,0,0,18,0,0,54,0,7.21,0,0,0,18,0,193.400000,0,0,0,0,38.33,0,0,0,38.33,48.35

8,01:45-02:00,173.290000,2.330000,0.000000,27.080000,74.210000,35.260000,57.650000,25.570000,0.000000,215.550000,29.590000,68.840000,271.970000,7.110000,0.000000,0.000000,25.570000,1.820000,48.350000,2.390000,48.35,12.34,0,0,0,18.33,0,0,55,0,7.21,0,0,0,18.34,0,193.400000,0,0,0,0,39,0,0,0,39,48.35

9,02:00-02:15,173.290000,2.330000,0.000000,27.080000,74.210000,35.260000,57.650000,25.570000,0.000000,215.550000,29.590000,53.180000,271.970000,7.110000,0.000000,0.000000,25.570000,1.820000,48.350000,2.310000,48.35,12.34,0,0,0,18.67,0,0,56,0,7.21,0,0,0,18.66,0,193.400000,0,0,0,0,39.67,0,0,0,39.67,48.35

10,02:15-02:30,173.290000,2.330000,0.000000,27.080000,74.210000,35.260000,57.650000,25.570000,0.000000,215.550000,29.590000,53.180000,271.970000,7.110000,0.000000,0.000000,25.570000,1.820000,48.350000,2.310000,48.35,12.34,0,0,0,18.83,0,0,56.5,0,7.21,0,0,0,18.84,0,193.400000,0,0,0,0,40.33,0,0,0,40.33,48.35

11,02:30-02:45,173.290000,2.330000,0.000000,27.080000,74.210000,35.260000,57.650000,25.570000,0.000000,215.550000,29.590000,53.180000,271.970000,7.110000,0.000000,0.000000,25.570000,1.820000,48.350000,2.310000,48.35,12,0,0,0,19.17,0,0,57.5,0,7.21,0,0,0,19.16,0,193.400000,0,0,0,0,40,0,0,0,40,48.35

