Column1,Time,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_07),L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,GNARE/NR/2024/12/20/3668,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/01/17/2132,GNA/NR/2025/01/01/3514,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/19072037/LT-05,GNA/NR/2025/01/17/8178,NR/01102023/31102037/L_NR_2019_11,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/7459,NR/01102023/22052037/LT-59,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/17/3869,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/3733,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/01/01/3925,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2025/01/01/8625,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/01/01/3945,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/6528,NR/01102023/31052040/LT-31,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,GNA/NR/2025/01/17/6226,NR/01102023/30042040/GNA_LT_36
1,00:00-00:15,72.49,0,0,21.01,0,0,0,0,0,24.17,0,0,0,75,21.33,0,24.17,75,0,0,25.23,0,19.16,134.31,69.87,0,0.99,1.37,59.23,47.9,28.74,26.82,25.87,0,25.87,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,25.87,0,8.62,0,0,0,0,0

2,00:15-00:30,67.01,0,0,20.61,0,0,0,0,0,22.33,0,0,0,74.34,20.67,0,22.33,74.33,0,0,25.23,0,19.16,114.19,69.87,0,0.99,1.37,59.23,47.9,28.74,26.82,25.87,0,25.87,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,25.87,0,8.62,0,0,0,0,0

3,00:30-00:45,64.99,0,0,20.21,0,0,0,0,0,21.67,0,0,0,72.34,19.67,0,21.67,72.33,0,0,25.23,0,19.16,94.08,69.87,0,0.99,1.37,59.23,47.9,28.74,26.82,25.87,0,25.87,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,25.87,0,8.62,0,0,0,0,0

4,00:45-01:00,60,0,0,19.61,0,0,0,0,0,20,0,0,0,70.34,19,0,20,70.33,0,0,25.23,0,19.16,94.08,69.87,0,0.99,1.37,59.23,47.9,28.74,26.82,25.87,0,25.87,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,25.87,0,8.62,0,0,0,0,0

5,01:00-01:15,56.51,0,0,18.81,0,0,0,0,0,18.83,0,0,0,71.66,18.33,0,18.83,71.67,0,0,25.23,0,19.16,74.49,69.87,0,0.99,1.37,59.23,47.9,28.74,26.82,25.87,0,25.87,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,25.87,0,8.62,0,0,0,0,0

6,01:15-01:30,54.49,0,0,18.21,0,0,0,0,0,18.17,0,0,0,71.34,18,0,18.17,71.33,0,0,25.23,0,19.16,74.49,69.87,0,0.99,1.37,59.23,47.9,28.74,26.82,25.87,0,25.87,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,25.87,0,8.62,0,0,0,0,0

7,01:30-01:45,52.5,0,0,15.01,0,0,0,0,0,17.5,0,0,0,71,17.67,0,17.5,71,0,0,25.74,0,19.16,74.49,69.87,0,0.99,1.37,59.23,47.9,28.74,26.82,25.87,0,25.87,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,25.87,0,8.62,0,0,0,0,0

8,01:45-02:00,51,0,0,15.21,0,0,0,0,0,17,0,0,0,70,17.33,0,17,70,0,0,25.74,0,19.16,74.49,69.87,0,0.99,1.37,59.23,47.9,28.74,26.82,25.87,0,25.87,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,25.87,0,8.62,0,0,0,0,0

9,02:00-02:15,49.5,0,0,16.01,0,0,0,0,0,16.5,0,0,0,69.66,17.67,0,16.5,69.67,0,0,25.23,0,19.16,74.49,69.87,0,0.99,1.37,59.23,47.9,28.74,26.82,23.95,0,23.95,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,23.95,0,8.62,0,0,0,0,0

10,02:15-02:30,49.99,0,0,16.61,0,0,0,0,0,16.67,0,0,0,67.34,18.33,0,16.67,67.33,0,0,24.73,0,19.16,74.49,69.87,0,0.99,1.37,59.23,47.9,28.74,26.82,23.95,0,23.95,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,23.95,0,8.62,0,0,0,0,0

11,02:30-02:45,51,0,0,19.01,0,0,0,0,0,17,0,0,0,66.34,19,0,17,66.33,0,0,24.73,0,19.16,74.49,69.87,0,0.99,1.37,59.23,47.9,28.74,26.82,23.95,0,23.95,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,23.95,0,8.62,0,0,0,0,0

12,02:45-03:00,52.01,0,0,19.01,0,0,0,0,0,17.33,0,0,0,65,19.67,0,17.33,65,0,0,24.73,0,19.16,74.49,69.87,0,0.99,1.37,59.23,47.9,28.74,26.82,23.95,0,23.95,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,23.95,0,8.62,0,0,0,0,0

13,03:00-03:15,52.99,0,0,18.81,0,0,0,0,0,17.67,0,0,0,54,18,0,17.67,54,0,0,24.73,0,19.16,74.49,69.87,0,0.99,1.37,59.23,47.9,28.74,26.82,23.95,0,23.95,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,23.95,0,8.62,0,0,0,0,0

14,03:15-03:30,55.01,0,0,18.61,0,0,0,0,0,18.33,0,0,0,54.66,17.67,0,18.33,54.67,0,0,24.73,0,19.16,74.49,69.87,0,0.99,1.37,59.23,47.9,28.74,26.82,23.95,0,23.95,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,23.95,0,8.62,0,0,0,0,0

15,03:30-03:45,51.49,0,0,29.01,0,0,0,0,0,17.17,0,0,0,46.66,9.33,0,17.17,46.67,0,0,24.73,0,19.16,74.49,69.87,0,0.99,1.37,59.23,47.9,28.74,26.82,23.95,0,23.95,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,23.95,0,8.62,0,0,0,0,0

16,03:45-04:00,53.51,0,0,28.41,0,0,0,0,0,17.83,0,0,0,46,9.67,0,17.83,46,0,0,24.73,0,19.16,74.49,69.87,0,0.99,1.37,59.23,47.9,28.74,26.82,23.95,0,23.95,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,23.95,0,8.62,0,0,0,0,0

17,04:00-04:15,48.49,0,0,23.61,0,0,0,0,0,16.17,0,0,0,45,10,0,16.17,45,0,0,24.73,0,19.16,74.49,69.87,0,0.99,1.28,59.23,47.9,28.74,26.82,23.95,0,23.95,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,23.95,0,8.62,0,0,0,0,0

18,04:15-04:30,52.01,0,0,23.41,0,0,0,0,0,17.33,0,0,0,44,10,0,17.33,44,0,0,24.73,0,19.16,74.49,69.87,0,0.99,1.28,59.23,47.9,28.74,26.82,23.95,0,23.95,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,23.95,0,8.62,0,0,0,0,0

19,04:30-04:45,62.51,0,0,27.21,0,0,0,0,0,20.83,0,0,0,40,10.33,0,20.83,40,0,0,24.73,0,19.16,74.49,69.87,0,0.99,1.28,59.23,47.9,28.74,26.82,23.95,0,23.95,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,23.95,0,8.62,0,0,0,0,0

20,04:45-05:00,61.99,0,0,27.01,0,0,0,0,0,20.67,0,0,0,39.66,10.33,0,20.67,39.67,0,0,24.73,0,19.16,74.49,69.87,0,0.99,1.28,59.23,47.9,28.74,26.82,23.95,0,23.95,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,23.95,0,8.62,0,0,0,0,0

21,05:00-05:15,61.5,0,0,27.01,0,0,0,0,0,20.5,0,0,0,39.66,10.67,0,20.5,39.67,0,0,24.73,0,19.16,74.49,69.87,0,0.99,1.37,59.23,47.9,28.74,26.82,23.95,0,23.95,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,23.95,0,8.62,0,0,0,0,0

22,05:15-05:30,61.01,0,0,26.41,0,0,0,0,0,20.33,0,0,0,39.34,10.67,0,20.33,39.33,0,0,24.73,0,19.16,74.49,69.87,0,0.99,1.37,59.23,47.9,28.74,26.82,23.95,0,23.95,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,23.95,0,8.62,0,0,0,0,0

23,05:30-05:45,60.49,0,0,22.01,0,0,0,0,0,20.17,0,0,0,39,10.67,0,20.17,39,0,0,24.73,0,19.16,94.61,69.87,0,0.99,1.37,59.23,47.9,28.74,26.82,23.95,0,23.95,0,47.9,20.12,52.69,65.14,47.9,1.43,0,0,0,23.95,0,8.62,0,0,0,0,0

