Block,Time,BSIUL,MAPS,PARBATI2,TANDA2,UNCHAHAR4,DADRI_RF,CHAMERA1,DULHASTI,KHSTPP-I,KKNP,RAPPB,RIHAND2,RSTPSU1TO6,JHAJJAR,NLCEXP,SEWA2,SIMHST1,TANAKPUR,TEHRIPSP,ANTA_CRF,ANTA_GF,AURY_CRF,KKNPPU2,KOTESHWR,NLCIIST1,NLCTS2EXP,PARBATI3,RSTPSU7,SIMHST2,UNCHAHAR3,AURY_GF,DADRI_LF,CHAMERA2,CHAMERA3,KGSU1AND2,KGSU3AND4,NLCIIST2,NNTPP,RAMPUR,RAPPC,RAPPD,SASAN,TALA,TALST2,UNCHAHAR2,URI,ANTA_LF,AURY_LF,DADRI_CRF,BRBCL,DADRT2,FSTPP I & II,KOLDAM,KUDGI,NJPC,SALAL,SINGRAULI_HYDRO,UNCHAHAR1,URI2,ANTA_RF,DADRI_GF,NAPP,NTPL,RIHAND3,SINGRAULI,TelanganaSTPP,AURY_RF,DHAULIGNGA,KHSTPP-II,KISHANGANGA,RIHAND1,TEHRI,VALLURNTECL
1,00:00-00:15,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,536.55,0,0,0,13.06,158.05,0,0,0,0,40.57,0,0,38.65,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.23,0,45,39.75,0,0,0,24.99,549.38,18.76,8.62,0,175.79,84.24,0.96,21.65,38.97,51.2,0,24.87,0,130.84,134.74,0,79.74,0,148.3,7.05,98.32,57.67,0

2,00:15-00:30,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,536.55,0,0,0,13.06,79.02,0,0,0,0,40.57,0,0,38.65,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.23,0,45,39.75,0,0,0,24.99,549.38,18.76,8.62,0,175.79,84.24,0.96,21.65,38.97,51.2,0,24.87,0,130.84,134.74,0,79.74,0,148.3,7.05,98.32,57.67,0

3,00:30-00:45,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,536.55,0,0,0,13.06,0,0,0,0,0,40.57,0,0,32.71,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.23,0,45,52.36,0,0,0,24.99,549.38,18.76,8.62,0,175.79,84.24,0.96,21.65,38.97,51.2,0,24.87,0,130.84,134.74,0,79.74,0,148.3,7.05,98.32,57.67,0

4,00:45-01:00,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,536.55,0,0,0,13.06,0,0,0,0,0,40.57,0,0,32.71,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.23,0,45,52.36,0,0,0,24.99,549.38,18.76,8.62,0,175.79,84.24,0.96,21.65,38.97,51.2,0,24.87,0,130.84,134.74,0,79.74,0,148.3,7.05,98.32,57.67,0

5,01:00-01:15,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,536.55,0,0,0,13.06,0,0,0,0,0,40.57,0,0,32.71,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.23,0,45,52.36,0,0,0,24.99,549.38,18.76,8.62,0,175.79,84.24,0.96,21.65,38.97,51.2,0,24.87,0,130.84,134.74,0,79.74,0,148.3,7.05,98.32,57.67,0

6,01:15-01:30,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,536.55,0,0,0,13.06,0,0,0,0,0,40.57,0,0,32.71,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.23,0,45,24.29,0,0,0,24.99,549.38,18.76,8.62,0,175.79,84.24,0.96,21.65,38.97,51.2,0,24.87,0,130.84,134.74,0,79.74,0,148.3,7.05,98.32,57.67,0

7,01:30-01:45,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,536.55,0,0,0,13.06,0,0,0,0,0,40.57,0,0,32.71,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.23,0,45,24.29,0,0,0,24.99,549.38,18.76,8.62,0,175.79,84.24,0.96,21.65,24.94,51.2,0,24.87,0,130.84,134.74,0,79.74,0,148.3,7.05,98.32,57.67,0

8,01:45-02:00,13.04,0,0,5.73,3.22,52.7,42.15,55.38,45.53,0,0,125.27,0,536.55,0,0,0,13.06,0,0,0,0,0,40.57,0,0,32.71,0,0,27.69,0,0,47.12,33.94,0,0,0,0,5.7,65.27,0,258.75,13.23,0,45,24.29,0,0,0,24.99,549.38,18.76,8.62,0,175.79,84.24,0.96,21.65,24.94,51.2,0,24.87,0,130.84,134.74,0,79.74,0,148.3,7.05,98.32,57.67,0

