Block,Time,CHAMERA2,DADRT2,CHAMERA3,DHAULIGNGA,URI2,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,UNCHAHAR3,SEWA2,NJPC,RIHAND1,KISHANGANGA,RAPPC,NAPP,JHAJJAR,KOTESHWR,SINGRAULI_HYDRO,DULHASTI,RIHAND3,TEHRI,KOLDAM,PARBATI3,SINGRAULI,RAMPUR,RIHAND2,TANDA2,CHAMERA1,BSIUL,URI,TANAKPUR,SALAL,RAPPB,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,NTPL,MAPS,RSTPSU7,TALST2,SIMHST1,SIMHST2,KUDGI,VALLURNTECL,NLCIIST1,RSTPSU1TO6,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
26,06:15-06:30,41.864567,688.249014,30.573593,28.714951,33.873497,43.050737,20.755001,0.814833,26.717787,16.588865,160.017672,89.266601,2.184458,55.603538,41.438879,657.89409,8.443451,1.088558,51.987209,125.295291,0,2.429119,68.802518,142.003256,1.754582,119.5917,1.44175,42.14808,19.6614,47.472,7.686,81.921,0,0,76.862194,0,6.987472,0,36.840282,0,5.58186,0,68.537259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,20.0018,20.73185,26.46,147.515625,43.097,418.77

27,06:30-06:45,41.864567,688.249014,30.573593,28.714951,33.873497,43.050737,20.755001,0.814833,26.717787,16.588865,160.017672,89.266601,2.184458,55.603538,41.438879,657.89409,8.443451,1.088558,51.987209,125.295291,0,2.429119,68.802518,142.003256,1.754582,119.5917,1.44175,42.14808,19.6614,47.472,7.686,81.921,0,0,76.862194,0,6.987472,0,36.840282,0,5.58186,0,68.537259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,20.0018,20.73185,26.46,147.515625,43.097,418.77

28,06:45-07:00,41.864567,688.249014,30.573593,28.714951,33.873497,43.050737,20.755001,0.814833,26.717787,16.588865,160.017672,89.266601,2.184458,55.603538,41.438879,657.89409,8.443451,1.088558,51.987209,125.295291,0,2.429119,17.409544,142.003256,1.754582,119.5917,1.44175,42.14808,19.6614,51.888,7.686,81.921,0,0,76.862194,0,6.987472,0,36.840282,0,5.58186,0,68.537259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,20.0018,20.73185,26.46,147.515625,43.097,418.77

29,07:00-07:15,41.864567,688.249014,30.573593,28.714951,33.873497,43.050737,20.755001,0.814833,26.717787,16.588865,160.017672,89.266601,2.184458,55.603538,41.438879,657.89409,8.443451,1.088558,51.987209,125.295291,0,2.429119,3.34799,142.003256,1.754582,119.5917,1.44175,42.14808,19.6614,51.888,7.686,81.921,0,0,76.862194,0,6.987472,0,35.723911,0,5.58186,0,68.537259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,20.0018,20.73185,26.46,147.515625,41.883,418.77

30,07:15-07:30,41.864567,688.249014,30.573593,28.714951,33.873497,43.050737,20.755001,0.814833,26.717787,14.411715,160.017672,89.266601,2.184458,55.603538,41.438879,657.89409,8.443451,1.088558,51.987209,125.295291,0,2.429119,3.34799,142.003256,1.754582,119.5917,1.44175,42.14808,19.6614,47.472,7.686,81.921,0,0,76.862194,0,6.987472,0,35.723911,0,5.58186,0,68.537259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.62,0,0,0,20.0018,20.73185,26.46,147.515625,41.883,418.77

