Block,Time,DULHASTI,JHAJJAR,KISHANGANGA,DADRT2,DHAULIGNGA,KOLDAM,CHAMERA1,CHAMERA2,CHAMERA3,BSIUL,TANAKPUR,TANDA2,UNCHAHAR1,UNCHAHAR2,UNCHAHAR4,URI,KOTESHWR,NAPP,PARBATI3,RAMPUR,RAPPB,RIHAND1,RIHAND2,RIHAND3,SEWA2,SINGRAULI,TEHRI,URI2,UNCHAHAR3,SALAL,SINGRAULI_HYDRO,NJPC,RAPPC,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,KGSU3AND4,KKNP,KKNPPU2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,KHSTPP-I,KHSTPP-II,FSTPP I & II,TALA,BRBCL,SASAN
1,00:00-00:15,0,653.1525,0,683.129127,0,0,0,0,0,0,2.1777,0,21.82362,42.392196,0,2.208,8.874,21.4668,0,0,0,92,59.0625,123.665625,0,110.25,0,4.7082,26.39091,6.972,0.70781,0,54.4401,0,0,15.225,30.45,0,0,0,93.16,0,0,0,35.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.813,125.88,20.73185,0,15.00135,373.5

2,00:15-00:30,0,653.1525,0,683.129127,0,0,0,0,0,0,2.1777,0,21.82362,42.392196,0,2.208,8.874,21.4668,0,0,0,92,59.0625,123.665625,0,110.25,0,4.7082,26.39091,5.229,0.70781,0,54.4401,0,0,15.225,30.45,0,0,0,93.16,0,0,0,35.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.027,125.88,20.73185,0,15.00135,373.5

3,00:30-00:45,0,653.1525,0,683.129127,0,0,0,0,0,0,6.405,0,21.82362,42.392196,0,2.208,8.874,21.4668,0,0,0,92,59.0625,123.665625,0,110.25,0,4.7082,26.39091,1.3944,0.70781,0,54.4401,0,0,15.225,30.45,0,0,0,93.16,0,0,0,35.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.027,125.88,20.73185,0,15.00135,373.5

4,00:45-01:00,0,653.1525,0,683.129127,0,0,0,0,0,0,6.405,0,21.82362,42.392196,0,2.208,8.874,21.4668,0,0,0,92,59.0625,123.665625,0,110.25,0,4.7082,26.39091,1.3944,0.70781,0,54.4401,0,0,15.225,30.45,0,0,0,93.16,0,0,0,35.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.027,125.88,20.73185,0,15.00135,373.5

5,01:00-01:15,0,653.1525,0,683.129127,0,0,0,0,0,0,6.405,0,21.82362,42.392196,0,24.288,8.874,21.4668,0,0,0,92,59.0625,123.665625,0,110.25,0,4.7082,26.39091,1.3944,0.70781,0,54.4401,0,0,15.225,30.45,0,0,0,93.16,0,0,0,35.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.241,125.88,20.73185,0,15.00135,373.5

6,01:15-01:30,0,653.1525,0,683.129127,0,0,0,0,0,0,6.405,0,21.82362,42.392196,0,24.288,8.874,21.4668,0,0,0,92,59.0625,123.665625,0,110.25,0,4.7082,26.39091,1.3944,0.70781,0,54.4401,0,0,15.225,30.45,0,0,0,93.16,0,0,0,35.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.241,125.88,20.73185,0,15.00135,373.5

7,01:30-01:45,0,653.1525,0,683.129127,0,0,0,0,0,0,0,0,21.82362,42.392196,0,4.416,8.874,21.4668,0,0,0,92,59.0625,123.665625,0,110.25,0,4.7082,26.39091,1.3944,0.70781,0,54.4401,0,0,15.225,30.45,0,0,0,93.16,0,0,0,35.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.241,125.88,20.73185,0,15.00135,373.5

8,01:45-02:00,0,653.1525,0,683.129127,0,0,0,0,0,0,0,0,21.82362,42.392196,0,2.208,8.874,21.4668,0,0,0,92,59.0625,123.665625,0,110.25,0,4.7082,26.39091,1.3944,0.70781,0,54.4401,0,0,15.225,30.45,0,0,0,93.16,0,0,0,35.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.455,125.88,20.73185,0,15.00135,373.5

9,02:00-02:15,0,653.1525,0,683.129127,0,0,0,0,0,0,0,0,21.82362,20.142,0,2.208,8.874,21.4668,0,0,0,92,59.0625,123.665625,0,110.25,0,4.7082,26.39091,1.3944,0.70781,0,54.4401,0,0,15.225,30.45,0,0,0,93.16,0,0,0,35.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.455,125.88,20.73185,0,15.00135,373.5

10,02:15-02:30,0,653.1525,0,683.129127,0,0,0,0,0,0,0,0,21.82362,20.142,0,2.208,8.874,21.4668,0,0,0,92,59.0625,123.665625,0,110.25,0,4.7082,26.39091,1.3944,0.70781,0,54.4401,0,0,15.225,30.45,0,0,0,93.16,0,0,0,35.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.455,125.88,20.73185,0,15.00135,373.5

11,02:30-02:45,0,653.1525,0,683.129127,0,0,0,0,0,0,0,0,21.82362,20.142,0,1.4352,8.874,21.4668,0,0,0,92,59.0625,123.665625,0,110.25,0,4.7082,26.39091,1.3944,0.70781,0,54.4401,0,0,15.225,30.45,0,0,0,93.16,0,0,0,35.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.669,125.88,20.73185,0,15.00135,373.5

12,02:45-03:00,0,653.1525,0,683.129127,0,0,0,0,0,0,0,0,21.82362,20.142,0,1.4352,8.874,21.4668,0,0,0,92,59.0625,123.665625,0,110.25,0,4.7082,26.39091,1.3944,0.70781,0,54.4401,0,0,15.225,30.45,0,0,0,93.16,0,0,0,35.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.669,125.88,20.73185,0,15.00135,373.5

13,03:00-03:15,0,653.1525,0,683.129127,0,0,0,0,0,0,0,0,21.82362,20.142,0,1.656,8.874,21.4668,0,0,0,92,59.0625,123.665625,0,110.25,0,4.7082,26.39091,1.3944,0.70781,0,54.4401,0,0,15.225,30.45,0,0,0,93.16,0,0,0,35.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.669,125.88,20.73185,0,15.00135,373.5

14,03:15-03:30,0,653.1525,0,683.129127,0,0,0,0,0,0,0,0,21.82362,20.142,0,1.656,8.874,21.4668,0,0,0,92,59.0625,123.665625,0,110.25,0,4.7082,26.39091,1.3944,0.70781,0,54.4401,0,0,15.225,30.45,0,0,0,93.16,0,0,0,35.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.883,125.88,20.73185,0,15.00135,373.5

15,03:30-03:45,0,653.1525,0,683.129127,0,0,0,0,0,0,0,0,21.82362,20.142,0,1.656,8.874,21.4668,0,0,0,92,59.0625,123.665625,0,110.25,0,4.7082,26.39091,1.3944,0.70781,0,54.4401,0,0,15.225,30.45,0,0,0,93.16,0,0,0,35.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.848,125.88,20.73185,0,15.00135,393.75

16,03:45-04:00,0,653.1525,0,683.129127,0,0,0,0,0,0,0,0,21.82362,20.142,0,1.656,8.874,21.4668,0,0,0,92,59.0625,123.665625,0,110.25,0,4.7082,26.39091,1.3944,0.70781,0,54.4401,0,0,15.225,30.45,0,0,0,93.16,0,0,0,35.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.848,125.88,20.73185,0,15.00135,401.625

