Block,Time,BRBCL,FSTPP I & II,KHSTPP-II,TALA,KHSTPP-I,KUDGI,SASAN,RIHAND1,TANAKPUR,NJPC,DADRI_LF,SINGRAULI_HYDRO,DADRI_CRF,NAPP,CHAMERA3,DADRI_RF,ANTA_RF,JHAJJAR,UNCHAHAR2,TEHRI,KOLDAM,SEWA2,ANTA_CRF,AURY_CRF,BSIUL,RAMPUR,RIHAND2,UNCHAHAR1,RAPPB,DULHASTI,ANTA_LF,DADRI_GF,RAPPC,KISHANGANGA,PARBATI3,ANTA_GF,UNCHAHAR3,TANDA2,AURY_GF,CHAMERA2,AURY_RF,URI2,DADRT2,KOTESHWR,RIHAND3,SALAL,UNCHAHAR4,DHAULIGNGA,URI,AURY_LF,SINGRAULI,CHAMERA1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,19.281969,15.782317,70.542522,0.000000,35.041661,62.67,403.736157,88.697200,3.705036,0.000000,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,0.000000,178.358500,31.222186,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.884312,0.000000,0.000000,15.887261,0.000000,0.000000,52.118668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.078351,179.877719,8.555423,119.226029,12.323126,0.000000,0.000000,4.257466,0.000000,118.583895,0.000000,0,0,0,0,0

2,00:15-00:30,19.047399,9.896872,70.542522,0.000000,35.041661,61.70,403.736157,88.697200,3.705036,0.000000,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,0.000000,230.419900,12.533300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.884312,0.000000,0.000000,15.887261,0.000000,0.000000,52.118668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.078351,173.538000,8.555423,119.226029,76.526614,0.000000,0.000000,4.257466,0.000000,118.584300,0.000000,0,0,0,0,0

3,00:30-00:45,16.920130,4.820500,41.338092,0.000000,35.041661,59.77,403.736157,88.697200,3.705036,0.000000,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,0.000000,230.419900,12.533300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.884312,0.000000,0.000000,15.887261,0.000000,0.000000,52.118668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.078351,173.538000,0.000000,119.226029,76.526614,0.000000,0.000000,4.257466,0.000000,118.584300,0.000000,0,0,0,0,0

4,00:45-01:00,15.087637,4.820500,30.851200,0.000000,20.541018,59.77,403.736157,88.697200,3.705036,0.000000,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,0.000000,230.419900,12.533300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.884312,0.000000,0.000000,15.887261,0.000000,0.000000,52.118668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.078351,173.538000,0.000000,119.226029,76.526614,0.000000,0.000000,4.257466,0.000000,118.584300,0.000000,0,0,0,0,0

5,01:00-01:15,13.268355,4.820500,30.851200,0.000000,14.287962,58.81,403.736157,88.697200,3.705036,0.000000,0.000000,0.571740,0.000000,0.000000,0.000000,0.000000,0.000000,230.419900,12.533300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.884312,2.892300,0.000000,15.887261,0.000000,0.000000,52.118668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.078351,173.538000,0.000000,119.226029,76.526614,0.000000,0.000000,4.257466,0.000000,118.584300,0.000000,0,0,0,0,0

