Block,Time,BSIUL,KGSU3AND4,NLCEXP,RAPPC,SALAL,TALA,URI2,KKNPPU2,KOTESHWR,NLCIIST2,TEHRI,ANTA_GF,ANTA_LF,ANTA_RF,DADRI_GF,DADRI_LF,JHAJJAR,KKNP,NLCIIST1,NTPL,PARBATI3,RIHAND1,RIHAND2,RIHAND3,RSTPSU1TO6,SINGRAULI,SINGRAULI_HYDRO,TelanganaSTPP,UNCHAHAR2,VALLURNTECL,ANTA_CRF,BRBCL,KHSTPP-I,KHSTPP-II,KOLDAM,NAPP,NNTPP,SEWA2,SIMHST1,AURY_GF,AURY_RF,DADRI_RF,CHAMERA3,KUDGI,RAPPB,RSTPSU7,SIMHST2,UNCHAHAR3,AURY_CRF,CHAMERA1,CHAMERA2,NJPC,RAMPUR,SASAN,TALST2,UNCHAHAR1,AURY_LF,KGSU1AND2,KISHANGANGA,MAPS,NLCTS2EXP,TANDA2,URI,DADRT2,DHAULIGNGA,DULHASTI,FSTPP I & II,TANAKPUR,UNCHAHAR4,DADRI_CRF
1,00:00-00:15,0,0,0,51.9,12.78,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,236.25,0,20.56,0,0,0,0,0,0,2.21,341.57,1.32,16.48,20.8,11.91,0,0

2,00:15-00:30,0,0,0,51.9,26.73,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,1.32,16.48,20.8,11.91,0,0

3,00:30-00:45,0,0,0,51.9,79.38,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,1.32,16.48,20.8,7.68,0,0

4,00:45-01:00,0,0,0,51.9,79.38,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,1.32,16.48,20.8,7.68,0,0

5,01:00-01:15,0,0,0,51.9,79.38,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,1.32,16.48,20.8,7.68,0,0

6,01:15-01:30,0,0,0,51.9,79.38,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,1.32,16.48,20.8,7.68,0,0

7,01:30-01:45,0,0,0,51.9,26.73,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,1.32,16.48,20.8,7.68,0,0

8,01:45-02:00,0,0,0,51.9,12.78,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,1.32,16.48,20.8,7.68,0,0

9,02:00-02:15,0,0,0,51.9,2.33,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,1.32,16.48,20.8,11.91,0,0

10,02:15-02:30,0,0,0,51.9,2.33,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,1.32,16.48,20.8,11.91,0,0

11,02:30-02:45,0,0,0,51.9,2.33,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,9.11,16.48,20.8,7.68,0,0

12,02:45-03:00,0,0,0,51.9,2.33,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,9.11,32.96,20.8,7.68,0,0

13,03:00-03:15,0,0,0,51.9,2.33,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,9.11,32.96,20.8,7.68,0,0

14,03:15-03:30,0,0,0,51.9,2.33,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,9.11,32.96,20.8,7.68,0,0

15,03:30-03:45,0,0,0,51.9,2.33,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,9.11,32.96,20.8,7.68,0,0

16,03:45-04:00,0,0,0,51.9,2.33,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,9.11,32.96,20.8,7.68,0,0

17,04:00-04:15,0,0,0,51.9,2.33,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,9.11,32.96,20.8,7.68,0,0

18,04:15-04:30,0,0,0,51.9,2.33,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,9.11,32.96,20.8,7.68,0,0

19,04:30-04:45,0,0,0,51.9,2.33,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,9.11,49.43,20.8,7.68,0,0

20,04:45-05:00,0,0,0,51.9,2.33,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,21.78,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,9.11,49.43,20.8,7.68,0,0

21,05:00-05:15,0,0,0,51.9,2.33,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,0,0,0,0,0,26.39,0,0,2,42.62,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,9.11,49.43,20.8,6.4,0,0

22,05:15-05:30,1.1,0,0,51.9,2.33,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,9.68,0,0,0,0,26.39,0,0,2,70.17,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,9.11,49.43,20.8,6.4,0,0

23,05:30-05:45,6.52,0,0,51.9,2.33,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,0,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,9.68,0,0,0,0,26.39,0,0,4,85.23,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,18.23,49.43,20.8,6.4,0,0

24,05:45-06:00,6.52,0,0,51.9,2.33,0,4.57,0,8.87,0,14.93,0,0,42.74,0,21.92,654.31,0,0,0,2.55,92,118.76,124.32,0,139.68,0,0,42.4,0,0,15,44.31,148.3,0,41.44,0,0,0,0,69.5,66.85,19.36,0,0,0,0,26.39,0,11.85,12,113.64,0,225,0,20.56,0,0,0,0,0,0,2.21,341.57,27.48,49.43,20.8,6.4,0,0

