Time,Block,NR/2024/20540/A/21967,NR/2024/20597/A/22246,NR/2024/20773/C,NR/2024/20558/A/22566,NR/2024/20109/A/22515,NR/2024/19588/A/22227,NR/2024/20050/A/22252,NR/2024/20516/A/22223,NR/2024/19791/A/22527,NR/2024/19432/A/22575,NR/2024/20524/A/22488,NR/2024/20513/A/22224,NR/2024/20560/A/22565,NR/2024/19683/A/22067,NR/2024/19918/A/22526,NR/2024/19640/A/22627,NR/2024/19760/A/22169,NR/2024/20557/A/22567,NR/2024/20211/A/22219,NR/2024/20811/C,NR/2024/20130/A/22467,NR/2024/20144/A/22220,NR/2024/20048/A/22254,NR/2024/19779/A/22028,NR/2024/20554/A/22146,NR/2024/20552/A/22047,NR/2024/20142/A/22221,NR/2024/20041/A/22257,NR/2024/20037/A/22166,NR/2024/20212/A/22215,NR/2024/19699/A/22573,NR/2024/19637/A/22185,NR/2024/20772/C,NR/2024/20537/A/22514,NR/2024/20806/C,NR/2024/20812/C,NR/2024/20572/A/22564,NR/2024/20827/C,NR/2024/19475/A/22472,NR/2024/20553/A/22046,NR/2024/20599/A/22164,NR/2024/19919/A/22525,NR/2024/20785/C,NR/2024/19642/A/22626,NR/2024/19988/A/22168,NR/2024/19355/A/22516,NR/2024/19966/A/22195,NR/2024/20090/A/22050,NR/2024/20515/A/22225,NR/2024/20141/A/22222,NR/2024/19757/A/22571,NR/2024/20598/A/22163,NR/2024/20814/C,NR/2024/20797/C,Total
,,DIAPL,PTC,NVVNL,NVVNL,TPDDL,GMRETL,PTC,BMDRC,APPCPL,NVVNL,HPXL,MSSH,NVVNL,IEXL,APPCPL,MANIKARAN,TPTCL,NVVNL,JHPL-DL,PXIL,DTCP,BAL234,PTC,ITCLH,PXIL,IEXL,BAL224,PTC,TPTCL,UHL,NVVNL,INSTINCT,NVVNL,TPDDL,IEXL,IEXL,NVVNL,IEXL,AEL,IEXL,TPTCL,APPCPL,TPTCL,MANIKARAN,TPTCL,TPDDL,BRPL,IEXL,MHIL,BAL184,NVVNL,TPTCL,IEXL,HPXL,Total

,,HIMACHAL PRADESH,NA,NA,NA,NA,RAJASTHAN,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NAGALAND,MAHARASHTRA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,NA,KARNATAKA,HIMACHAL PRADESH,MAHARASHTRA,MAHARASHTRA,HIMACHAL PRADESH,MP,NA,NA,NA,HIMACHAL PRADESH,NA,NA,NA,NA,MAHARASHTRA,NA,KERALA,HIMACHAL PRADESH,GOA,HIMACHAL PRADESH,NA,MAHARASHTRA,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,UTTAR PRADESH,ASSAM,NA,
,,GBHHPL,SEILP2,SOLAPUR_SOLAR,RKM_POWER,JHAJJAR,RUVNL,HP,SHPPBPL,TANGEDCO,SEIL,GBHHPL,SHPPBPL,RKM_POWER,NHCPL_HP,Nagaland_Ben,AEML,SIMHAPURI,SKS Raigarh,SHPPBPL,HP-GOVT,SHPPBPL,SHPPBPL,HP,ITCWIND,IND_BHARAT,JSWEL,SHPPBPL,JPL_DHULE,JPL_DHULE,SHPPBPL,JP BINA,JPL-2,KAMENG,JHAJJAR,HP-GOVT,KWHEP,JPL-2,DADRI_RF,APL_Raipur TPP,JSWEL MSEB,ACBIL,KSEB,HP-GOVT,GOA_Beneficiary,HP-GOVT,JPL-2,IEPLBELA2022,A_A_Energy_MH_Bio,SHPPBPL,SHPPBPL,TANGEDCO,PPGCL,Assam_Ben,SINGOLI,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,DIAPL,BRPL,MES (Delhi),NDMC,TPDDL,BYPL,BRPL,BMDRC,BYPL,TPDDL,BRPL,MSSH,NDMC,MES (Delhi),BYPL,BYPL,BRPL,NDMC,JHPL-DL,BRPL,DTCP,BAL234,BYPL,ITCLH,BRPL,BRPL,BAL224,BRPL,TPDDL,UHL,TPDDL,BRPL,TPDDL,TPDDL,BRPL,TPDDL,NDMC,TPDDL,BRPL,BRPL,BRPL,BYPL,BRPL,BRPL,BRPL,TPDDL,BRPL,MES (Delhi),MHIL,BAL184,BRPL,BRPL,BRPL,BRPL,
,,North-North,South-West-North,West-North,West-North,North-North,North-North,North-North,North-North,South-West-North,South-West-North,North-North,North-North,West-North,North-North,North East-East-North,West-North,South-West-North,West-North,North-North,North-North,North-North,North-North,North-North,South-West-North,East-West-North,South-East-West-North,North-North,West-North,West-North,North-North,West-North,West-North,North East-East-North,North-North,North-North,North-North,West-North,North-North,West-North,West-North,West-North,South-West-North,North-North,West-North,North-North,West-North,West-North,West-North,North-North,North-North,South-West-North,North-North,North East-East-West-North,North-North,
1,00:00-00:15,7.730000,0.000000,0,22.300000,241.500000,66.840000,144.900000,0.980000,43.900000,16.360000,19.320000,0.680000,22.300000,1.930000,9.160000,61.510000,0.000000,7.440000,1.590000,48.300000,0.480000,0.880000,48.300000,0.630000,0.000000,19.630000,0.520000,0.000000,49.080000,0.610000,32.720000,0.000000,0.000000,0.000000,96.600000,130.600000,22.300000,67.620000,130.880000,32.720000,0.000000,209.410000,0.000000,7.950000,96.600000,65.440000,0.000000,1.930000,0.880000,0.350000,32.970000,0.000000,0.000000,68.590000,1834.43

2,00:15-00:30,7.730000,0.000000,0,21.480000,241.500000,66.840000,144.900000,0.980000,42.280000,15.760000,19.320000,0.680000,21.480000,1.930000,8.830000,59.250000,0.000000,7.160000,1.590000,48.300000,0.480000,0.880000,48.300000,0.630000,0.000000,18.910000,0.520000,0.000000,47.280000,0.610000,31.520000,0.000000,0.000000,0.000000,96.600000,130.600000,21.480000,67.620000,126.070000,31.520000,0.000000,201.710000,0.000000,7.660000,96.600000,63.030000,0.000000,1.930000,0.880000,0.350000,31.750000,0.000000,0.000000,68.590000,1805.53

3,00:30-00:45,7.730000,0.000000,0,18.800000,241.500000,66.840000,144.900000,0.980000,37.000000,13.780000,19.320000,0.680000,18.800000,1.930000,7.720000,51.850000,0.000000,6.270000,1.590000,48.300000,0.480000,0.880000,48.300000,0.630000,0.000000,16.550000,0.520000,0.000000,41.360000,0.610000,27.580000,0.000000,0.000000,0.000000,96.600000,130.600000,18.800000,67.620000,110.310000,27.580000,0.000000,176.490000,0.000000,6.700000,96.600000,55.150000,0.000000,1.930000,0.880000,0.350000,27.780000,0.000000,0.000000,68.590000,1710.88

