Block,Time Block,KGSU1AND2,KGSU3AND4,KHSTPP-I,NTPL,PARBATI3,RAMPUR,DADRI_GF,DADRI_RF,DADRI_LF,KUDGI,KKNP,KISHANGANGA,KKNPPU2,ANTA_LF,DADRI_CRF,VALLURNTECL,AURY_GF,UNCHAHAR4,ANTA_GF,URI2,AURY_CRF,UNCHAHAR3,AURY_RF,ANTA_CRF,ANTA_RF,AURY_LF,URI,TEHRI,UNCHAHAR1,SASAN,UNCHAHAR2,TANDA2,SIMHST1,SINGRAULI_HYDRO,SIMHST2,TALST2,SEWA2,SINGRAULI,TANAKPUR,TelanganaSTPP,TALA,JHAJJAR,DHAULIGNGA,DADRT2,DULHASTI,NLCTS2EXP,NNTPP,RSTPSU7,RSTPSU1TO6,SALAL,RIHAND1,RIHAND2,RIHAND3,KHSTPP-II,FSTPP I & II,BRBCL,CHAMERA1,CHAMERA3,BSIUL,CHAMERA2,NLCEXP,NJPC,NLCIIST1,NLCIIST2,RAPPC,RAPPB,KOTESHWR,KOLDAM,MAPS,NAPP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,32.61,0,51.69,3.43,0,0,0,0,0,4.18,0,0,0,0,0,0,0,34.89,0,22.47,0,0,0,0,46.48,74.43,17.47,405.33,35.5,0,0,0,0,0,16.81,135.71,12.52,0,9.77,356.45,39.1,590.54,52.06,0,0,0,0,70.86,41.82,117.8,123.5,95.7,20.13,19.37,40.8,31.05,18.93,42.8,0,161.74,0,0,58.3,0,37.4,5.18,0,43.19,0,0,0,0,0

2,00:15-00:30,0,0,32.61,0,51.69,3.43,0,0,0,0,0,4.18,0,0,0,0,0,0,0,34.89,0,22.47,0,0,0,0,46.48,74.43,17.47,405.33,35.5,0,0,0,0,0,16.81,135.71,12.52,0,9.77,356.45,39.1,583,52.06,0,0,0,0,70.86,41.82,117.8,123.5,95.7,20.13,19.37,40.8,31.05,18.93,42.8,0,161.74,0,0,58.3,0,37.4,5.18,0,43.19,0,0,0,0,0

3,00:30-00:45,0,0,32.61,0,51.69,3.43,0,0,0,0,0,4.18,0,0,0,0,0,0,0,34.89,0,22.47,0,0,0,0,42.74,74.43,17.47,405.33,35.5,0,0,0,0,0,16.81,135.71,12.52,0,9.77,269.65,39.1,583,52.06,0,0,0,0,70.86,41.82,117.8,123.5,95.7,17.34,15.46,40.8,31.05,18.93,42.8,0,161.74,0,0,58.3,0,37.4,5.18,0,43.19,0,0,0,0,0

4,00:45-01:00,0,0,32.61,0,51.69,3.43,0,0,0,0,0,4.18,0,0,0,0,0,0,0,34.89,0,22.47,0,0,0,0,42.74,74.43,17.47,405.33,35.5,0,0,0,0,0,16.81,135.71,12.52,0,9.77,244.53,39.1,583,52.06,0,0,0,0,70.86,41.82,117.8,123.5,95.7,17.34,14.45,40.8,31.05,18.93,42.8,0,161.74,0,0,58.3,0,37.4,5.18,0,43.19,0,0,0,0,0

5,01:00-01:15,0,0,32.61,0,51.69,3.43,0,0,0,0,0,4.18,0,0,0,0,0,0,0,34.89,0,25.55,0,0,0,0,42.74,74.43,19.9,405.33,39.8,0,0,0,0,0,16.81,135.71,12.52,0,9.77,182.44,39.1,596.95,52.06,0,0,0,0,70.86,41.82,117.8,123.5,95.7,17.18,12.98,40.8,31.05,18.93,42.8,0,161.74,0,0,58.3,0,37.4,5.18,0,43.19,0,0,0,0,0

6,01:15-01:30,0,0,32.61,0,51.69,3.43,0,0,0,0,0,4.18,0,0,0,0,0,0.75,0,34.89,0,19.45,0,0,0,0,42.74,74.43,17.98,405.33,30.8,0,0,0,0,0,16.81,135.71,12.52,0,9.77,111.67,39.1,585.34,52.06,0,0,0,0,70.86,41.82,117.8,123.5,95.7,17.18,14.17,40.8,31.05,18.93,42.8,0,161.74,0,0,58.3,0,37.4,5.18,0,43.19,0,0,0,0,0

7,01:30-01:45,0,0,32.61,0,51.69,3.43,0,0,0,0,0,4.18,0,0,0,0,0,0,0,34.89,0,19.45,0,0,0,0,46.48,74.43,15.21,405.33,30.8,0,0,0,0,0,16.81,135.71,12.52,0,9.77,111.67,39.1,585.34,52.06,0,0,0,0,68.6,41.82,117.8,123.5,95.7,17.18,15.2,40.8,31.05,12.62,42.8,0,161.74,0,0,58.3,0,37.4,5.18,0,43.19,0,0,0,0,0

8,01:45-02:00,0,0,32.61,0,51.69,3.43,0,0,0,0,0,4.18,0,0,0,0,0,0,0,34.89,0,19.45,0,0,0,0,46.48,74.43,15.21,405.33,30.8,0,0,0,0,0,16.81,135.71,12.52,0,9.77,111.67,39.1,585.34,52.06,0,0,0,0,68.6,41.82,117.8,123.5,95.7,15.14,14.34,40.8,31.05,12.62,42.8,0,161.74,0,0,58.3,0,37.4,5.18,0,43.19,0,0,0,0,0

9,02:00-02:15,0,0,32.61,0,51.69,3.43,0,0,0,0,0,4.18,0,0,0,0,0,0,0,34.89,0,19.45,0,0,0,0,42.74,74.43,15.21,405.33,30.8,0,0,0,0,0,16.81,135.71,12.52,0,9.77,111.67,39.1,585.34,52.06,0,0,0,0,68.6,41.82,117.8,123.5,95.7,15.14,14.67,40.8,31.05,12.62,42.8,0,161.74,0,0,58.3,0,37.4,5.18,0,43.19,0,0,0,0,0

10,02:15-02:30,0,0,32.61,0,51.69,3.43,0,0,0,0,0,4.18,0,0,0,0,0,0,0,34.89,0,19.45,0,0,0,0,42.74,74.43,15.21,405.33,30.8,0,0,0,0,0,16.81,135.71,12.52,0,9.77,111.67,39.1,585.34,52.06,0,0,0,0,68.6,41.82,117.8,123.5,95.7,15.14,14.32,40.8,31.05,12.62,42.8,0,161.74,0,0,58.3,0,37.4,5.18,0,43.19,0,0,0,0,0

11,02:30-02:45,0,0,32.61,0,51.69,3.43,0,0,0,0,0,4.18,0,0,0,0,0,0,0,34.89,0,19.45,0,0,0,0,42.74,74.43,15.21,405.33,30.8,0,0,0,0,0,16.81,135.71,12.52,0,9.77,111.67,39.1,585.34,52.06,0,0,0,0,68.6,41.82,117.8,123.5,95.7,15.14,14.43,40.8,31.05,12.62,42.8,0,161.74,0,0,58.3,0,37.4,5.18,0,43.19,0,0,0,0,0

12,02:45-03:00,0,0,32.61,0,51.69,3.43,0,0,0,0,0,4.18,0,0,0,0,0,0,0,34.89,0,19.45,0,0,0,0,42.74,74.43,15.21,405.33,30.8,0,0,0,0,0,11.21,135.71,12.52,0,9.77,111.67,39.1,585.34,52.06,0,0,0,0,68.6,41.82,117.8,123.5,95.7,15.14,15.08,40.8,31.05,12.62,42.8,0,161.74,0,0,58.3,0,37.4,5.18,0,43.19,0,0,0,0,0

13,03:00-03:15,0,0,32.61,0,51.69,3.43,0,0,0,0,0,4.18,0,0,0,0,0,0,0,31.47,0,19.45,0,0,0,0,46.48,74.43,15.21,405.33,30.8,0,0,0,0,0,5.6,135.71,11.16,0,9.77,111.67,39.1,585.34,52.06,0,0,0,0,68.6,41.82,117.8,123.5,95.7,15.14,15.97,27.2,31.05,12.62,42.8,0,161.74,0,0,58.3,0,37.4,5.18,0,43.19,0,0,0,0,0

14,03:15-03:30,0,0,32.61,0,51.69,3.43,0,0,0,0,0,4.18,0,0,0,0,0,0,0,31.47,0,19.45,0,0,0,0,46.48,74.43,15.21,405.33,30.8,0,0,0,0,0,3.83,135.71,11.16,0,9.77,111.67,39.1,585.34,52.06,0,0,0,0,68.6,41.82,117.8,123.5,95.7,15.14,15.75,27.2,31.05,12.62,42.8,0,161.74,0,0,58.3,0,37.4,5.18,0,43.19,0,0,0,0,0

15,03:30-03:45,0,0,32.61,0,51.01,3.43,0,0,0,0,0,4.18,0,0,0,0,0,0,0,31.47,0,19.45,0,0,0,0,42.74,74.43,15.21,405.33,30.8,0,0,0,0,0,0,135.71,11.16,0,9.77,111.67,39.1,585.34,52.06,0,0,0,0,68.6,41.82,117.8,123.5,95.7,15.14,14.74,27.2,31.05,12.62,42.8,0,161.74,0,0,58.3,0,37.4,5.18,0,43.19,0,0,0,0,0

16,03:45-04:00,0,0,32.61,0,51.01,3.43,0,0,0,0,0,4.18,0,0,0,0,0,0,0,31.47,0,19.45,0,0,0,0,42.74,74.43,15.21,405.33,30.8,0,0,0,0,0,0,135.71,11.16,0,9.77,111.67,39.1,539.5,52.06,0,0,0,0,68.6,41.82,117.8,123.5,95.7,15.14,14.83,27.2,31.05,12.62,42.8,0,161.74,0,0,58.3,0,37.4,5.18,0,43.19,0,0,0,0,0

17,04:00-04:15,0,0,32.61,0,51.01,3.43,0,0,0,0,0,4.18,0,0,0,0,0,0,0,31.47,0,19.45,0,0,0,0,42.74,74.43,15.21,405.33,30.8,0,0,0,0,0,0,135.71,11.16,0,9.77,111.67,39.1,516.27,52.06,0,0,0,0,68.6,41.82,117.8,123.5,95.7,15.14,15.86,27.2,31.05,12.62,42.8,0,161.74,0,0,58.3,0,37.4,5.18,0,43.19,0,0,0,0,0

18,04:15-04:30,0,0,32.61,0,51.01,3.43,0,0,0,0,0,4.18,0,0,0,0,0,0,0,31.47,0,19.45,0,0,0,0,42.74,74.43,15.21,405.33,30.8,0,0,0,0,0,0,135.71,11.16,0,9.77,111.67,39.1,498.56,52.06,0,0,0,0,68.6,41.82,117.8,123.5,95.7,15.14,18.52,27.2,31.05,12.62,42.8,0,161.74,0,0,58.3,0,37.4,5.18,0,43.19,0,0,0,0,0

