Block,Time Block,PARBATI3,RAPPC,RIHAND3,RAPPB,NLCTS2EXP,RIHAND2,NNTPP,NTPL,RIHAND1,RSTPSU7,RAMPUR,RSTPSU1TO6,CHAMERA2,DHAULIGNGA,BRBCL,FSTPP I & II,DULHASTI,DADRT2,CHAMERA1,CHAMERA3,BSIUL,NLCIIST2,MAPS,NAPP,NLCIIST1,NLCEXP,NJPC,KKNP,KHSTPP-I,KISHANGANGA,KHSTPP-II,KOTESHWR,KOLDAM,KUDGI,KGSU3AND4,KGSU1AND2,SASAN,SEWA2,SALAL,DADRI_LF,DADRI_GF,DADRI_CRF,DADRI_RF,KKNPPU2,UNCHAHAR2,UNCHAHAR4,TEHRI,UNCHAHAR1,UNCHAHAR3,TANDA2,SIMHST1,SINGRAULI_HYDRO,SIMHST2,TALST2,SINGRAULI,TALA,TANAKPUR,TelanganaSTPP,AURY_RF,VALLURNTECL,ANTA_CRF,ANTA_RF,AURY_LF,URI2,ANTA_LF,AURY_GF,URI,ANTA_GF,AURY_CRF,JHAJJAR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,51.17,59.68,0,0,114.02,0,0,43.2,0,0,0,0,0,19.2,10.98,0,265.13,0,0,0,0,0,42.24,0,0,0,0,27.52,0,91.93,8.52,0,0,0,0,335.06,0,1.34,0,0,0,0,0,22.38,0,0,5.76,13.94,0,0,0.6,0,0,134.12,0,0,0,0,0,0,0,0,4.14,0,0,1.07,0,0,229.52,0,0,0,0,0

2,00:15-00:30,0,51.17,59.68,0,0,114.02,0,0,43.2,0,0,0,0,0,16.27,10.98,0,265.13,0,0,0,0,0,42.24,0,0,0,0,27.52,0,91.93,8.52,0,0,0,0,335.06,0,1.34,0,0,0,0,0,22.38,0,0,5.76,13.94,0,0,0.6,0,0,134.12,0,0,0,0,0,0,0,0,4.14,0,0,1.07,0,0,229.52,0,0,0,0,0

3,00:30-00:45,0,51.17,59.68,0,0,114.02,0,0,43.2,0,0,0,0,0,16.34,10.98,0,265.13,0,0,0,0,0,42.24,0,0,0,0,27.52,0,91.93,8.52,0,0,0,0,335.06,0,1.34,0,0,0,0,0,22.38,0,0,5.76,13.94,0,0,0.6,0,0,134.12,0,0,0,0,0,0,0,0,4.14,0,0,1.07,0,0,229.52,0,0,0,0,0

4,00:45-01:00,0,51.17,59.68,0,0,114.02,0,0,43.2,0,0,0,0,0,15.58,10.98,0,265.13,0,0,0,0,0,42.24,0,0,0,0,27.52,0,91.93,8.52,0,0,0,0,335.06,0,1.34,0,0,0,0,0,22.38,0,0,5.76,13.94,0,0,0.6,0,0,134.12,0,0,0,0,0,0,0,0,4.14,0,0,1.07,0,0,229.52,0,0,0,0,0

5,01:00-01:15,0,51.17,59.68,0,0,114.02,0,0,43.2,0,0,0,0,0,13.69,10.98,0,265.13,0,0,0,0,0,42.24,0,0,0,0,27.52,0,91.93,8.52,0,0,0,0,335.06,0,1.34,0,0,0,0,0,22.38,0,0,5.76,13.94,0,0,0.6,0,0,134.12,0,0,0,0,0,0,0,0,4.14,0,0,1.07,0,0,229.52,0,0,0,0,0

6,01:15-01:30,0,51.17,59.68,0,0,114.02,0,0,43.2,0,0,0,0,0,11.58,10.98,0,265.13,0,0,0,0,0,42.24,0,0,0,0,27.52,0,91.93,8.52,0,0,0,0,335.06,0,1.34,0,0,0,0,0,22.38,0,0,5.76,13.94,0,0,0.6,0,0,134.12,0,0,0,0,0,0,0,0,4.14,0,0,1.07,0,0,229.52,0,0,0,0,0

7,01:30-01:45,0,51.17,59.68,0,0,114.02,0,0,43.2,0,0,0,0,0,12.06,10.98,0,265.13,0,0,0,0,0,42.24,0,0,0,0,27.52,0,91.93,8.52,0,0,0,0,335.06,0,1.34,0,0,0,0,0,22.38,0,0,5.76,13.94,0,0,0.6,0,0,134.12,0,0,0,0,0,0,0,0,4.14,0,0,1.07,0,0,229.52,0,0,0,0,0

