Block,Time,CHAMERA1,CHAMERA3,JHAJJAR,KUDGI,NTPL,RIHAND2,RIHAND3,SASAN,ANTA_CRF,AURY_CRF,DULHASTI,KKNPPU2,NLCIIST2,PARBATI2,PARBATI3,RAPPC,RSTPSU1TO6,SINGRAULI,TALA,TANDA2,TelanganaSTPP,UNCHAHAR2,UNCHAHAR3,KOTESHWR,MAPS,NLCIIST1,NNTPP,RAMPUR,SEWA2,SINGRAULI_HYDRO,TALST2,UNCHAHAR4,DADRI_RF,BSIUL,CHAMERA2,NJPC,NLCEXP,NLCTS2EXP,RAPPD,SIMHST1,SIMHST2,URI2,VALLURNTECL,ANTA_LF,FSTPP I & II,KGSU1AND2,KHSTPP-I,NAPP,RSTPSU7,ANTA_RF,AURY_LF,BRBCL,KHSTPP-II,KKNP,KOLDAM,TANAKPUR,TEHRI,TEHRIPSP,ANTA_GF,AURY_GF,DADRT2,DHAULIGNGA,KISHANGANGA,RAPPB,SALAL,UNCHAHAR1,URI,AURY_RF,DADRI_CRF,DADRI_LF,KGSU3AND4,RIHAND1,DADRI_GF
1,00:00-00:15,42.15,33.94,444.83,0,0,125.27,130.84,418.77,0,0,53.88,0,0,35.89,37.17,65.42,0,113.75,20.44,4.51,0,43.7,27.09,40.57,0,0,0,5.67,18.34,0,0,1.62,105.39,19.56,47.12,175.79,0,0,24.06,0,0,37.42,0,0,18.76,0,45.53,24.1,0,52.09,0,24.99,98.87,0,8.62,13.06,75.56,0,0,0,685.7,42.46,4.64,0,84.83,21.25,30.91,81.04,0,0,0,47.02,0

2,00:15-00:30,42.15,33.94,263.63,0,0,125.27,130.84,418.77,0,0,53.88,0,0,35.89,37.17,65.42,0,113.75,20.44,4.51,0,43.7,27.09,40.57,0,0,0,5.67,18.34,0,0,1.62,105.39,19.56,47.12,175.79,0,0,24.06,0,0,37.42,0,0,18.76,0,45.53,24.1,0,52.09,0,24.99,98.87,0,8.62,13.06,75.56,0,0,0,685.7,42.46,4.64,0,84.83,21.25,30.91,81.04,0,0,0,47.02,0

3,00:30-00:45,42.15,33.94,244.33,0,0,125.27,130.84,418.77,0,0,53.88,0,0,35.89,37.17,65.42,0,113.75,20.44,4.51,0,43.7,27.09,40.57,0,0,0,5.67,18.34,0,0,1.62,105.39,19.56,47.12,175.79,0,0,24.06,0,0,24.94,0,0,18.76,0,45.53,24.1,0,52.09,0,24.99,98.87,0,8.62,13.06,75.56,0,0,0,685.7,42.46,4.64,0,84.83,21.25,37.53,81.04,0,0,0,47.02,0

4,00:45-01:00,42.15,33.94,244.33,0,0,125.27,130.84,418.77,0,0,53.88,0,0,35.89,37.17,65.42,0,113.75,20.44,4.51,0,43.7,27.09,40.57,0,0,0,5.67,18.34,0,0,1.62,105.39,19.56,47.12,175.79,0,0,24.06,0,0,24.94,0,0,18.76,0,45.53,24.1,0,52.09,0,24.99,98.87,0,8.62,13.06,75.56,0,0,0,685.7,42.46,4.64,0,84.83,21.25,37.53,81.04,0,0,0,47.02,0

5,01:00-01:15,42.15,33.94,444.83,0,0,125.27,130.84,418.77,0,0,53.88,0,0,35.89,37.17,65.42,0,113.75,20.44,4.51,0,43.7,27.09,40.57,0,0,0,5.67,18.34,0,0,1.62,105.39,19.56,47.12,175.79,0,0,24.06,0,0,37.42,0,0,18.76,0,45.53,24.1,0,52.34,0,24.99,98.87,0,8.62,13.06,75.56,0,0,0,689.38,42.46,4.64,0,84.83,21.25,37.53,81.04,0,0,0,47.02,0

6,01:15-01:30,42.15,33.94,444.83,0,0,125.27,130.84,418.77,0,0,53.88,0,0,35.89,37.17,65.42,0,113.75,20.44,4.51,0,43.7,27.09,40.57,0,0,0,5.67,18.34,0,0,1.62,105.39,19.56,47.12,175.79,0,0,24.06,0,0,37.42,0,0,18.76,0,45.53,24.1,0,52.34,0,24.99,98.87,0,8.62,13.06,75.56,0,0,0,689.38,42.46,4.64,0,84.83,21.63,37.53,81.04,0,0,0,47.02,0

7,01:30-01:45,42.15,33.94,444.83,0,0,125.27,130.84,418.77,0,0,53.88,0,0,35.89,37.17,65.42,0,113.75,20.44,4.51,0,45,27.69,40.57,0,0,0,5.67,18.34,0,0,1.62,105.39,19.56,47.12,175.79,0,0,24.06,0,0,37.42,0,0,18.76,0,45.53,24.1,0,52.34,0,24.99,98.87,0,8.62,13.06,75.56,0,0,0,689.38,42.46,4.64,0,84.83,21.65,52.36,81.04,0,0,0,47.02,0

8,01:45-02:00,42.15,33.94,444.83,0,0,125.27,130.84,418.77,0,0,53.88,0,0,35.89,37.17,65.42,0,113.75,20.44,4.51,0,45,27.69,40.57,0,0,0,5.67,18.34,0,0,1.62,105.39,19.56,47.12,175.79,0,0,24.06,0,0,37.42,0,0,18.76,0,45.53,24.1,0,52.34,0,24.99,98.87,0,8.62,13.06,75.56,0,0,0,689.38,42.46,4.64,0,84.83,21.65,52.36,81.04,0,0,0,47.02,0

9,02:00-02:15,42.15,33.94,444.83,0,0,125.27,130.84,418.77,0,0,53.88,0,0,35.89,37.17,65.42,0,113.75,20.29,4.51,0,45,27.69,40.57,0,0,0,5.67,18.34,0,0,1.62,105.39,19.56,47.12,175.79,0,0,24.06,0,0,24.94,0,0,18.76,0,45.53,24.1,0,52.59,0,24.99,98.87,0,8.62,13.06,75.56,0,0,0,689.38,42.46,4.64,0,84.83,21.65,30.91,81.04,0,0,0,47.02,0

10,02:15-02:30,42.15,33.94,444.83,0,0,125.27,130.84,418.77,0,0,53.88,0,0,35.89,37.17,65.42,0,113.75,20.29,4.51,0,45,27.69,40.57,0,0,0,5.67,18.34,0,0,1.62,105.39,19.56,47.12,175.79,0,0,24.06,0,0,24.94,0,0,18.76,0,45.53,24.1,0,52.59,0,24.99,98.87,0,8.62,13.06,75.56,0,0,0,689.38,42.46,4.64,0,84.83,21.65,30.91,81.04,0,0,0,47.02,0

11,02:30-02:45,42.15,33.94,444.83,0,0,125.27,130.84,418.77,0,0,53.88,0,0,35.89,37.17,65.42,0,113.75,20.29,4.51,0,45,27.69,40.57,0,0,0,5.67,18.34,0,0,1.62,105.39,19.56,47.12,175.79,0,0,24.06,0,0,37.42,0,0,18.76,0,45.53,24.1,0,52.59,0,24.99,98.87,0,8.62,13.06,75.56,0,0,0,689.38,42.46,4.64,0,84.83,21.65,30.91,81.04,0,0,0,47.02,0

12,02:45-03:00,42.15,33.94,444.83,0,0,125.27,130.84,418.77,0,0,53.88,0,0,35.89,37.17,65.42,0,113.75,20.29,4.51,0,45,27.69,40.57,0,0,0,5.67,18.34,0,0,1.62,105.39,19.56,47.12,175.79,0,0,24.06,0,0,37.42,0,0,18.76,0,45.53,24.1,0,52.59,0,24.99,98.87,0,8.62,13.06,75.56,0,0,0,689.38,42.46,4.64,0,84.83,21.65,30.91,81.04,0,0,0,47.02,0

13,03:00-03:15,42.15,33.94,444.83,0,0,125.27,130.84,418.77,0,0,53.88,0,0,35.89,37.17,65.42,0,113.75,20.29,4.51,0,45,27.69,40.57,0,0,0,5.67,18.34,0,0,1.62,105.39,19.56,47.12,175.79,0,0,24.06,0,0,37.42,0,0,18.76,0,45.53,24.1,0,52.59,0,24.99,98.87,0,8.62,11.91,75.56,0,0,0,689.38,42.46,4.64,0,82.5,21.65,52.36,81.04,0,0,0,47.02,0

14,03:15-03:30,42.15,33.94,444.83,0,0,125.27,130.84,418.77,0,0,53.88,0,0,35.89,37.17,65.42,0,113.75,20.29,4.51,0,45,27.69,40.57,0,0,0,5.67,18.34,0,0,1.62,105.39,19.56,47.12,175.79,0,0,24.06,0,0,37.42,0,0,18.76,0,45.53,24.1,0,52.59,0,24.99,98.87,0,8.62,11.91,75.56,0,0,0,689.38,42.46,4.64,0,82.5,21.65,52.36,81.04,0,0,0,47.02,0

