Block,Time,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01062024/30062024/R2,NR/01102023/22052037/LT-59,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01062024/30062024/IEPL01,NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/01062024/30062024/APPCPL/180/F25/GNA/12300,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02012046/L_NR_2021_17,NR/01102023/06022042/L_NR_2012_02,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/31052040/LT-31,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/30092023/31122025/SH-07,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01102023/30042040/GNA_LT_36,NR/01102023/14082046/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/31102037/L_NR_2019_11,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,NR/01102023/30042040/GNA_LT_35,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16
1,00:00-00:15,31.290000,115.360000,48.240000,24.120000,10.090000,272.830000,30.880000,13.170000,0,15.34,20.84,24.120000,0.000000,24.120000,38.600000,67.540000,38.600000,26.01,0,261.970000,15.610000,0.000000,0,0,100.520000,8.160000,87.030000,0,0,0,24.120000,30.880000,24.660000,24.120000,0.000000,0,20.83,0.000000,0,48.33,0,9.980000,48.240000,48.33,0,62.5,0.000000,0,0,0

2,00:15-00:30,31.290000,115.360000,48.240000,24.120000,10.090000,272.830000,30.880000,13.170000,0,15,20.66,24.120000,0.000000,24.120000,38.600000,67.540000,38.600000,25.61,0,261.970000,15.610000,0.000000,0,0,100.520000,8.160000,87.030000,0,0,0,24.120000,30.880000,24.660000,24.120000,0.000000,0,20.67,0.000000,0,48,0,9.980000,48.240000,48,0,62,0.000000,0,0,0

3,00:30-00:45,31.290000,115.360000,48.240000,24.120000,10.090000,272.830000,30.880000,13.170000,0,14.66,20.34,24.120000,0.000000,24.120000,38.600000,67.540000,38.600000,25.21,0,261.970000,15.610000,0.000000,0,0,100.520000,8.160000,87.030000,0,0,0,24.120000,30.880000,24.660000,24.120000,0.000000,0,20.33,0.000000,0,47.33,0,9.980000,48.240000,47.33,0,61,0.000000,0,0,0

4,00:45-01:00,31.290000,115.360000,48.240000,24.120000,10.090000,272.830000,30.880000,13.170000,0,14.34,19.66,24.120000,0.000000,24.120000,38.600000,67.540000,38.600000,24.61,0,261.970000,15.610000,0.000000,0,0,100.520000,8.160000,87.030000,0,0,0,24.120000,30.880000,24.660000,24.120000,0.000000,0,19.67,0.000000,0,46.67,0,9.980000,48.240000,46.67,0,59,0.000000,0,0,0

5,01:00-01:15,31.290000,115.360000,48.240000,24.120000,9.780000,272.830000,30.880000,13.080000,0,14,19.16,24.120000,0.000000,24.120000,38.600000,67.540000,38.600000,24.41,0,261.970000,15.610000,0.000000,0,0,100.520000,7.980000,87.030000,0,0,0,24.120000,30.880000,24.660000,24.120000,0.000000,0,19.17,0.000000,0,36.67,0,9.750000,48.240000,36.67,0,57.5,0.000000,0,0,0

