Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/30334/A/86401,NR/2025/29985/A/86823,NR/2025/27978/A/86921,NR/2025/30977/C,NR/2025/29992/A/86624,NR/2025/30958/C,NR/2025/30492/A/86478,NR/2025/29440/A/86427,NR/2025/31030/C,NR/2025/30105/A/86883,NR/2025/30978/C,NR/2025/30086/A/86884,NR/2025/30980/C,NR/2025/30931/C,NR/2025/31033/C,NR/2025/29628/A/86893,NR/2025/30965/C,NR/2025/30084/A/86885,NR/2025/29910/A/86891,NR/2025/31040/C,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8139,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/3109,NR/2025/31131/C,NR/2025/26975/A/86896,NR/2025/27964/A/86840,NR/2025/29353/A/86556,NR/2025/27963/A/86839,NR/2025/31030/C/Alternate/1,NR/2025/28725/A/86837,NR/2025/30067/A/86860,NR/2025/29352/A/86558,NR/2025/30082/A/86876,NR/2025/30083/A/86886,NR/2025/31024/C,NR/2025/30121/A/86405,GNA/NR/2025/07/01/8230,NR/2025/29167/A/86737,NR/2025/31135/C,NR/2025/27962/A/86838,NR/2025/31002/C,NR/2025/31134/C,NR/2025/30998/C,NR/2025/31003/C,NR/2025/31022/C,NR/2025/30101/A/86917,NR/2025/31023/C,GNA/NR/2025/07/01/2236,NR/2025/31021/C,NR/2025/30217/A/86882,NR/2025/27970/A/86842,NR/2025/29439/A/86548,NR/2025/30822/A/86821,NR/2025/31027/C,NR/2025/27968/A/86841,NR/2025/30191/A/86402,NR/2025/29915/A/86735,NR/2025/31026/C,Total
,,SECI_Trader,IEXL,BRPL,NVVNL,PowerPulse,BYPL,HPXL,DIAPL,ITCLH,NVVNL,APPCPL,PowerPulse,APPCPL,IEXL,BYPL,NVVNL,APPCPL,PowerPulse,APPCPL,APPCPL,MES_Delhi,BAWANA_GAS,PowerPulse,DELHI,PUNJAB,PTC,NDMC,MANIKARAN,APPCPL,APPCPL,PXIL,APPCPL,PowerPulse,PTC,PowerPulse,NVVNL,PowerPulse,MANIKARAN,PTC,HPXL,APPCPL,APPCPL,IEXL,PowerPulse,TPTCL,HPXL,PowerPulse,APPCPL,HPXL,ITCLH,APPCPL,APPCPL,NVVNL,APPCPL,PowerPulse,APPCPL,APPCPL,PowerPulse,IVPL_Trader,BRPL,NVVNL,PowerPulse,IEXL,TPTCL,APPCPL,
,,NA,NA,NA,NA,NA,KERALA_State,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,NA,KERALA_State,MP_State,MSEB_State,NA,NA,KERALA_State,NA,DELHI_UT,NA,HIMACHAL_STATE,DELHI_UT,NA,NA,MSEB_State,GOA_State,GOA_State,HARYANA_STATE,Manipur_State,NA,GoHP_NJPC_STATE,NA,NA,NA,NA,GoHP_Chamera1_STATE,NA,NA,NA,TAMILNADU_State,NA,MSEB_State,ANDHRA_PRADESH_STATE,NA,MSEB_State,HARYANA_STATE,ANDHRA_PRADESH_STATE,KERALA_State,NA,MP_State,NA,NA,NA,NA,NA,MSEB_State,NA,NA,NA,NA,UTTARPRADESH_STATE,NA,
,,APSEPL_FTG,TPSL_BKN2,TS1PL_BKN,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,KSEB,SKS_Raigarh,GBHHPL,ITCWIND,Kameng,JIPL,APL_Raigarh_TPP,RKM_POWER,IND_BHARAT,KSEB,JP_BINA,AEML,MAHAN_ENERGEN,RKM_POWER,KSEB,NTPCREL_PSS2_KPS2_S,BAWANA_GAS,APL_Raipur_TPP,CHANJUII,BAWANA_GAS,MEENAKSHI,JPL2,AEML,GOA_Beneficiary,GOA_Beneficiary,HARYANA,Manipur_Ben,MAHAN_ENERGEN,GoHP_NJPC,MAHAN_ENERGEN,Kameng,MAHAN_ENERGEN,MBMP,GoHP_Chamera1,SKS_Raigarh,SKS_Raigarh,TRN_ENERGY,PCBLTNLTD_UNIT2,APL_Raipur_TPP,TPC_MSEB,APCPDCL,APL_Raipur_TPP,AEML,HARYANA,ITCWIND,KSEB,RKM_POWER,JP_BINA,JIPL,MAHAN_ENERGEN,SKS_Raigarh,TRN_ENERGY,APL_Raigarh_TPP,TPC_MSEB,DADRT2,JPNIGRIE_JNSTPP,APL_Raigarh_TPP,IND_BHARAT,PPGCL,RKM_POWER,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,MES_Delhi,BRPL,TPDDL,TPDDL,BYPL,BRPL,DIAPL,ITCLH,TPDDL,NDMC,TPDDL,NDMC,BRPL,BYPL,TPDDL,BYPL,BRPL,NDMC,BYPL,MES_Delhi,HARYANA,BRPL,TPDDL,PUNJAB,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BYPL,TPDDL,BRPL,TPDDL,TPDDL,BRPL,BRPL,BRPL,BRPL,NDMC,NDMC,MES_Delhi,BRPL,BYPL,BYPL,TPDDL,BYPL,BYPL,ITCLH,BYPL,NDMC,TPDDL,NDMC,BRPL,NDMC,NDMC,TPDDL,BYPL,BRPL,TPDDL,TPDDL,BRPL,BRPL,NDMC,
,,North-North,North-North,North-North,West-North,West-North,South-West-North,West-North,North-North,South-West-North,North East-East-North,East-North,West-North,West-North,East-North,South-West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,North-North,West-North,North-North,North-North,South-East-North,West-North,West-North,West-North,West-North,North-North,North East-East-North,West-North,North-North,West-North,North East-East-West-North,West-North,West-North,North-North,West-North,West-North,West-North,South-West-North,West-North,West-North,South-West-North,West-North,West-North,North-North,South-West-North,South-West-North,West-North,West-North,East-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,East-North,North-North,West-North,
1,00:00-00:15,0,0,0,96.18,0,44.24,0,12.5,0.91,0,17.49,0,26.23,0,0,0,105.8,0,26.23,19.24,0,18,134.89,16.39,18,49.05,43.71,20.75,15.24,19.24,0,26.45,0,81.75,144.27,192.36,143.07,204.38,28.61,48.09,8.74,0,6.73,224.82,54.1,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,25.08,134.65,0,144.27,48.09,20.44,0,2341.5699999999997

2,00:15-00:30,0,0,0,96.18,0,44.24,0,12.5,0.91,0,17.49,0,26.23,0,0,0,105.8,0,26.23,19.24,0,18,134.89,16.39,18,49.05,43.71,20.75,15.24,19.24,0,26.45,0,81.75,144.27,192.36,143.07,204.38,28.61,48.09,8.74,0,6.73,224.82,54.1,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,0,25.08,134.65,0,144.27,48.09,20.44,0,2341.5699999999997

