Block,Time Block,JHAJJAR,FSTPP I & II,DULHASTI,KGSU3AND4,KGSU1AND2,DHAULIGNGA,NNTPP,NLCTS2EXP,CHAMERA1,BSIUL,BRBCL,CHAMERA3,DADRT2,CHAMERA2,NLCIIST2,UNCHAHAR4,VALLURNTECL,ANTA_GF,URI2,UNCHAHAR3,ANTA_CRF,UNCHAHAR2,URI,ANTA_LF,TEHRIPSP,TANAKPUR,TALST2,SIMHST1,SINGRAULI_HYDRO,TEHRI,TALA,SIMHST2,SEWA2,TANDA2,SINGRAULI,TelanganaSTPP,UNCHAHAR1,MAPS,NLCEXP,NJPC,NLCIIST1,NAPP,SASAN,RIHAND1,RSTPSU1TO6,RAPPD,SALAL,RIHAND3,RSTPSU7,RIHAND2,KUDGI,RAPPC,RAPPB,KOTESHWR,KKNPPU2,KOLDAM,KKNP,NTPL,PARBATI3,PARBATI2,RAMPUR,KISHANGANGA,KHSTPP-II,KHSTPP-I,AURY_GF,DADRI_CRF,AURY_CRF,DADRI_RF,AURY_RF,ANTA_RF,AURY_LF,DADRI_LF,DADRI_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,472.26,19.28,51.71,0,0,40.75,0,0,40.46,18.77,15.74,32.58,654.98,45.23,0,1.47,0,0,35.92,25.28,0,41.87,42.38,0,0,12.53,0,0,0,71.93,19.27,0,17.6,1.26,109.18,0,19.97,0,0,168.72,0,23.26,331.34,94.37,0,23.17,80.31,125.58,0,120.23,0,62.95,0,38.94,0,8.27,0,0,54.22,23.64,5.44,4.45,94.9,43.7,0,0,0,6.04,7.84,0.37,0,0,0,0,0,0,0,0

2,00:15-00:30,435.81,19.34,51.71,0,0,40.75,0,0,40.46,18.77,12.23,32.58,654.98,45.23,0,1.47,0,0,35.92,25.27,0,41.88,42.38,0,0,12.53,0,0,0,71.93,19.27,0,17.6,1.26,109.18,0,19.97,0,0,168.72,0,23.26,331.5,94.37,0,23.17,80.31,125.58,0,120.23,0,62.95,0,38.94,0,8.27,0,0,54.22,23.64,5.44,4.45,94.9,43.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,388.63,19.34,51.71,0,0,40.75,0,0,40.46,18.77,12.07,32.58,593.72,45.23,0,1.49,0,0,31.42,25.29,0,41.88,42.38,0,0,12.53,0,0,0,71.93,19.27,0,17.6,1.27,109.18,0,19.98,0,0,168.72,0,23.26,331.5,94.37,0,23.17,80.31,125.58,0,120.23,0,62.95,0,38.94,0,8.27,0,0,54.22,23.64,5.44,4.45,94.9,43.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,572.38,19.34,51.71,0,0,40.75,0,0,40.46,18.77,12.02,32.58,593.72,45.23,0,1.49,0,0,31.42,25.29,0,41.86,50.26,0,0,12.53,0,0,0,71.93,19.41,0,17.6,1.27,109.18,0,19.98,0,0,168.72,0,23.26,331.5,94.37,0,23.17,80.31,125.58,0,120.23,0,62.95,0,38.94,0,8.27,0,0,54.22,23.64,5.44,4.45,94.9,43.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,509.2,19.34,51.71,0,0,40.75,0,0,40.46,0,10.97,32.58,593.72,45.23,0,1.47,0,0,35.92,25.31,0,41.88,50.26,0,0,12.53,0,0,0,71.93,19.41,0,17.6,1.27,109.18,0,19.98,0,0,168.72,0,23.26,331.5,94.37,0,23.17,80.31,125.58,0,120.23,0,62.95,0,38.94,0,8.27,0,0,54.22,12.15,5.44,4.45,94.9,43.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,447.98,19.34,51.71,0,0,40.75,0,0,40.46,0,10.9,32.58,526.54,45.23,0,1.46,0,0,35.92,25.32,0,41.91,42.38,0,0,12.53,0,0,0,71.93,19.41,0,17.6,1.29,109.18,0,19.98,0,0,168.72,0,23.26,331.5,94.37,0,23.17,80.31,125.58,0,120.23,0,62.95,0,38.94,0,8.27,0,0,54.22,12.15,5.44,4.45,94.9,43.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,379.68,19.34,51.71,0,0,40.75,0,0,40.46,0,12.29,32.58,584.8,45.23,0,1.47,0,0,31.42,25.29,0,41.88,42.38,0,0,12.53,0,0,0,71.93,19.41,0,17.6,1.27,109.18,0,19.98,0,0,168.72,0,23.26,331.5,94.37,0,23.17,80.31,125.58,0,120.23,0,62.95,0,38.94,0,8.27,0,0,54.22,12.15,5.44,4.45,94.9,43.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,322.09,19.34,51.71,0,0,40.75,0,0,40.46,0,11.98,32.58,605.69,45.23,0,1.48,0,0,31.42,25.29,0,41.88,42.38,0,0,12.53,0,0,0,71.93,19.41,0,17.6,1.27,109.18,0,19.97,0,0,168.72,0,23.26,331.5,94.37,0,23.17,80.31,125.58,0,120.23,0,62.95,0,38.94,0,8.27,0,0,54.22,12.15,5.44,4.45,94.9,43.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0

