Column1,Block,NR/2025/25352/C,NR/2025/25353/C,WR/2025/26047/A/54648,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/2594,NR/2025/25070/A/54662,GNA/WR/2025/01/01/8625,NR/2024/24418/A/54412,NR/2025/25265/A/54473,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/16/1380,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/16/1676,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/2143,NR/2025/25267/A/54477,NR/2025/25266/A/54462,Total
,,SJVNL,SJVNL,APPCPL,APPCPL,NDMC,NDMC,NVVNL,TPTCL,ITCLH,OIDLWM2_AEROCITY,APPCPL,MANIKARAN,APPCPL,PTC,NDMC,PTC,DELHI,BAWANA_GAS,PUNJAB,NDMC,NDMC,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,
,,NA,NA,DELHI_UT,DELHI_UT,NA,NA,NA,DELHI_UT,ANDHRA_PRADESH_STATE,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,NA,NA,NA,NA,
,,TPSL_BKN2,RSRPL_BKN,BRPL,BYPL,SKS_Raigarh,RKM_POWER,JIPL,BYPL,ITCWIND,TCSPL_BKN2,BYPL,BRPL,BYPL,BYPL,TRN_ENERGY,BRPL,CHANJUII,BAWANA_GAS,BAWANA_GAS,JPL2,RKM_POWER,TCSPL_BKN2,TCSPL_BKN2,
,,DELHI_UT,DELHI_UT,GOA_State,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,KERALA_State,HIMACHAL_STATE,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HARYANA_STATE,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,GOA_Beneficiary,KSEB,NDMC,NDMC,NDMC,TPC_MSEB,ITCLH,OIDLWM2_AEROCITY,AEML,AEML,KSEB,HP,NDMC,HP,TPDDL,HARYANA,PUNJAB,NDMC,NDMC,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,
,,North-North,North-North,North-West,North-West-South,West-North,West-North,East-North,North-West,South-West-North,North-North,North-West,North-West,North-West-South,North-North,West-North,North-North,North-North,North-North,North-North,West-North,West-North,North-North,North-North,
1,00:00-00:15,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,26.91,26.91,23.07,23.07,0,0,263.17

2,00:15-00:30,0,0,0,0,8.65,23.07,14.28,0,0.38,0,0,0,75,7.93,8.65,23.78,1.47,26.91,26.91,23.07,23.07,0,0,263.17

