Block,Time Block,BRBCL,KGSU1AND2,JHAJJAR,KHSTPP-II,KISHANGANGA,KHSTPP-I,KGSU3AND4,KKNP,URI2,UNCHAHAR3,TALST2,TANAKPUR,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,VALLURNTECL,UNCHAHAR1,UNCHAHAR4,TANDA2,RSTPSU1TO6,PARBATI3,RSTPSU7,RIHAND3,RAPPB,SALAL,NLCIIST2,NLCTS2EXP,RIHAND2,NNTPP,RIHAND1,RAMPUR,SASAN,NTPL,RAPPC,DHAULIGNGA,FSTPP I & II,DULHASTI,SINGRAULI_HYDRO,TALA,NLCEXP,NLCIIST1,NJPC,MAPS,NAPP,SIMHST1,SIMHST2,SEWA2,SINGRAULI,AURY_CRF,DADRI_RF,AURY_RF,ANTA_RF,DADRI_LF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRT2,CHAMERA3,ANTA_GF,ANTA_CRF,ANTA_LF,CHAMERA1,BSIUL,CHAMERA2,KOTESHWR,KKNPPU2,KOLDAM,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,19.28,0,235.66,135.51,0,43.31,0,0,4.41,19.37,0,9.88,0,15.32,0.64,0,0,14.97,0,0,0,0,0,119.86,0,12.32,0,0,114.5,0,43.38,0,395.88,0,50.53,8.8,17.28,15.89,0,0,0,0,0,0,40.46,0,0,0,134.67,0,0,0,0,0,0,0,0,0,288.63,0,0,0,0,0,0,2.31,8.55,0,0,0,0,0,0,0,0

2,00:15-00:30,19.28,0,235.66,135.51,0,43.31,0,0,4.41,19.37,0,9.88,0,15.32,0.64,0,0,14.97,0,0,0,0,0,119.86,0,12.32,0,0,114.5,0,43.38,0,395.88,0,50.53,8.8,17.28,15.89,0,0,0,0,0,0,40.46,0,0,0,134.67,0,0,0,0,0,0,0,0,0,288.63,0,0,0,0,0,0,2.31,8.55,0,0,0,0,0,0,0,0

3,00:30-00:45,18.36,0,235.66,135.51,0,43.31,0,0,4.41,19.37,0,4.95,0,15.32,0.64,0,0,14.97,0,0,0,0,0,119.86,0,12.32,0,0,114.5,0,43.38,0,395.88,0,50.53,8.8,15.08,15.89,0,0,0,0,0,0,40.46,0,0,0,134.67,0,0,0,0,0,0,0,0,0,288.63,0,0,0,0,0,0,2.31,8.55,0,0,0,0,0,0,0,0

4,00:45-01:00,14.05,0,235.66,135.51,0,43.31,0,0,4.41,19.37,0,4.95,0,15.32,0.64,0,0,14.97,0,0,0,0,0,119.86,0,13.45,0,0,114.5,0,43.38,0,395.88,0,50.53,8.8,15.08,15.89,0,0,0,0,0,0,40.46,0,0,0,134.67,0,0,0,0,0,0,0,0,0,288.63,0,0,0,0,0,0,2.31,8.55,0,0,0,0,0,0,0,0

5,01:00-01:15,13.84,0,235.66,135.51,0,38.09,0,0,4.41,19.37,0,4.95,0,15.32,0.64,0,0,14.97,0,0,0,0,0,119.86,0,67.22,0,0,114.5,0,43.38,0,395.88,0,50.53,0,15.08,15.89,0,0,0,0,0,0,40.46,0,0,0,134.67,0,0,0,0,0,0,0,0,0,259.89,0,0,0,0,0,0,2.31,8.55,0,0,0,0,0,0,0,0

