Column1,Block,GNA/NR/2024/11/01/4503,GNA/WR/2024/11/01/4200,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/10/15/7089,WR/2024/24788/A/44027,NR/2024/23769/A/43901,NR/2024/23809/A/43900,NR/2024/23420/A/43903,GNA/NR/2024/11/01/1868,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/5428,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/9061,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/3646,NR/2024/24054/C,NR/2024/23918/A/43898,NR/2024/24059/C,Total
,,NDMC,MANIKARAN,DELHI,APPCPL,APPCPL,IEXL,IEXL,ITCLH,NDMC,PUNJAB,NDMC,BAWANA_GAS,NDMC,NDMC,PTC,NDMC,PTC,SJVNL,IEXL,SJVNL,
,,NA,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,KARNATAKA_STATE,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,NA,DELHI_UT,NA,DELHI_UT,NA,NA,DELHI_UT,NA,DELHI_UT,NA,NA,NA,
,,TRN_ENERGY,BRPL,CHANJUII,BYPL,BRPL,NSLSUGAR,NSLSTUNGBHDRA,ITCWIND,SKS_Raigarh,BAWANA_GAS,RKM_POWER,BAWANA_GAS,JITPL,JPL2,BRPL,RKM_POWER,BYPL,TPSL_BKN2,TESPL_BKN2,RSRPL_BKN,
,,DELHI_UT,MSEB_State,DELHI_UT,MSEB_State,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,AEML,TPDDL,AEML,GOA_Beneficiary,MES_Delhi,MES_Delhi,ITCLH,NDMC,PUNJAB,NDMC,HARYANA,NDMC,NDMC,HP,NDMC,HP,NDMC,MES_Delhi,NDMC,
,,West-North,North-West,North-North,North-West,North-West,South-West-North,South-West-North,South-West-North,West-North,North-North,West-North,North-North,East-North,West-North,North-North,West-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,8.64,0,2.38,0,0,5.76,4.8,0.48,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,316.03

2,00:15-00:30,8.64,0,2.38,0,0,5.76,4.8,0.48,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,316.03

3,00:30-00:45,8.64,0,2.38,0,0,5.76,4.8,0.48,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,316.03

4,00:45-01:00,8.64,0,2.38,0,0,5.76,4.8,0.48,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,316.03

5,01:00-01:15,8.64,0,2.38,0,0,5.76,4.8,0.48,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,316.03

6,01:15-01:30,8.64,0,2.38,0,0,5.76,4.8,0.48,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,316.03

7,01:30-01:45,8.64,0,2.38,0,0,5.76,4.8,0.48,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,316.03

8,01:45-02:00,8.64,0,2.38,0,0,5.76,4.8,0.48,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,316.03

9,02:00-02:15,8.64,0,2.38,0,0,5.76,4.8,0.48,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,316.03

10,02:15-02:30,8.64,0,2.38,0,0,5.76,4.8,0.48,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,316.03

11,02:30-02:45,8.64,0,2.38,0,0,5.76,4.8,0.48,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,316.03

12,02:45-03:00,8.64,0,2.38,0,0,5.76,4.8,0.48,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,316.03

13,03:00-03:15,8.64,0,2.3,0,0,5.76,4.8,0.43,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,315.9

14,03:15-03:30,8.64,0,2.3,0,0,5.76,4.8,0.43,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,315.9

15,03:30-03:45,8.64,0,2.3,0,0,5.76,4.8,0.43,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,315.9

16,03:45-04:00,8.64,0,2.3,0,0,5.76,4.8,0.43,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,315.9

17,04:00-04:15,8.64,0,2.3,0,0,5.76,4.8,0.43,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,315.9

18,04:15-04:30,8.64,0,2.3,0,0,5.76,4.8,0.43,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,315.9

19,04:30-04:45,8.64,0,2.3,0,0,5.76,4.8,0.43,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,315.9

20,04:45-05:00,8.64,0,2.3,0,0,5.76,4.8,0.43,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,315.9

21,05:00-05:15,8.64,0,2.3,0,0,5.76,4.8,0.43,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,315.9

22,05:15-05:30,8.64,0,2.3,0,0,5.76,4.8,0.43,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,315.9

23,05:30-05:45,8.64,0,2.3,0,0,5.76,4.8,0.43,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,315.9

24,05:45-06:00,8.64,0,2.3,0,0,5.76,4.8,0.43,8.64,0,25.93,0,17.29,25.93,142.69,25.93,47.56,0,0,0,315.9

25,06:00-06:15,8.64,0,2.3,0,0,5.76,4.8,0.43,8.64,0,25.93,0,17.29,25.93,0,25.93,0,0,0,0,125.65

26,06:15-06:30,8.64,0,2.3,0,0,5.76,4.8,0.43,8.64,0,25.93,0,17.29,25.93,0,25.93,0,0,0,0,125.65

27,06:30-06:45,8.64,0,2.3,0,0,5.76,4.8,0.43,8.64,0,25.93,0,17.29,25.93,0,25.93,0,0,0,0,125.65

28,06:45-07:00,8.64,0,2.3,0,0,5.76,4.8,0.43,8.64,0,25.93,0,17.29,25.93,0,25.93,0,0,0,0,125.65

29,07:00-07:15,8.64,0,2.3,0,0,5.76,4.8,0.58,8.64,0,31.69,0,17.29,31.69,0,31.69,0,0,0,0,143.08

30,07:15-07:30,8.64,0,2.3,0,0,5.76,4.8,0.58,8.64,0,31.69,0,17.29,31.69,0,31.69,0,0,0,0,143.08

31,07:30-07:45,8.64,0,2.3,0,0,5.76,4.8,0.58,8.64,0,31.69,0,17.29,31.69,0,31.69,0,0,0,0,143.08

32,07:45-08:00,8.64,0,2.3,0,0,5.76,4.8,0.58,8.64,0,31.69,0,17.29,31.69,0,31.69,0,0,0,0,143.08

33,08:00-08:15,8.64,0,2.3,0,0,5.76,4.8,0.96,8.64,0,36.5,0,17.29,36.5,0,36.5,0,0,0,0,157.89000000000001

34,08:15-08:30,8.64,0,2.3,0,0,5.76,4.8,0.96,8.64,0,36.5,0,17.29,36.5,0,36.5,0,0,0,0,157.89000000000001

35,08:30-08:45,8.64,0,2.3,0,0,5.76,4.8,0.96,8.64,0,36.5,0,17.29,36.5,0,36.5,0,0,0,0,157.89000000000001

36,08:45-09:00,8.64,0,2.3,0,0,5.76,4.8,0.96,8.64,0,36.5,0,17.29,36.5,0,36.5,0,0,0,0,157.89000000000001

37,09:00-09:15,9.6,0,2.3,0,0,5.76,4.8,0.86,9.6,0,28.81,0,19.21,28.81,0,28.81,0,23.34,3.84,29.48,195.22

38,09:15-09:30,9.6,0,2.3,0,0,5.76,4.8,0.86,9.6,0,28.81,0,19.21,28.81,0,28.81,0,27.37,3.84,25.45,195.22

39,09:30-09:45,9.6,0,2.3,0,0,5.76,4.8,0.86,9.6,0,28.81,0,19.21,28.81,0,28.81,0,30.73,3.84,22.09,195.22

40,09:45-10:00,9.6,0,2.3,0,0,5.76,4.8,0.86,9.6,0,28.81,0,19.21,28.81,0,28.81,0,30.73,3.84,22.09,195.22

41,10:00-10:15,9.6,0,2.2,0,0,5.76,4.8,0.86,9.6,0,28.81,0,19.21,28.81,0,28.81,0,30.73,4.8,22.09,196.08

42,10:15-10:30,9.6,0,2.2,0,0,5.76,4.8,0.86,9.6,0,28.81,0,19.21,28.81,0,28.81,0,30.73,4.8,22.09,196.08

43,10:30-10:45,9.6,0,2.2,0,0,5.76,4.8,0.86,9.6,0,28.81,0,19.21,28.81,0,28.81,0,30.73,4.8,22.09,196.08

44,10:45-11:00,9.6,0,2.2,0,0,5.76,4.8,0.86,9.6,0,28.81,0,19.21,28.81,0,28.81,0,30.73,4.8,22.09,196.08

45,11:00-11:15,9.6,0,2.2,0,0,5.76,4.8,0.86,9.6,0,28.81,0,19.21,28.81,0,28.81,0,30.73,6.72,22.09,198

46,11:15-11:30,9.6,0,2.2,0,0,5.76,4.8,0.86,9.6,0,28.81,0,19.21,28.81,0,28.81,0,30.73,6.72,22.09,198

47,11:30-11:45,9.6,0,2.2,0,0,5.76,4.8,0.86,9.6,0,28.81,0,19.21,28.81,0,28.81,0,30.73,6.72,22.09,198

48,11:45-12:00,9.6,0,2.2,0,0,5.76,4.8,0.86,9.6,0,28.81,0,19.21,28.81,0,28.81,0,30.73,6.72,22.09,198

49,12:00-12:15,9.6,0,2.2,0,0,5.76,4.8,0.86,9.6,0,28.81,0,19.21,28.81,0,28.81,0,30.73,6.72,22.09,198

50,12:15-12:30,9.6,0,2.2,0,0,5.76,4.8,0.86,9.6,0,28.81,0,19.21,28.81,0,28.81,0,30.73,6.72,22.09,198

51,12:30-12:45,9.6,0,2.2,0,0,5.76,4.8,0.86,9.6,0,28.81,0,19.21,28.81,0,28.81,0,30.73,6.72,22.09,198

52,12:45-13:00,9.6,0,2.2,0,0,5.76,4.8,0.86,9.6,0,28.81,0,19.21,28.81,0,28.81,0,30.73,6.72,22.09,198

53,13:00-13:15,9.6,0,2.2,0,0,5.76,4.8,0.77,9.6,0,28.81,0,19.21,28.81,0,28.81,0,30.73,5.76,22.09,196.95

54,13:15-13:30,9.6,0,2.2,0,0,5.76,4.8,0.77,9.6,0,28.81,0,19.21,28.81,0,28.81,0,30.73,5.76,22.09,196.95

55,13:30-13:45,9.6,0,2.2,0,0,5.76,4.8,0.77,9.6,0,28.81,0,19.21,28.81,0,28.81,0,30.73,5.76,22.09,196.95

