Column1,Block,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/jitpl,NR/30092023/26122029/SH-06,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,GNA/NR/2024/08/14/7906,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/30092023/31122025/SH-07,NR/01082024/15082024/APL-Raigarh,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21658/A/31905,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/SKS-Raigarh,SR/2024/13861/C,NR/2024/21983/A/31914,GNA/NR/2024/08/14/2226,NR/2024/21974/A/32194,NR/2024/21971/A/32193,NR/2024/21860/A/32234,NR/2024/22533/C,NR/2024/21966/A/32073,NR/2024/21909/A/32122,NR/2024/22010/A/32212,NR/2024/22524/C,NR/2024/22398/A/32233,NR/2024/22432/A/31930,NR/2024/22014/A/31880,NR/2024/21961/A/32143,NR/2024/21938/A/32145,NR/2024/22279/A/31874,NR/2024/21956/A/32163,NR/2024/21814/A/32195,NR/2024/22042/A/31879,NR/2024/21943/A/32159,NR/2024/21918/A/32208,NR/2024/22521/C,NR/2024/21954/A/32160,NR/2024/22523/C,NR/2024/21968/A/32189,NR/2024/21940/A/32161,NR/2024/21970/A/32190,NR/2024/22058/A/31944,NR/01102023/02012046/L_NR_2021_17,NR/2024/22052/A/31943,NR/2024/22532/C,NR/01102023/14082046/L_NR_2021_16,Total
,,TPTCL,JITPL,PUNJAB,APPCPL,PXIL,INSTINCT,BAWANA_GAS,AEL,DELHI,ITCLH,DELHI,DELHI,HPXL,TPTCL,HPXL,NVVNL,NVVNL,TPDDL,HPXL,INSTINCT,AEL,MANIKARAN,NVVNL,TPDDL,DIAPL,IEXL,PTC,PTC,IEXL,APPCPL,NVVNL,IEXL,APPCPL,MANIKARAN,NVVNL,APPCPL,NVVNL,NVVNL,APPCPL,NVVNL,SJVNL,SECI_Trader,SJVNL,SJVNL,SECI_Trader,
,,NA,NA,DELHI_UT,Arunachal_State,NA,NA,DELHI_UT,NA,MSEB_State,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,NA,DELHI_UT,NA,NA,NA,NA,NA,Meghalaya_State,NA,NA,GOA_State,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,HIMACHAL_STATE,HIMACHAL_STATE,KARNATAKA_STATE,KERALA_State,NA,MSEB_State,MSEB_State,MSEB_State,NA,Manipur_State,NA,NA,UTTARAKHAND_STATE,NA,NA,NA,NA,NA,NA,
,,SIMHAPURI,JITPL,BAWANA_GAS,Arunachal_Ben,SKS_Raigarh,JPL2,BAWANA_GAS,APL_Raigarh_TPP,MSEB_Beneficiary,ITCWIND,CHANJUII,SKS_Raigarh,BYPL,SIMHAPURI,SKS_Raigarh,RKM_POWER,RKM_POWER,JPL2,Meghalaya_Ben,JPL2,APL_Raigarh_TPP,GOA_Beneficiary,SOLAPUR_SOLAR,JHAJJAR,GBHHPL,NHCPL_HP,HP,HP,NSLSUGAR,KSEB,JPNIGRIE_JNSTPP,A_A_Energy_MH_Bio,AEML,AEML,SORANG_HEP,Manipur_Ben,Kameng,JPL2,UTTARAKHAND,TRN_ENERGY,TPSL_BKN2,SBSRPC11PL_BKN,RSRPL_BKN,TPSL_BKN2,SBSRPC11PL_BKN,
,,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,NDMC,PUNJAB,BRPL,BRPL,BRPL,HARYANA,BRPL,TPDDL,ITCLH,TPDDL,NDMC,TANGEDCO,BRPL,BRPL,NDMC,NDMC,TPDDL,BRPL,BRPL,BRPL,BRPL,MES_Delhi,TPDDL,DIAPL,MES_Delhi,BRPL,BYPL,MES_Delhi,BYPL,TPDDL,MES_Delhi,BRPL,BYPL,TPDDL,BRPL,TPDDL,NDMC,BYPL,NDMC,NDMC,BYPL,NDMC,NDMC,TPDDL,
,,South-West-North,East-North,North-North,North East-East-North,West-North,West-North,North-North,West-North,West-North,South-West-North,North-North,West-North,North-West-South,South-East-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,South-East-West-North,South-West-North,West-North,West-North,West-North,West-North,North-North,North East-East-North,North East-East-North,West-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,48.08,17.36,31,38.47,0,48.08,31,192.34,0,0.63,17.08,12.39,78.86,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1653.7299999999998

2,00:15-00:30,48.08,18.55,31,38.47,0,48.08,31,192.34,0,0.63,17.08,12.39,110.6,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1686.6599999999996

3,00:30-00:45,48.08,19.7,31,38.47,0,48.08,31,192.34,0,0.63,17.08,12.39,144.26,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1721.4699999999998

4,00:45-01:00,48.08,19.7,31,38.47,0,48.08,31,192.34,0,0.63,17.08,12.39,182.72,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1759.9299999999996

5,01:00-01:15,48.08,20.88,31,38.47,0,48.08,0,192.34,0,0.58,17.08,12.39,201.96,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1749.2999999999997

6,01:15-01:30,48.08,22.06,31,38.47,0,48.08,0,192.34,0,0.58,17.08,12.39,216.38,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1764.8999999999996

7,01:30-01:45,48.08,23.64,31,38.47,0,48.08,0,192.34,0,0.58,17.08,12.39,269.28,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1819.3799999999999

8,01:45-02:00,48.08,23.64,31.8514,38.47,0,48.08,0,192.34,0,0.58,17.08,12.39,288.51,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1839.4614

9,02:00-02:15,48.08,23.64,32,38.47,0,48.08,18.5536,192.34,0,0.58,16.8,12.39,257.74,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1827.1136

10,02:15-02:30,48.08,23.64,32,38.47,0,48.08,18.5536,192.34,0,0.58,16.8,12.39,161.57,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1730.9435999999998

11,02:30-02:45,48.08,23.64,32,38.47,0,48.08,18.5536,192.34,0,0.58,16.8,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1569.3736

12,02:45-03:00,48.08,23.64,32,38.47,0,48.08,18.5536,192.34,0,0.58,16.8,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1569.3736

13,03:00-03:15,48.08,23.64,32,0,0,48.08,25.9614,192.34,0,0.58,16.8,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1538.3114

14,03:15-03:30,48.08,23.64,32,0,0,48.08,25.9614,192.34,0,0.58,16.8,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1538.3114

15,03:30-03:45,48.08,23.64,26.8708,0,0,48.08,26.8708,192.34,0,0.58,16.8,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1534.0916

16,03:45-04:00,48.08,23.64,26.8708,0,0,48.08,26.8708,192.34,0,0.58,16.8,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1534.0916

17,04:00-04:15,48.08,23.64,26.8708,0,0,48.08,26.8708,192.34,0,0.53,16.8,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1534.0416

18,04:15-04:30,48.08,23.64,26.8708,0,0,48.08,26.8708,192.34,0,0.53,16.8,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1534.0416

19,04:30-04:45,48.08,10.08,26.8708,0,0,48.08,26.8708,192.34,0,0.53,16.8,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1520.4815999999998

20,04:45-05:00,48.08,8.14,26.8708,0,0,48.08,26.8708,192.34,0,0.53,16.8,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1518.5416

21,05:00-05:15,48.08,4.16,26.8708,0,0,48.08,26.8708,192.34,0,0.53,16.52,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1471.0016

22,05:15-05:30,48.08,4.16,26.8708,0,0,48.08,26.8708,192.34,0,0.53,16.52,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,0,240.42,8.66,1.92,113.61,37.87,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1471.0016

