Column1,Time,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/L_NR_2019_05,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,GNARE/NR/2024/12/20/3668,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/3109,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/8128,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/1192,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/01/2952,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/16/5917,NR/30092023/31122025/SH-07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/SR/2025/01/13/4532
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,-0,134.84,20.74,15.24,43.7,19.23,86.72,12.64,32,17.76,10.53,10.73,0,7.22,163.44,49.03,25.23,100.16,8.51,0,0,115.33,0,81.72,0,270.39,0,15.83,0,47.51,16.67,15.83,38,38,0,43.02

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,-0,134.84,20.74,15.24,43.7,19.23,86.72,12.64,32,17.76,10.53,10.73,0,7.22,163.44,49.03,25.74,100.16,8.51,0,0,115.33,0,81.72,0,270.39,0,15.5,0,46.5,16.33,15.5,36.66,36.67,0,43.02

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,-0,134.84,20.74,15.24,43.7,19.23,86.72,12.64,32,17.76,10.53,10.73,0,7.09,163.44,49.03,26.24,100.16,8.51,0,0,115.33,0,81.72,0,270.39,0,15,0,45,16.33,15,35.34,35.33,0,43.02

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,-0,134.84,20.74,15.24,43.7,19.23,86.72,12.64,32,17.76,10.53,10.73,0,7.09,163.44,49.03,26.24,100.16,8.51,0,0,115.33,0,81.72,0,270.39,0,14.67,0,43.99,16.33,14.67,34.34,34.33,0,43.02

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,-0,134.84,20.74,15.24,43.7,19.23,86.72,12.64,32,17.57,10.53,10.73,0,6.89,163.44,49.03,26.24,100.16,8.51,0,0,64.13,0,81.72,0,270.39,0,14.5,0,43.5,16.67,14.5,33,33,0,42.82

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,-0,134.84,20.74,15.24,43.7,19.23,86.72,12.64,32,17.57,10.53,10.73,0,6.89,163.44,49.03,26.24,100.16,8.51,0,0,64.13,0,81.72,0,270.39,0,14.33,0,43.01,16.67,14.33,32.66,32.67,0,42.82

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,-0,134.84,20.74,15.24,43.7,19.23,86.72,12.64,26.7,17.57,10.53,10.73,0,6.06,163.44,49.03,26.24,100.16,8.51,0,0,64.13,0,81.72,26.7,270.39,0,14.33,0,43.01,17,14.33,25.66,25.67,0,43.02

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,-0,134.84,20.74,15.24,43.7,19.23,86.72,12.64,26.7,17.57,10.53,10.73,0,6.06,163.44,49.03,26.24,100.16,8.51,0,0,64.13,0,81.72,26.7,270.39,0,14.17,0,42.49,17,14.17,26,26,0,42.62

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,-0,134.84,20.74,15.24,43.7,19.23,86.72,9.77,26.94,17.39,10.53,10.73,0,6.25,163.44,49.03,26.24,100.16,6.62,0,0,64.13,0,81.72,26.94,270.39,0,10.84,0,32.5,14.33,10.83,25,25,0,42.62

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,-0,134.84,20.74,15.24,43.7,19.23,86.72,9.77,26.94,17.39,10.53,10.73,0,6.25,163.44,49.03,26.24,100.16,6.62,0,0,64.13,0,81.72,26.94,270.39,0,10.34,0,31,14,10.33,24.34,24.33,0,42.82

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,-0,134.84,20.74,15.24,43.7,19.23,86.72,9.77,26.94,17.39,10.53,10.73,0,6.25,163.44,49.03,26.24,100.16,6.62,0,0,115.33,0,81.72,26.94,270.39,0,10,0,30,14,10,24.34,24.33,0,43.02

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,-0,134.84,20.74,15.24,43.7,19.23,86.72,9.77,26.94,17.39,10.53,10.73,0,6.25,163.44,49.03,26.24,100.16,6.62,0,0,115.33,0,81.72,26.94,270.39,0,9.66,0,29,13.67,9.67,23.66,23.67,0,43.02

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,-0,134.84,20.74,15.24,43.7,19.23,86.72,9.77,26.94,17.3,10.53,10.73,0,6.06,163.44,0,26.24,100.16,4.78,0,0,115.33,0,81.72,26.94,270.39,0,9.5,0,28.5,13,9.5,24,24,0,43.02

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,-0,134.84,20.74,15.24,43.7,19.23,86.72,9.77,26.94,17.3,10.53,10.73,0,6.06,163.44,0,26.24,100.16,4.78,0,0,115.33,0,81.72,26.94,270.39,0,9.34,0,28,12.67,9.33,24.66,24.67,0,43.02

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,-0,134.84,20.74,15.24,43.7,19.23,86.72,9.77,26.94,17.3,10.47,10.73,0,6.06,163.44,0,26.75,100.16,4.78,0,0,115.33,0,81.72,26.94,270.39,0,9.16,0,27.5,12.33,9.17,22.66,22.67,0,43.02

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,-0,134.84,20.74,15.24,43.7,19.23,86.72,9.77,26.94,17.3,10.47,10.73,0,6.06,163.44,0,26.75,100.16,4.78,0,0,115.33,0,81.72,26.94,270.39,0,9,0,27,11.67,9,22,22,0,43.02

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,-0,134.84,20.74,15.24,43.7,19.23,86.72,9.77,26.94,17.21,10.47,10.73,0,5.12,163.44,0,26.75,100.16,4.78,0,0,84.81,0,81.72,26.94,270.39,0,8.84,0,26.5,11.67,8.83,22,22,0,33.02

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,-0,134.84,20.74,15.24,43.7,19.23,86.72,9.77,26.94,17.21,10.47,10.73,0,5.12,163.44,0,26.75,100.16,4.78,0,0,84.81,0,81.72,26.94,270.39,0,8.5,0,25.5,11,8.5,21.66,21.67,0,33.42

