Block,Time Block,UNCHAHAR1,UNCHAHAR2,SINGRAULI,TALA,TEHRI,TANDA2,SASAN,SIMHST1,SINGRAULI_HYDRO,TALST2,SIMHST2,TANAKPUR,TelanganaSTPP,SALAL,SEWA2,RIHAND1,RSTPSU1TO6,RAPPC,RSTPSU7,RIHAND3,RIHAND2,MAPS,NAPP,NTPL,PARBATI3,NLCEXP,RAPPB,NLCIIST1,NJPC,NLCIIST2,RAMPUR,NLCTS2EXP,NNTPP,KOLDAM,KUDGI,KOTESHWR,KKNPPU2,KISHANGANGA,JHAJJAR,KHSTPP-I,KGSU1AND2,KGSU3AND4,KHSTPP-II,KKNP,DADRT2,FSTPP I & II,DULHASTI,DHAULIGNGA,BSIUL,CHAMERA3,CHAMERA2,BRBCL,CHAMERA1,AURY_GF,AURY_LF,URI2,ANTA_GF,AURY_CRF,DADRI_CRF,AURY_RF,URI,ANTA_CRF,ANTA_RF,VALLURNTECL,ANTA_LF,DADRI_LF,DADRI_GF,DADRI_RF,UNCHAHAR4,UNCHAHAR3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,20.09,40.87,134.62,0,14.39,0,403.61,0,0,0,0,12.59,0,12.32,0,88.67,0,50.02,0,57.85,114.46,0,40.25,0,0,0,0,0,41.08,0,0,0,0,0,0,8.55,0,0,293.02,43.66,0,0,142.93,0,327.18,20.05,31.77,8.78,0,0,2.31,14.46,0,0,0,18.15,0,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,20.09,40.87,134.62,0,14.39,0,403.61,0,0,0,0,12.59,0,24.64,0,88.67,0,50.02,0,57.85,114.46,0,40.25,0,0,0,0,0,41.08,0,0,0,0,0,0,8.55,0,0,331.58,43.88,0,0,142.93,0,327.18,20.05,31.77,8.78,0,0,2.31,14.46,0,0,0,18.15,0,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,20.09,40.87,134.62,0,14.39,0,403.61,0,0,0,0,8.64,0,76.51,0,88.67,0,50.02,0,57.85,114.46,0,40.25,0,0,0,0,0,22.54,0,0,0,0,0,0,8.55,0,0,293.02,43.88,0,0,142.93,0,327.18,20.05,31.77,8.78,0,0,2.31,14.46,0,0,0,18.15,0,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,20.09,40.87,134.62,0,14.39,0,403.61,0,0,0,0,8.64,0,76.51,0,88.67,0,50.02,0,57.85,114.46,0,40.25,0,0,0,0,0,22.54,0,0,0,0,0,0,8.55,0,0,204.35,43.88,0,0,142.93,0,327.18,20.05,31.77,8.78,0,0,2.31,14.46,0,0,0,18.15,0,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,20.09,40.87,134.62,0,14.39,0,403.61,0,0,0,0,8.64,0,76.51,0,88.67,0,50.02,0,57.85,114.46,0,40.25,0,0,0,0,0,22.54,0,0,0,0,0,0,8.55,0,0,204.35,43.88,0,0,142.93,0,327.18,20.05,31.77,1.27,0,0,2.31,14.46,0,0,0,18.15,0,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,20.09,40.87,134.62,0,14.39,0,403.61,0,0,0,0,8.64,0,76.51,0,88.67,0,50.02,0,57.85,114.46,0,40.25,0,0,0,0,0,22.54,0,0,0,0,0,0,8.55,0,0,204.35,43.88,0,0,142.93,0,327.18,20.05,31.77,1.27,0,0,2.31,14.46,0,0,0,18.15,0,0,0,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,20.09,40.87,134.62,0,14.39,0,403.61,0,0,0,0,8.64,0,24.64,0,88.67,0,50.02,0,57.85,114.46,0,40.25,0,0,0,0,0,22.54,0,0,0,0,0,0,8.55,0,0,204.35,43.88,0,0,142.93,0,327.18,20.05,31.77,1.27,0,0,2.31,14.46,0,0,0,4.4,0,0,0,0,2.13,0,0,0,0,0,0,0,0,25.43,0,0,0,0,0

8,01:45-02:00,20.09,40.87,134.62,0,14.39,0,403.61,0,0,0,0,8.64,0,12.32,0,88.67,0,50.02,0,57.85,114.46,0,40.25,0,0,0,0,0,22.54,0,0,0,0,0,0,8.55,0,0,204.35,43.88,0,0,142.93,0,327.18,20.05,31.77,1.27,0,0,2.31,14.46,0,0,0,4.4,0,0,0,0,2.13,0,0,0,0,0,0,0,0,25.43,0,0,0,0,0

9,02:00-02:15,17.88,36.27,134.62,0,14.39,0,403.61,0,0,0,0,12.59,0,12.32,0,88.67,0,50.02,0,57.85,114.46,0,40.25,0,0,0,0,0,22.54,0,0,0,0,0,0,8.55,0,0,175.75,43.88,0,0,142.93,0,292,20.05,31.77,1.27,0,0,2.31,14.46,0,0,0,4.4,0,0,0,0,2.13,0,0,0,0,0,0,0,0,22.83,0,0,0,0,0

10,02:15-02:30,17.88,36.27,134.62,0,14.39,0,403.61,0,0,0,0,12.59,0,12.32,0,88.67,0,50.02,0,57.85,114.46,0,40.25,0,0,0,0,0,22.54,0,0,0,0,0,0,8.55,0,0,175.75,43.88,0,0,142.93,0,290.48,20.05,31.77,1.27,0,0,2.31,14.46,0,0,0,4.4,0,0,0,0,2.13,0,0,0,0,0,0,0,0,22.83,0,0,0,0,0

11,02:30-02:45,15.1,30.63,134.62,0,14.39,0,403.61,0,0,0,0,9.26,0,12.32,0,88.67,0,50.02,0,57.85,114.46,0,40.25,0,0,0,0,0,22.54,0,0,0,0,0,0,8.55,0,0,175.75,42.13,0,0,142.93,0,253.78,20.05,31.77,1.27,0,0,2.31,14.46,0,0,0,4.4,0,0,0,0,2.13,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0

12,02:45-03:00,15.1,30.63,134.62,0,14.39,0,403.61,0,0,0,0,9.26,0,12.32,0,88.67,0,50.02,0,57.85,114.46,0,40.25,0,0,0,0,0,22.54,0,0,0,0,0,0,8.55,0,0,175.75,42.13,0,0,142.93,0,235.76,20.05,31.77,1.27,0,0,2.31,14.46,0,0,0,4.4,0,0,0,0,2.13,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0

13,03:00-03:15,15.1,30.63,134.62,0,14.39,0,403.61,0,0,0,0,9.26,0,12.32,0,88.67,0,50.02,0,57.85,114.46,0,40.25,0,0,0,0,0,22.54,0,0,0,0,0,0,8.55,0,0,175.75,42.13,0,0,142.93,0,234.76,19.86,31.77,8.78,0,0,2.31,14.46,0,0,0,4.4,0,0,0,0,2.13,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0

