Block,Time,CHAMERA2,KKNP,NJPC,NLCEXP,TALA,UNCHAHAR2,ANTA_GF,ANTA_RF,AURY_GF,NLCIIST1,RSTPSU1TO6,RSTPSU7,SIMHST1,ANTA_CRF,DADRI_GF,DADRI_RF,FSTPP I & II,KKNPPU2,PARBATI3,SALAL,SIMHST2,TALST2,URI,CHAMERA1,KUDGI,MAPS,NAPP,NLCIIST2,NNTPP,SASAN,SINGRAULI_HYDRO,TEHRI,UNCHAHAR4,DADRI_LF,DULHASTI,RIHAND1,TANAKPUR,UNCHAHAR1,UNCHAHAR3,VALLURNTECL,ANTA_LF,CHAMERA3,DHAULIGNGA,JHAJJAR,KGSU1AND2,KHSTPP-II,KOTESHWR,NTPL,RAMPUR,RAPPB,RAPPC,RIHAND3,SEWA2,AURY_RF,BSIUL,DADRT2,NLCTS2EXP,RIHAND2,TANDA2,DADRI_CRF,BRBCL,KGSU3AND4,KHSTPP-I,KISHANGANGA,KOLDAM,SINGRAULI,TelanganaSTPP,URI2,AURY_CRF,AURY_LF
1,00:00-00:15,44.22,0,0,0,9.7,42.41,0,31.1,0,0,0,0,0,0,0,76.64,11.7,0,30.92,83.67,0,0,36.43,42.15,0,0,45.34,0,0,393.75,0,67.72,0.016,0,36.23,82.31,9.48,20.558,26.41,0,0,32.08,40.4,406.41,0,148.3,38.64,0,0,0,60.38,127.6,11.58,77.94,13.04,682.82,0,121.71,0.49,0,15,0,21.24,2.88,5.35,116.85,0,27.34,0,0

2,00:15-00:30,44.22,0,0,0,10,42.41,0,31.1,0,0,0,0,0,0,0,76.64,11.7,0,30.92,83.67,0,0,36.43,42.15,0,0,45.34,0,0,393.75,0,67.72,0.016,0,36.23,82.31,9.48,20.558,26.41,0,0,32.08,40.4,413.81,0,148.3,38.64,0,0,0,60.38,127.6,11.58,77.94,13.04,682.82,0,121.71,0.39,0,15,0,21.24,2.88,5.35,116.85,0,36.05,0,0

3,00:30-00:45,44.22,0,0,0,9.97,42.41,0,31.1,0,0,0,0,0,0,0,76.64,11.7,0,21.08,83.67,0,0,36.43,42.15,0,0,45.34,0,0,393.75,0,67.72,0.016,0,36.23,82.31,9.48,20.558,26.41,0,0,32.08,40.4,413.81,0,148.3,38.64,0,0,0,60.38,127.6,11.58,77.94,13.04,686.07,0,121.71,0.39,0,15,0,21.24,2.88,5.35,116.85,0,36.05,0,0

4,00:45-01:00,44.22,0,0,0,9.85,42.41,0,31.1,0,0,0,0,0,0,0,76.64,11.7,0,21.08,83.67,0,0,36.43,42.15,0,0,45.34,0,0,393.75,0,67.72,0.016,0,36.23,82.31,9.48,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,38.64,0,0,0,60.38,127.6,11.58,77.94,13.04,686.07,0,121.71,0.39,0,15,0,21.24,2.88,5.35,116.85,0,36.05,0,0

5,01:00-01:15,44.22,0,0,0,9.7,43.71,0,31.1,0,0,0,0,0,0,0,76.64,11.7,0,21.08,83.67,0,0,36.43,42.15,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,0.51,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,38.64,0,0,0,60.38,127.6,11.58,77.94,13.04,686.07,0,121.71,0.39,0,15,0,21.24,2.88,5.35,116.85,0,26.6,0,0

6,01:15-01:30,44.22,0,0,0,9.7,43.71,0,31.1,0,0,0,0,0,0,0,76.64,11.7,0,21.08,83.67,0,0,36.43,28.1,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,0.51,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,38.64,0,0,0,60.38,127.6,11.58,77.94,13.04,686.07,0,121.71,0.39,0,15,0,21.24,2.88,5.35,116.85,0,25.12,0,0

7,01:30-01:45,44.22,0,0,0,9.7,43.71,0,31.1,0,0,0,0,0,0,0,76.64,11.7,0,21.08,83.67,0,0,42.5,14.05,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,3.07,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,38.64,0,0,0,60.38,127.6,11.58,77.94,13.04,686.07,0,121.71,2.89,0,15,0,26.71,2.88,5.35,116.85,0,25.12,0,0

8,01:45-02:00,44.22,0,0,0,9.7,43.71,0,31.1,0,0,0,0,0,0,0,76.64,11.7,0,21.08,83.67,0,0,42.5,0,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,9.48,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,38.64,0,0,0,60.38,127.6,11.58,77.94,13.04,686.07,0,121.71,2.89,0,15,0,26.71,2.88,5.35,116.85,0,25.12,0,0

9,02:00-02:15,44.22,0,0,0,9.85,43.71,0,31.1,0,0,0,0,0,0,0,76.64,11.7,0,21.08,83.67,0,0,36.43,0,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,9.48,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,38.64,0,0,0,60.38,127.6,11.58,77.94,13.04,686.07,0,121.71,2.89,0,15,0,27.93,2.88,5.35,116.85,0,25.12,0,0

10,02:15-02:30,44.22,0,0,0,9.85,43.71,0,31.1,0,0,0,0,0,0,0,76.64,11.7,0,30.92,83.67,0,0,36.43,0,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,9.48,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,38.64,0,0,0,60.38,127.6,11.58,77.94,13.04,686.07,0,121.71,2.89,0,15,0,27.93,2.88,5.35,116.85,0,25.12,0,0

11,02:30-02:45,44.22,0,0,0,9.85,43.71,0,31.1,0,0,0,0,0,0,0,76.64,11.7,0,35.14,83.67,0,0,36.43,0,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,9.48,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,38.64,0,0,0,60.38,127.6,11.58,77.94,13.04,686.07,0,121.71,2.89,0,15,0,29.14,2.88,5.35,116.85,0,25.12,0,0

12,02:45-03:00,44.22,0,0,0,9.85,43.71,0,31.1,0,0,0,0,0,0,0,76.64,11.7,0,35.14,83.67,0,0,36.43,0,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,9.48,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,38.64,0,0,0,60.38,127.6,11.58,77.94,13.04,686.07,0,121.71,2.89,0,15,0,30.35,2.88,5.35,116.85,0,25.12,0,0

13,03:00-03:15,44.22,0,0,0,10,43.71,0,31.1,0,0,0,0,0,0,0,76.64,11.7,0,0,76.69,0,0,42.5,0,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,9.48,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,13.04,686.07,0,121.71,2.89,0,15,0,31.57,2.88,5.35,116.85,0,36.05,0,0

14,03:15-03:30,44.22,0,0,0,10,43.71,0,31.23,0,0,0,0,0,0,0,76.64,11.7,0,0,76.69,0,0,42.5,0,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,9.48,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,13.04,686.07,0,121.71,2.89,0,15,0,32.17,2.88,5.35,116.85,0,36.05,0,0

15,03:30-03:45,44.22,0,0,0,10.73,43.71,0,31.23,0,0,0,0,0,0,0,76.64,11.7,0,0,76.69,0,0,36.43,0,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,10.76,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,13.04,686.07,0,121.71,2.89,0,15,0,32.17,2.88,5.35,116.85,0,36.05,0,0

16,03:45-04:00,44.22,0,0,0,10.58,43.71,0,31.23,0,0,0,0,0,0,0,76.64,11.7,0,0,76.69,0,0,36.43,0,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,10.76,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,13.04,686.07,0,121.71,2.89,0,15,0,32.17,2.88,5.35,116.85,0,25.85,0,0

17,04:00-04:15,44.22,0,0,0,10.58,43.71,0,31.23,0,0,0,0,0,0,0,76.64,11.7,0,0,76.69,0,0,36.43,0,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,12.81,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,13.04,686.07,0,121.71,2.89,0,15,0,32.17,2.88,5.35,116.85,0,26.6,0,0

18,04:15-04:30,44.22,0,0,0,10.58,43.71,0,31.23,0,0,0,0,0,0,0,76.64,11.7,0,0,76.69,0,0,36.43,0,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,12.81,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,13.04,686.07,0,121.71,2.89,0,15,0,32.17,2.88,5.35,116.85,0,26.6,0,0

19,04:30-04:45,44.22,0,0,0,10.58,43.71,0,31.23,0,0,0,0,0,0,0,76.64,11.7,0,0,76.69,0,0,42.5,0,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,12.81,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,13.04,686.07,0,121.71,2.89,0,15,0,32.17,2.88,5.35,116.85,0,26.6,0,0

20,04:45-05:00,44.22,0,0,0,10.44,43.71,0,31.23,0,0,0,0,0,0,0,76.64,11.7,0,0,76.69,0,0,42.5,0,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,12.81,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,13.04,686.07,0,121.71,2.89,0,15,0,32.17,2.88,5.35,116.85,0,26.6,0,0

21,05:00-05:15,44.22,0,0,0,10.14,43.71,0,31.23,0,0,0,0,0,0,0,76.64,11.7,0,0,76.69,0,0,36.43,14.05,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,12.81,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,13.04,686.07,0,121.71,2.89,0,15,0,32.17,2.88,5.35,116.85,0,26.6,0,0

22,05:15-05:30,44.22,0,0,0,9.85,43.71,0,31.23,0,0,0,0,0,0,0,76.64,11.7,0,0,76.69,0,0,36.43,28.1,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,12.81,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,13.04,686.07,0,121.71,2.89,0,15,0,32.17,2.88,5.35,116.85,0,26.6,0,0

23,05:30-05:45,44.22,0,0,0,9.41,43.71,0,31.23,0,0,0,0,0,0,0,76.64,11.7,0,0,76.69,0,0,36.43,28.1,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,11.53,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,13.04,686.07,0,121.71,2.89,0,15,0,32.17,2.88,5.35,116.85,0,26.6,0,0

24,05:45-06:00,44.22,0,0,0,9.27,43.71,0,31.23,0,0,0,0,0,0,0,76.64,11.7,0,0,76.69,0,0,36.43,28.1,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,11.53,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,13.04,686.07,0,121.71,2.89,0,15,0,32.17,2.88,5.35,116.85,0,36.05,0,0

25,06:00-06:15,44.22,0,0,0,9.41,43.71,0,31.23,0,0,0,0,0,0,0,76.64,11.7,0,0,76.69,0,0,42.5,28.1,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,11.53,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,13.04,686.07,0,121.71,0.39,0,15,0,32.17,2.88,5.35,116.85,0,36.05,0,0

26,06:15-06:30,44.22,0,0,0,9.41,43.018,0,31.23,0,0,0,0,0,0,0,76.64,11.7,0,0,76.69,0,0,42.5,28.1,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,11.53,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,13.04,686.07,0,121.71,0.39,0,15,0,32.17,2.88,5.35,116.85,0,36.05,0,0

27,06:30-06:45,44.22,0,0,0,10.14,43.71,0,31.23,0,0,0,0,0,0,0,76.64,11.7,0,0,73.21,0,0,36.43,28.1,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,11.53,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,13.04,686.07,0,121.71,0.39,0,15,0,32.17,2.88,5.35,116.85,0,26.6,0,0

28,06:45-07:00,44.22,0,0,0,9.85,43.71,0,31.23,0,0,0,0,0,0,0,76.64,11.7,0,0,73.21,0,0,36.43,28.1,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,11.53,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,13.04,686.07,0,121.71,2.89,0,15,0,32.17,2.88,5.35,116.85,0,26.6,0,0

29,07:00-07:15,44.22,0,0,0,9.7,43.71,0,31.1,0,0,0,0,0,0,0,76.64,11.7,0,0,73.21,0,0,36.43,28.1,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,11.53,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,6.52,686.07,0,121.71,2.89,0,15,0,32.17,2.88,5.35,116.85,0,24.38,0,0

30,07:15-07:30,44.22,0,0,0,9.85,43.71,0,30.99,0,0,0,0,0,0,0,76.64,11.7,0,0,73.21,0,0,36.43,28.1,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,11.53,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,6.52,686.07,0,121.71,2.89,0,15,0,32.17,2.88,5.35,116.85,0,24.38,0,0

31,07:30-07:45,44.22,0,0,0,9.85,43.71,0,30.99,0,0,0,0,0,0,0,76.64,11.7,0,0,73.21,0,0,42.5,28.1,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,12.94,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,6.52,686.07,0,121.71,2.89,0,15,0,32.17,2.88,5.35,116.85,0,24.38,0,0

32,07:45-08:00,44.22,0,0,0,9.85,43.71,0,30.87,0,0,0,0,0,0,0,76.64,11.7,0,0,73.21,0,0,42.5,28.1,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,12.94,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,0,77.94,6.52,686.07,0,121.71,2.89,0,15,0,32.17,2.88,5.35,116.85,0,24.38,0,0

33,08:00-08:15,44.22,0,0,0,9.85,43.71,0,30.87,0,0,0,0,0,0,0,76.64,11.7,0,0,70.88,0,0,36.43,28.1,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,12.94,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,17.37,77.94,6.52,686.07,0,121.71,2.89,0,15,0,32.17,2.88,5.35,116.85,0,24.38,0,0

34,08:15-08:30,44.22,0,0,0,9.85,43.71,0,30.87,0,0,0,0,0,0,0,76.64,11.7,0,0,70.88,0,0,36.43,28.1,0,0,45.34,0,0,393.75,0,67.72,1.62,0,36.23,82.31,12.94,20.96,27.05,0,0,32.08,40.4,413.81,0,148.3,28.98,0,0,0,60.38,127.6,17.37,77.94,6.52,686.07,0,121.71,2.89,0,15,0,32.17,2.88,5.35,116.85,0,24.38,0,0

