Block,Time,NR/01022024/29022024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01022024/15022024/HP-39,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05406,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01022024/29022024/79,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05420,NR/01102023/30042040/GNA_LT_36,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01022024/15022024/HP-44,NR/30092023/31122025/SH-07,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05713,NR/30092023/26122029/SH-06,NR/01022024/15022024/HP-37,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05718,NR/01102023/22052037/LT-59,NR/01022024/15022024/HP-35,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05714,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/01102023/23072042/L_NR_2012_04,NR/01012024/31032024/ ChanjuII,NR/01102023/30042040/GNA_LT_35,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02012046/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,NR/01022024/29022024/SJVN010224NR1469,NR/01022024/29022024/SJVN010224NR1468
1,00:00-00:15,96.250000,0.000000,4.810000,0.000000,0.000000,6.740000,0.000000,11.550000,8.080000,25.220000,18.290000,25.220000,152.540000,118.390000,0.950000,52.940000,1.340000,6.740000,0.710000,18.950000,5.780000,70.180000,40.190000,231.000000,1.560000,0.000000,8.180000,0.000000,23.100000,43.88,0,0,0,11.66,43.88,0,0,0,0,0,0,35,0,0,0,0,25.13,0,11.53,11.67,0,0

2,00:15-00:30,96.250000,0.000000,4.810000,0.000000,0.000000,6.740000,0.000000,11.550000,8.080000,25.220000,18.290000,25.220000,152.540000,96.250000,0.950000,52.940000,1.340000,6.740000,0.710000,18.950000,5.780000,70.180000,40.190000,192.500000,1.560000,0.000000,8.180000,0.000000,23.100000,43.31,0,0,0,12.16,43.31,0,0,0,0,0,0,36.5,0,0,0,0,22.14,0,11.84,12.17,0,0

3,00:30-00:45,96.250000,0.000000,4.810000,0.000000,0.000000,6.740000,0.000000,11.550000,8.080000,25.220000,18.290000,25.220000,152.540000,96.250000,0.950000,52.940000,1.340000,6.740000,0.710000,18.950000,5.780000,70.180000,40.190000,148.880000,1.560000,0.000000,8.180000,0.000000,23.100000,51.45,0,0,0,18.84,51.45,0,0,0,0,0,0,56.5,0,0,0,0,19,0,13.88,18.83,0,0

4,00:45-01:00,96.250000,0.000000,4.810000,0.000000,0.000000,6.740000,0.000000,11.550000,8.080000,25.220000,18.290000,25.220000,152.540000,96.250000,0.950000,52.940000,1.340000,6.740000,0.710000,18.950000,5.780000,70.180000,40.190000,148.880000,1.560000,0.000000,8.180000,0.000000,23.100000,50.61,0,0,0,18.5,50.61,0,0,0,0,0,0,55.5,0,0,0,0,18,0,14.56,18.5,0,0

5,01:00-01:15,96.250000,0.000000,4.810000,0.000000,0.000000,6.740000,0.000000,11.550000,8.080000,25.220000,18.290000,25.220000,152.540000,72.190000,0.950000,52.940000,1.340000,6.740000,0.710000,18.950000,5.780000,70.180000,33.690000,148.880000,1.560000,0.000000,8.180000,0.000000,23.100000,49.84,0,0,0,18.16,49.84,0,0,0,0,0,0,54.5,0,0,0,0,17,0,14.22,18.17,0,0

