Column1,Time,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,GNA/NR/2025/07/01/8139,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/SR/2025/01/13/4532,GNA/NR/2025/07/01/8154,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/16/5917,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/1044,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,GNA/NR/2025/07/01/2952,GNA/NR/2025/07/01/8128,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/2786,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,NR/01082024/19092033/Chanju/TPDDL/01082024
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,16.17,0,0,48.49,0,13,44.67,16.17,44.66,0,40.02,20.73,10.73,23.56,-0,15.23,81.69,27.26,270.31,134.79,163.39,49.02,19.22,3.24,6.53,110.58,4,5.95,86.69,43.68,100.13,23.56,0,0,10.48,130.04,0,18.21

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,15.83,0,0,47.51,0,13,45.33,15.83,45.34,0,40.02,20.73,10.73,23.56,-0,15.23,81.69,27.26,270.31,134.79,163.39,49.02,19.22,3.24,6.53,110.58,4,5.95,86.69,43.68,100.13,23.56,0,0,10.48,130.04,0,18.21

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,15.5,0,0,46.5,0,13,46.33,15.5,46.34,0,40.02,20.73,10.73,23.56,-0,15.23,81.69,28.27,270.31,134.79,163.39,49.02,19.22,3.24,6.53,110.58,4,5.95,86.69,43.68,100.13,23.56,0,0,10.48,130.04,0,18.21

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,15.33,0,0,46.01,0,13,46,15.33,46,0,40.02,20.73,10.73,26.93,-0,15.23,81.69,29.28,270.31,134.79,163.39,49.02,19.22,3.24,6.53,110.58,4,5.95,86.69,43.68,100.13,26.93,0,0,10.48,130.04,0,18.21

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,15.33,0,0,46.01,0,13.33,45.67,15.33,45.66,0,40.02,20.73,10.73,26.93,-0,15.23,81.69,29.28,270.31,134.79,163.39,49.02,19.22,3.24,6.53,110.58,4,5.95,86.69,43.68,100.13,26.93,0,0,10.48,130.04,0,18.12

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,15.33,0,0,46.01,0,13.33,48,15.33,48,0,40.02,20.73,10.73,26.93,-0,15.23,81.69,29.28,270.31,134.79,163.39,49.02,19.22,3.24,6.53,110.58,4,5.95,86.69,43.68,100.13,26.93,0,0,10.48,130.04,0,18.12

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,15.33,0,0,46.01,0,13.67,49.67,15.33,49.66,0,40.02,20.73,10.73,26.93,-0,15.23,81.69,28.77,270.31,134.79,163.39,49.02,19.22,3.24,6.53,110.58,4,5.95,86.69,43.68,100.13,26.93,0,0,10.48,130.04,0,18.12

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,15.5,0,0,46.5,0,13.67,50.67,15.5,50.66,0,40.02,20.73,10.73,26.93,-0,15.23,81.69,28.77,270.31,134.79,163.39,49.02,19.22,3.24,6.53,110.58,4,5.95,86.69,43.68,100.13,26.93,0,0,10.48,130.04,0,18.12

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,15.5,0,0,46.5,0,16.67,48.67,15.5,48.66,0,33.02,20.73,10.73,26.93,-0,15.23,81.69,28.77,270.31,134.79,163.39,49.02,19.22,3.24,6.38,110.58,4,5.95,86.69,43.68,100.13,26.93,0,0,10.48,130.04,0,18.03

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,15.5,0,0,46.5,0,16,48,15.5,48,0,32.82,20.73,10.73,26.93,-0,15.23,81.69,28.77,270.31,134.79,163.39,49.02,19.22,3.24,6.38,110.58,4,5.95,86.69,43.68,100.13,26.93,0,0,10.48,130.04,0,18.03

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,20.83,0,0,62.51,0,15.67,60,20.83,60,0,28.01,20.73,10.73,26.93,-0,15.23,81.69,28.77,270.31,134.79,163.39,49.02,19.22,3.24,6.38,100.54,4,5.95,86.69,43.68,100.13,26.93,0,0,10.27,130.04,0,18.03

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,20.5,0,0,61.5,0,15.33,59.33,20.5,59.34,0,28.01,20.73,10.73,26.93,-0,15.23,81.69,28.77,270.31,134.79,163.39,49.02,19.22,3.24,6.38,76.65,4,5.95,86.69,43.68,100.13,26.93,0,0,10.27,130.04,0,18.03

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,20,0,0,60,0,25,58.67,20,58.66,0,28.01,20.73,10.57,26.93,-0,15.23,81.69,29.77,270.31,134.79,163.39,0,19.22,3.24,6.38,64.11,4,5.95,75.75,43.68,100.13,26.93,0,0,10.27,130.04,0,17.93

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,19.17,0,0,57.49,0,24,58,19.17,58,0,28.01,20.73,10.57,26.93,-0,15.23,81.69,29.77,270.31,134.79,163.39,0,19.22,3.24,6.38,64.11,4,5.95,55.89,43.68,100.13,26.93,0,0,10.27,130.04,0,17.93

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,21.34,0,0,64.02,0,26,56.67,21.34,56.66,0,32.02,20.73,10.57,26.93,-0,15.23,81.69,29.77,270.31,134.79,163.39,0,19.22,3.24,6.38,64.11,4,5.95,55.89,43.68,100.13,26.93,0,0,10.27,130.04,0,17.93

