Time,Block,NER/2024/2023/A/7425,NR/2024/18691/A/7452,NR/2024/18388/A/7162,WR/2024/21740/A/7455,WR/2024/21675/A/7429,NR/2024/18744/C,WR/2024/21710/A/7457,Total
,,APPCPL,MANIKARAN,ITCLH,MANIKARAN,APPCPL,NVVNL,MANIKARAN,Total

,,DELHI,DELHI,ANDHRA PRADESH,DELHI,DELHI,NA,DELHI,
,,BRPL,BRPL,ITCWIND,BYPL,BRPL,SOLAPUR_SOLAR,BRPL,
,,MANIPUR,HIMACHAL PRADESH,DELHI,MAHARASHTRA,GOA,DELHI,GOA,
,,Manipur_Ben,HP,ITCLH,AEML,GOA_Beneficiary,MES (Delhi),GOA_Beneficiary,
,,North-East-North East,North-North,South-West-North,North-West,North-West,West-North,North-West,
1,00:00-00:15,25.000000,0.000000,0.390000,50.000000,0.000000,0,0.000000,75.39

2,00:15-00:30,25.000000,0.000000,0.390000,50.000000,0.000000,0,0.000000,75.39

3,00:30-00:45,25.000000,0.000000,0.390000,50.000000,0.000000,0,0.000000,75.39

4,00:45-01:00,25.000000,0.000000,0.390000,50.000000,0.000000,0,0.000000,75.39

5,01:00-01:15,25.000000,0.000000,0.390000,50.000000,0.000000,0,0.000000,75.39

6,01:15-01:30,25.000000,0.000000,0.390000,50.000000,0.000000,0,0.000000,75.39

7,01:30-01:45,25.000000,0.000000,0.390000,50.000000,0.000000,0,0.000000,75.39

8,01:45-02:00,25.000000,0.000000,0.390000,50.000000,0.000000,0,0.000000,75.39

9,02:00-02:15,25.000000,0.000000,0.390000,50.000000,0.000000,0,0.000000,75.39

10,02:15-02:30,25.000000,0.000000,0.390000,50.000000,0.000000,0,0.000000,75.39

11,02:30-02:45,25.000000,0.000000,0.390000,50.000000,0.000000,0,0.000000,75.39

12,02:45-03:00,25.000000,0.000000,0.390000,50.000000,0.000000,0,0.000000,75.39

13,03:00-03:15,25.000000,0.000000,0.390000,50.000000,0.000000,0,0.000000,75.39

14,03:15-03:30,25.000000,0.000000,0.390000,50.000000,0.000000,0,0.000000,75.39

15,03:30-03:45,25.000000,0.000000,0.390000,50.000000,0.000000,0,0.000000,75.39

16,03:45-04:00,25.000000,0.000000,0.390000,50.000000,0.000000,0,0.000000,75.39

