Block,Time,KGSU1AND2,KOLDAM,KUDGI,RSTPSU1TO6,KGSU3AND4,NJPC,NLCIIST2,TALA,TANDA2,TEHRI,TelanganaSTPP,UNCHAHAR4,VALLURNTECL,ANTA_RF,BRBCL,KOTESHWR,SIMHST2,URI,AURY_LF,DADRI_CRF,CHAMERA1,DADRT2,DHAULIGNGA,JHAJJAR,PARBATI3,RAPPC,RIHAND1,RIHAND2,SASAN,SIMHST1,TALST2,URI2,ANTA_CRF,ANTA_LF,DADRI_LF,CHAMERA2,KHSTPP-I,KHSTPP-II,KKNP,NLCEXP,NLCTS2EXP,NTPL,RAMPUR,SALAL,SEWA2,SINGRAULI,DADRI_RF,DULHASTI,FSTPP I & II,NAPP,NLCIIST1,NNTPP,SINGRAULI_HYDRO,TANAKPUR,UNCHAHAR1,AURY_CRF,MAPS,UNCHAHAR3,ANTA_GF,BSIUL,CHAMERA3,KISHANGANGA,KKNPPU2,RAPPB,RIHAND3,RSTPSU7,UNCHAHAR2,AURY_GF,AURY_RF,DADRI_GF
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,0,44.83,20,8.88,0,1.11,0,0,0,683.14,0,654.3,0,54.06,45,118.75,410.62,0,0,4.31,0,0,23.57,0,45.22,148.3,0,0,0,0,0,1.4,0,125.96,47.12,0,15.99,44.43,0,0,0,5.76,20.56,0,0,26.39,0,0,0,0,0,0,124.32,0,42.39,0,71.46,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,0,44.83,20,8.88,0,1.11,0,0,0,683.14,0,654.3,0,54.06,45,118.75,410.62,0,0,4.31,0,0,23.57,0,45.22,148.3,0,0,0,0,0,1.4,0,125.96,47.12,0,18.2,44.43,0,0,0,5.76,20.56,0,0,26.39,0,0,0,0,0,0,124.32,0,42.39,0,71.46,0

3,00:30-00:45,0,0,0,0,0,20.83,0,0,0,0,0,0,0,44.83,20,8.88,0,1.11,0,0,0,683.14,0,654.3,0,54.06,45,118.75,410.62,0,0,4.31,0,0,23.57,0,45.22,148.3,0,0,0,0,0,1.4,0,125.96,47.12,0,18.2,44.43,0,0,0,5.76,20.56,0,0,26.39,0,0,0,0,0,0,124.32,0,42.39,0,71.46,0

4,00:45-01:00,0,0,0,0,0,20.83,0,0,0,0,0,0,0,44.83,20,8.88,0,1.11,0,0,0,683.14,0,654.3,0,54.06,45,118.75,410.62,0,0,4.31,0,0,23.57,0,45.22,148.3,0,0,0,0,0,1.4,0,125.96,47.12,0,18.2,44.43,0,0,0,5.76,20.56,0,0,26.39,0,0,0,0,0,0,124.32,0,42.39,0,71.46,0

5,01:00-01:15,0,0,0,0,0,20.83,0,0,0,0,0,0,0,44.83,20,8.88,0,1.11,0,0,0,683.14,0,654.3,0,54.06,45,118.75,410.62,0,0,4.31,0,0,23.57,0,45.22,148.3,0,0,0,0,0,1.4,0,125.96,47.12,0,18.2,44.43,0,0,0,5.76,20.56,0,0,26.39,0,0,0,0,0,0,124.32,0,42.39,0,71.46,0

6,01:15-01:30,0,0,0,0,0,20.83,0,0,0,0,0,0,0,44.83,20,8.88,0,1.11,0,0,0,683.14,0,654.3,0,54.06,45,118.75,410.62,0,0,4.31,0,0,23.57,0,45.22,148.3,0,0,0,0,0,1.4,0,125.96,47.12,0,18.2,44.43,0,0,0,5.76,20.56,0,0,26.39,0,0,0,0,0,0,124.32,0,42.39,0,71.46,0

7,01:30-01:45,0,0,0,0,0,20.83,0,0,0,0,0,0,0,44.83,20,8.88,0,1.11,0,0,0,683.14,0,654.3,0,54.06,45,118.75,410.62,0,0,4.31,0,0,23.57,0,45.22,148.3,0,0,0,0,0,1.4,0,125.96,47.12,0,18.2,44.43,0,0,0,0.51,20.56,0,0,26.39,0,0,0,0,0,0,124.32,0,42.39,0,71.46,0

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,44.83,20,8.88,0,1.11,0,0,0,683.14,0,654.3,0,54.06,45,118.75,410.62,0,0,4.31,0,0,23.57,0,45.22,148.3,0,0,0,0,0,1.4,0,125.96,47.12,0,18.2,44.43,0,0,0,0.51,20.56,0,0,26.39,0,0,0,0,0,0,124.32,0,42.39,0,71.46,0

