Column1,Block,NR/2024/23769/A/42229,NR/2024/23825/C,GNA/NR/2024/11/01/1868,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/9042,NR/2024/23807/A/42233,GNA/NR/2024/11/01/5428,WR/2024/24788/A/42362,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/5474,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/9061,NR/2024/23420/A/42283,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/3646,NR/2024/23837/C,NR/2024/23836/C,NR/2024/23835/C,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,Total
,,IEXL,DIAPL,NDMC,BAWANA_GAS,NDMC,IEXL,NDMC,APPCPL,PUNJAB,PTC,DELHI,NDMC,NDMC,ITCLH,NDMC,PTC,SJVNL,SJVNL,NVVNL,APPCPL,MANIKARAN,
,,KARNATAKA_STATE,HIMACHAL_STATE,NA,DELHI_UT,NA,HIMACHAL_STATE,NA,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,NA,ANDHRA_PRADESH_STATE,NA,DELHI_UT,NA,NA,NA,DELHI_UT,DELHI_UT,
,,NSLSUGAR,GBHHPL,SKS_Raigarh,BAWANA_GAS,JITPL,KGEPL_HP,RKM_POWER,BRPL,BAWANA_GAS,BRPL,CHANJUII,RKM_POWER,JPL2,ITCWIND,TRN_ENERGY,BYPL,TPSL_BKN2,RSRPL_BKN,SOLAPUR_SOLAR,BYPL,BRPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,PUNJAB_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,
,,MES_Delhi,DIAPL,NDMC,HARYANA,NDMC,MES_Delhi,NDMC,GOA_Beneficiary,PUNJAB,HP,TPDDL,NDMC,NDMC,ITCLH,NDMC,HP,NDMC,NDMC,MES_Delhi,AEML,AEML,
,,South-West-North,North-North,West-North,North-North,East-North,North-North,West-North,North-West,North-North,North-North,North-North,West-North,West-North,South-West-North,West-North,North-North,North-North,North-North,West-North,North-West,North-West,
1,00:00-00:15,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.48,8.72,95.12,0,0,0,0,0,565.4000000000001

2,00:15-00:30,5.76,2.88,8.72,26.91,17.45,4.8,26.17,0,26.91,285.39,3.75,26.17,26.17,0.48,8.72,95.12,0,0,0,0,0,565.4000000000001

