Column1,Block,NR/2025/26755/A/72961,NR/2025/26085/A/72958,NR/2025/26336/A/73123,NR/2025/26879/A/73121,NR/2025/25861/A/73412,NR/2025/25860/A/73414,NR/2025/26981/C,NR/2025/26335/A/73125,NR/2025/26265/A/73440,NR/2025/25967/A/73406,NR/2025/26982/C,NR/2025/26379/A/73405,NR/2025/26004/A/73017,NR/2025/25859/A/73415,NR/2025/26984/C,NR/2025/26202/A/73499,NR/2025/26825/A/73424,NR/2025/26985/C,NR/2025/26191/A/73015,NR/2025/26829/A/73421,NR/2025/27014/C,NR/2025/26232/A/73442,NR/2025/26233/A/73441,NR/2025/26153/A/72964,NR/2025/26978/C,NR/2025/26082/A/73500,NR/2025/26822/A/73427,NR/2025/26827/A/73423,NR/2025/26005/A/73018,NR/2025/27016/C,NR/2025/27053/C,NR/2025/26101/A/73170,NR/2025/26828/A/73422,NR/2025/26785/A/72968,NR/2025/26959/A/73396,NR/2025/27032/C,GNARE/NR/2024/12/20/3668,NR/2025/27052/C,NR/2025/27051/C,NR/2025/27041/C,NR/2025/27044/C,NR/2025/27045/C,NR/2025/27046/C,NR/2025/27047/C,NR/2025/27049/C,NR/2025/27040/C,NR/30092023/26122029/SH-06,GNA/NR/2025/05/16/9317,NR/2025/26289/A/73439,NR/2025/26980/C,NR/2025/26979/C,NR/2025/27110/C,GNA/NR/2025/05/01/5800,NR/2025/27081/C,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/9252,NR/2025/26291/A/73438,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/19/4843,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/6363,NR/30092023/31122025/SH-07,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/8068,Total
,,IEXL,ITCLH,BRPL,BRPL,PowerPulse,PowerPulse,HPXL,BRPL,HPXL,PowerPulse,HPXL,PowerPulse,PXIL,PowerPulse,IEXL,NVVNL,APPCPL,IEXL,PXIL,APPCPL,PXIL,HPXL,HPXL,IEXL,HPXL,NVVNL,APPCPL,APPCPL,PXIL,PowerPulse,NVVNL,GMRETL,APPCPL,IEXL,DIAPL,TPDDL,SECI_Trader,NVVNL,NVVNL,GEPL_Trader,APPCPL,APPCPL,APPCPL,APPCPL,APPCPL,GEPL_Trader,PUNJAB,JPL,HPXL,HPXL,HPXL,IEXL,PXIL,DIAPL,PowerPulse,IEXL,IEXL,HPXL,NDMC,HPXL,HPXL,HPXL,PXIL,PowerPulse,PXIL,IEXL,DELHI,PXIL,BAWANA_GAS,SIMHAPURI,PXIL,PXIL,
,,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,NA,GEB_State,NA,NA,NA,GEB_State,NA,NA,NA,NA,NA,NA,TAMILNADU_State,NA,NA,NA,GEB_State,GEB_State,TAMILNADU_State,NA,NA,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,HIMACHAL_STATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,NA,NA,MP_State,NA,HIMACHAL_STATE,Meghalaya_State,HIMACHAL_STATE,NA,JK_and_LADAKH_UT,ODISHA_STATE,NA,NA,HIMACHAL_STATE,MP_State,MSEB_State,ODISHA_STATE,NA,NA,KARNATAKA_STATE,HIMACHAL_STATE,ODISHA_STATE,DELHI_UT,NA,UTTARPRADESH_STATE,CSEB_State,
,,TPSL_BKN2,ITCWIND,DADRT2,RIHAND3,APL_Raipur_TPP,APL_Raipur_TPP,PCBL_PALEJ,TS1PL_BKN,JPL,MAHAN_ENERGEN,PCBL_MUNDRA,COASTGEN,ILFS,APL_Raipur_TPP,MBMP,JPNIGRIE_JNSTPP,RKM_POWER,SURYADEV_ALLOYSTN,JPNIGRIE_JNSTPP,RKM_POWER,JPNIGRIE_JNSTPP,PCBL_PALEJ,PCBL_MUNDRA,SURYADEV_ALLOYSTN,JPL,SKS_Raigarh,SKS_Raigarh,JPL2,SKS_Raigarh,COASTGEN,SORANG_HEP,GBHHPL,TRN_ENERGY,MBMP,GBHHPL,JHAJJAR,APSEPL_FTG,Kameng,JPNIGRIE_JNSTPP,SORANG_HEP,SKS_Raigarh,RKM_POWER,JPL2,TRN_ENERGY,RKM_POWER,DIKCHU,BAWANA_GAS,JPL2,SIMHAPURI,Ultratech_Sidhi_MP,SIMHAPURI,HP,Meghalaya_Ben,GBHHPL,COASTGEN,O2ZTPL,VSL,JPL,JIPL,KGEPL_HP,Ultratech_Sidhi_MP,GRETAENERGY,FACORPOWER,APL_Raipur_TPP,SINGOLI,KPTCL,CHANJUII,FACORPOWER,BAWANA_GAS,SIMHAPURI,LAPL_UP,SKSIPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,ITCLH,BRPL,BRPL,TPDDL,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BYPL,TPDDL,NDMC,TPDDL,NDMC,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BYPL,NDMC,NDMC,BYPL,BRPL,TPDDL,TPDDL,NDMC,NDMC,DIAPL,TPDDL,TPDDL,TPDDL,TPDDL,BYPL,NDMC,NDMC,NDMC,NDMC,NDMC,BYPL,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,DIAPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,BRPL,HARYANA,BRPL,BRPL,BRPL,
,,North-North,South-West-North,North-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,South-West-North,South-West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,North-North,North-North,West-North,West-North,North-North,North-North,North-North,North East-East-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,East-North,North-North,West-North,South-West-North,West-North,South-West-North,North-North,North East-East-North,North-North,South-East-North,North-North,East-North,West-North,East-North,North-North,West-North,West-North,East-North,West-North,North-North,South-East-North,North-North,East-North,North-North,South-West-North,North-North,West-North,
1,00:00-00:15,0,0.77,222.18,33.81,0,144.9,0,0,96.6,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,0,0,14.63,0,6.76,195.13,0,54.27,0,57.96,0,0,0,0,0,88.6,32,96.6,48.3,0,0,0,67.62,0,0,0,0,0,29.1,13.52,0,5.8,0,193.2,28.98,0,13.22,14.49,32,24.15,28.98,10.63,2538.2399999999993

2,00:15-00:30,0,0.77,222.18,33.81,0,144.9,0,0,96.6,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,0,0,14.63,0,6.76,195.13,0,54.27,0,57.96,0,0,0,0,0,88.6,32,96.6,48.3,0,0,0,67.62,0,0,0,0,0,29.1,13.52,0,5.8,0,193.2,28.98,0,13.22,14.49,32,24.15,28.98,10.63,2538.2399999999993

3,00:30-00:45,0,0.77,222.18,33.81,0,144.9,0,0,96.6,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,0,0,14.63,0,6.76,195.13,0,54.27,0,57.96,0,0,0,0,0,88.6,32,96.6,48.3,0,0,0,67.62,0,0,0,0,0,29.1,13.52,0,5.8,0,193.2,28.98,0,13.22,14.49,32,24.15,28.98,10.63,2538.2399999999993

4,00:45-01:00,0,0.77,222.18,33.81,0,144.9,0,0,96.6,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,0,0,14.63,0,6.76,195.13,0,54.27,0,57.96,0,0,0,0,0,88.6,32,96.6,48.3,0,0,0,67.62,0,0,0,0,0,29.1,13.52,0,5.8,0,193.2,28.98,0,13.22,14.49,32,24.15,28.98,10.63,2538.2399999999993

5,01:00-01:15,0,0.68,222.18,33.81,0,144.9,0,0,96.6,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,0,0,14.63,0,6.76,195.13,0,54.27,0,57.96,0,0,0,0,0,88.6,18,96.6,48.3,0,0,0,67.62,0,0,0,0,0,29.1,13.52,0,5.8,0,193.2,28.98,0,13.13,14.49,18,24.15,28.98,10.63,2510.06

6,01:15-01:30,0,0.68,222.18,33.81,0,144.9,0,0,96.6,193.2,0,193.2,48.3,96.6,0,96.6,43.9,0,48.3,37.33,0,4.83,4.83,62.79,0,47.33,14.63,43.9,48.3,0,0,0,14.63,0,6.76,195.13,0,54.27,0,57.96,0,0,0,0,0,88.6,18,96.6,48.3,0,0,0,67.62,0,0,0,0,0,29.1,13.52,0,5.8,0,193.2,28.98,0,13.13,14.49,18,24.15,28.98,10.63,2510.06

