Time,Block,NR/2023/18105/A/2080,NR/2023/18062/A/2082,NR/2023/17525/A,NR/2023/18074/A/2081,NR/2023/18185/C,NR/2023/17270/A,WR/2023/20577/A/2184,WR/2023/20256/A/2199,WR/2023/19446/A,NER/2023/1777/C,NR/2023/18184/C,Total
,,IEXL,IEXL,APPCPL,ITCLH,TPDDL,GMRETL,APPCPL,MANIKARAN,MANIKARAN,PXIL,NVVNL,Total

,,HIMACHAL PRADESH,ANDHRA PRADESH,DELHI,ANDHRA PRADESH,HIMACHAL PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,NA,
,,BSHP,SNJSUGARLTDAP,BYPL,ITCWIND,CHANJUII,BYPL,BRPL,BRPL,BYPL,BYPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,HIMACHAL PRADESH,DELHI,DELHI,RAJASTHAN,GOA,GOA,MAHARASHTRA,ARUNACHAL PRADESH,DELHI,
,,MES (Delhi),MES (Delhi),HP,ITCLH,TPDDL,RUVNL,GOA_Beneficiary,GOA_Beneficiary,AEML,Arunachal_Ben,MES (Delhi),
,,North-North,South-East-North,North-North,South-West-North,North-North,North-North,North-West,North-West,North-West,North-East-North East,West-North,
1,00:00-00:15,0.960000,4.820000,51.110000,0.430000,0.000000,0.000000,0.000000,0.000000,75.000000,40.000000,0,172.32

2,00:15-00:30,0.960000,4.820000,51.110000,0.430000,0.000000,0.000000,0.000000,0.000000,75.000000,40.000000,0,172.32

3,00:30-00:45,0.960000,4.820000,51.110000,0.430000,0.000000,0.000000,0.000000,0.000000,75.000000,40.000000,0,172.32

4,00:45-01:00,0.960000,4.820000,51.110000,0.430000,0.000000,0.000000,0.000000,0.000000,75.000000,40.000000,0,172.32

5,01:00-01:15,0.960000,4.820000,51.110000,0.390000,1.930000,0.000000,0.000000,0.000000,75.000000,40.000000,0,174.21

6,01:15-01:30,0.960000,4.820000,51.110000,0.390000,1.930000,0.000000,0.000000,0.000000,75.000000,40.000000,0,174.21

7,01:30-01:45,0.960000,4.820000,51.110000,0.390000,1.930000,0.000000,0.000000,0.000000,75.000000,40.000000,0,174.21

8,01:45-02:00,0.960000,4.820000,51.110000,0.390000,1.930000,0.000000,0.000000,0.000000,75.000000,40.000000,0,174.21

9,02:00-02:15,0.960000,4.820000,51.110000,0.340000,1.930000,0.000000,0.000000,0.000000,75.000000,40.000000,0,174.16

10,02:15-02:30,0.960000,4.820000,51.110000,0.340000,1.930000,0.000000,0.000000,0.000000,75.000000,40.000000,0,174.16

11,02:30-02:45,0.960000,4.820000,51.110000,0.340000,1.930000,0.000000,0.000000,0.000000,75.000000,40.000000,0,174.16

12,02:45-03:00,0.960000,4.820000,51.110000,0.340000,1.930000,0.000000,0.000000,0.000000,75.000000,40.000000,0,174.16

13,03:00-03:15,0.960000,4.820000,51.110000,0.340000,1.930000,0.000000,0.000000,0.000000,75.000000,40.000000,0,174.16

14,03:15-03:30,0.960000,4.820000,51.110000,0.340000,1.930000,0.000000,0.000000,0.000000,75.000000,40.000000,0,174.16

15,03:30-03:45,0.960000,4.820000,51.110000,0.340000,1.930000,0.000000,0.000000,0.000000,75.000000,40.000000,0,174.16

16,03:45-04:00,0.960000,4.820000,51.110000,0.340000,1.930000,0.000000,0.000000,0.000000,75.000000,40.000000,0,174.16

17,04:00-04:15,0.960000,4.820000,51.110000,0.390000,1.840000,0.000000,0.000000,0.000000,75.000000,40.000000,0,174.12

18,04:15-04:30,0.960000,4.820000,51.110000,0.390000,1.840000,0.000000,0.000000,0.000000,75.000000,40.000000,0,174.12

19,04:30-04:45,0.960000,4.820000,51.110000,0.390000,1.840000,0.000000,0.000000,0.000000,75.000000,40.000000,0,174.12

20,04:45-05:00,0.960000,4.820000,51.110000,0.390000,1.840000,0.000000,0.000000,0.000000,75.000000,40.000000,0,174.12

21,05:00-05:15,0.960000,4.820000,51.110000,0.390000,1.840000,0.000000,0.000000,0.000000,75.000000,0.000000,0,134.12

22,05:15-05:30,0.960000,4.820000,51.110000,0.390000,1.840000,0.000000,0.000000,0.000000,75.000000,0.000000,0,134.12

