Block,Time,CHAMERA1,NTPL,SASAN,SIMHST1,SIMHST2,UNCHAHAR2,AURY_GF,CHAMERA2,CHAMERA3,KGSU3AND4,KKNPPU2,NLCTS2EXP,TALST2,TelanganaSTPP,UNCHAHAR1,UNCHAHAR4,DADRI_CRF,DADRI_RF,BRBCL,DHAULIGNGA,KHSTPP-II,KUDGI,NJPC,RIHAND3,RSTPSU1TO6,TANDA2,ANTA_CRF,ANTA_GF,ANTA_LF,DADRI_LF,DADRT2,NLCIIST1,RIHAND2,UNCHAHAR3,ANTA_RF,AURY_RF,RAMPUR,RSTPSU7,SINGRAULI_HYDRO,TANAKPUR,DADRI_GF,BSIUL,DULHASTI,JHAJJAR,KOLDAM,NAPP,NLCEXP,NLCIIST2,PARBATI3,RAPPB,RIHAND1,SALAL,SEWA2,TALA,TEHRI,URI,KGSU1AND2,KISHANGANGA,NNTPP,RAPPC,SINGRAULI,VALLURNTECL,AURY_CRF,FSTPP I & II,KHSTPP-I,KKNP,KOTESHWR,MAPS,URI2,AURY_LF
1,00:00-00:15,0,0,348.98,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.05,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,10.25,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,35.33,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,18.83,0

2,00:15-00:30,0,0,348.98,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.05,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,10.25,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,35.33,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,18.83,0

3,00:30-00:45,0,0,348.98,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.05,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,10.25,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,1.11,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,18.83,0

4,00:45-01:00,0,0,348.98,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.05,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,1.11,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,18.83,0

5,01:00-01:15,0,0,348.98,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.05,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,1.11,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,18.83,0

6,01:15-01:30,0,0,348.98,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.05,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,1.11,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,18.83,0

7,01:30-01:45,0,0,348.98,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.05,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,3.31,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,4.57,0

8,01:45-02:00,0,0,348.98,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.05,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,3.31,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,4.57,0

9,02:00-02:15,0,0,348.98,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.26,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,3.31,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,4.57,0

10,02:15-02:30,0,0,348.98,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.26,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,3.31,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,4.57,0

11,02:30-02:45,0,0,337.5,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.26,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,1.66,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,4.57,0

12,02:45-03:00,0,0,337.5,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.26,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,10.25,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,1.66,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,4.57,0

13,03:00-03:15,0,0,357.75,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.26,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,10.25,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,1.66,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,4.57,0

14,03:15-03:30,0,0,378,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.26,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,1.66,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,4.57,0

15,03:30-03:45,0,0,389.25,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.26,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,1.66,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,4.57,0

16,03:45-04:00,0,0,396,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.26,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,1.66,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,4.57,0

17,04:00-04:15,0,0,405,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.26,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,1.66,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,4.57,0

18,04:15-04:30,0,0,405,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.26,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,1.66,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,4.57,0

19,04:30-04:45,0,0,405,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.26,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,3.31,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,4.57,0

20,04:45-05:00,0,0,405,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,0,124.32,0,0,43.26,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,0,35.33,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,4.57,0

21,05:00-05:15,0,0,405,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,22.54,124.32,0,0,43.26,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,15.44,35.33,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,4.57,0

22,05:15-05:30,0,0,405,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,0,98.87,0,46.78,124.32,0,0,43.26,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,10.25,0,0,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,30.87,2.21,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,4.57,0

23,05:30-05:45,0,0,405,0,0,21.19,0,0,0,0,0,0,0,0,20.56,0,66.85,0,20,9.13,98.87,0,68.09,124.32,0,0,43.26,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,1.1,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,30.87,1.66,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,4.57,0

24,05:45-06:00,0,0,405,0,0,21.19,0,0,1.27,0,0,0,0,0,20.56,0,66.85,0,20,18.27,98.87,0,91.48,124.32,0,0,43.26,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,6.52,14.12,654.31,0,42.93,0,0,0,0,78,2.33,0,0,45.68,1.66,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,4.57,0

25,06:00-06:15,12.64,0,405,0,0,21.19,0,4,9.68,0,0,0,0,0,20.56,0,66.85,0,20,27.4,98.87,0,116.95,124.32,0,0,43.05,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,6.52,32.96,654.31,0,42.93,0,0,3.82,0,78,2.33,0,0,62.24,1.66,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,8.87,0,4.57,0

26,06:15-06:30,28.05,0,405,0,0,21.19,0,26.34,29.06,0,0,0,0,0,20.56,0,66.85,0,20,36.55,98.87,0,140.34,124.32,0,0,43.05,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,13.04,49.43,654.31,0,42.93,0,0,16.55,0,78,2.33,5.27,0,62.24,1.66,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,19.72,0,4.57,0

27,06:30-06:45,42.1,0,405,0,0,21.19,0,26.34,29.06,0,0,0,0,0,20.56,0,66.85,0,20,36.55,98.87,0,140.34,124.32,0,0,43.05,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,13.04,49.43,654.31,0,42.93,0,0,16.55,0,78,13.95,10.54,0,62.24,1.66,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,19.72,0,4.57,0

28,06:45-07:00,42.1,0,405,0,0,21.19,0,26.34,29.06,0,0,0,0,0,20.56,0,66.85,0,20,36.55,98.87,0,140.34,124.32,0,0,43.05,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,13.04,49.43,654.31,0,42.93,0,0,16.55,0,78,69.72,10.54,0,62.24,1.66,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,19.72,0,4.57,0

29,07:00-07:15,28.05,0,405,0,0,21.19,0,26.34,29.06,0,0,0,0,0,20.56,0,66.85,0,20,36.55,98.87,0,140.34,124.32,0,0,43.05,0,0,22.47,683.14,0,118.76,26.39,0,0,0,0,0,3.85,0,13.04,49.43,654.31,0,42.93,0,0,16.55,0,78,69.72,10.54,0,62.24,2.76,0,0,0,52.66,139.68,0,70.59,20.8,45.22,0,19.72,0,4.57,0

