Time,Block,NR/2024/21089/A/28898,NR/2024/21210/A/28606,NR/2024/21062/A/28875,NR/2024/21682/A/28884,NR/2024/21238/A/28947,NR/2024/21183/A/28940,NR/2024/21890/C,NR/2024/21160/A/28663,NR/2024/21142/A/28605,NR/2024/21186/A/28908,NR/2024/21141/A/28604,NR/2024/20966/A/28586,NR/2024/21099/A/28603,NR/2024/21150/A/28661,NR/2024/21861/C,NR/2024/20688/A/28673,NR/2024/21152/A/28585,NR/2024/20931/A/28837,NR/2024/21715/A/28444,NR/2024/20573/A/28865,NR/2024/21153/A/28659,NR/01072024/31072024/R2,NR/2024/21199/A/28645,NR/2024/21173/A/28671,NR/2024/21113/A/28897,NR/2024/21567/A/28896,NR/30092023/26122029/SH-06,NR/2024/21103/A/28913,NR/2024/21023/A/28647,NR/2024/21158/A/28665,NR/2024/21859/C,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21144/A/28669,NR/2024/21146/A/28662,NR/2024/21864/C,NR/2024/21227/A/28912,NR/2024/21339/A/28609,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21148/A/28660,NR/2024/21076/A/28936,NR/2024/21159/A/28664,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21108/A/28911,NR/2024/21156/A/28658,NR/16072024/31072024/NR/16072024/31072024/717758,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21096/A/28916,NR/2024/21878/C,NR/2024/21858/C,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21087/A/28672,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/30092023/31122025/SH-07,NR/2024/21882/C,NR/2024/20711/A/28885,NR/2024/21694/A/28918,SR/2024/13595/C,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21072/A/28899,NR/2024/21075/A/28946,NR/2024/19779/A/28595,NR/2024/20574/A/28867,NR/01102023/23072042/L_NR_2012_04,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,Total
,,NVVNL,TPTCL,PTC,TPDDL,MANIKARAN,MANIKARAN,HPXL,BMDRC,TPTCL,NVVNL,TPTCL,IEXL,TPTCL,BAL234,NVVNL,GMRETL,IEXL,AEL,DIAPL,PTC,JHPL-DL,PTC,INSTINCT,GMRETL,NVVNL,NVVNL,PUNJAB,APPCPL,INSTINCT,MSSH,NVVNL,TPTCL,DTCP,BAL184,MANIKARAN,APPCPL,TPTCL,NDMC,BAL224,MANIKARAN,MHIL,MEJA,NDMC,APPCPL,UHL,AEL,APPCPL,APPCPL,HPXL,NVVNL,INSTINCT,GMRETL,TPDDL,BAWANA_GAS,IEXL,TPDDL,APPCPL,IEXL,DELHI,INSTINCT,NVVNL,MANIKARAN,ITCLH,PTC,TPTCL,SECI_Trader,SECI_Trader,Total

,,NA,NA,NA,NA,TAMIL NADU,MP,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MP,MAHARASHTRA,MAHARASHTRA,NA,HIMACHAL PRADESH,NA,RAJASTHAN,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MAHARASHTRA,ODISHA,NA,NA,DELHI,UTTARAKHAND,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,NAGALAND,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,UTTAR PRADESH,NA,MANIPUR,HIMACHAL PRADESH,NA,ARUNACHAL PRADESH,KERALA,KARNATAKA,NA,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,Gujarat,NA,NAGALAND,DELHI,MAHARASHTRA,NA,NA,GOA,ANDHRA PRADESH,HIMACHAL PRADESH,NA,NA,NA,
,,RKM_POWER,SIMHAPURI,SEILP2,JHAJJAR,MMS STEEL TN,BLAPOWER_MP,GBHHPL,SHPPBPL,HP-GOVT,JP BINA,TPC MSEB,A_A_Energy_MH_Bio,ACBIL,SHPPBPL,SORANG_HEP,RUVNL,NHCPL_HP,APL_Raigarh TPP,GBHHPL,HP,SHPPBPL,SEILP2,JPL_DHULE,GMRKEL (STU),JPL-2,TRN_ENERGY,BAWANA_GAS,UTTARAKHAND,JPL,SHPPBPL,KAMENG,JITPL,SHPPBPL,SHPPBPL,AEML,Nagaland_Ben,JITPL,JITPL,SHPPBPL,AEML,SHPPBPL,MEJA,SKS Raigarh,Manipur_Ben,SHPPBPL,APL_Raigarh TPP,Arunachal_Ben,KSEB,PCKL,SOLAPUR_SOLAR,JPL_DHULE,GBHHPL,CHANJUII,BAWANA_GAS,SUGEN_GUVNL,JPL-2,Nagaland_Ben,BYPL,MSEB_Beneficiary,JPL,RKM_POWER,GOA_Beneficiary,ITCWIND,HP,MPL,SBSRPC11PL_BKN,SBSRPC11PL_BKN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,TAMIL NADU,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,BRPL,BRPL,TPDDL,BRPL,BRPL,BYPL,BMDRC,BRPL,TPDDL,BYPL,MES (Delhi),BRPL,BAL234,TPDDL,BYPL,MES (Delhi),BRPL,DIAPL,BRPL,JHPL-DL,BRPL,BRPL,BRPL,NDMC,NDMC,PUNJAB,BYPL,BRPL,MSSH,TPDDL,BRPL,DTCP,BAL184,BYPL,BYPL,BRPL,NDMC,BAL224,BYPL,MHIL,DELHI,NDMC,BRPL,UHL,BRPL,BRPL,BYPL,BRPL,MES (Delhi),BRPL,BRPL,TPDDL,HARYANA,BRPL,TPDDL,BYPL,TANGEDCO,TPDDL,BRPL,NDMC,BRPL,ITCLH,BYPL,TPDDL,BYPL,TPDDL,
,,West-North,South-West-North,South-East-North,North-North,South-West-North,West-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,South-West-North,West-North,East-North,West-North,West-North,North-North,North-North,West-North,North-North,North East-East-North,East-North,North-North,North-North,West-North,North East-East-North,East-North,East-North,North-North,West-North,North-North,North-North,West-North,North East-East-North,North-North,West-North,North East-East-North,South-West-North,South-West-North,West-North,West-North,North-North,North-North,North-North,West-North,West-North,North East-East-North,North-East-South,West-North,West-North,West-North,West-North,South-West-North,North-North,East-North,North-North,North-North,
1,00:00-00:15,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,9.650000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,29.250000,12.200000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,38.580000,67.520000,192.920000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,2.180000,0.00,0.000000,96.460000,37.260000,11.720000,0.630000,12.060000,0.000000,0,0,2155.13

2,00:15-00:30,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,47.710000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,9.650000,36.170000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,32.000000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,31.500000,12.200000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,38.580000,67.520000,192.920000,0,72.340000,24.120000,13.170000,32.000000,149.510000,96.460000,2.340000,10.00,0.000000,96.460000,37.260000,11.720000,0.630000,12.060000,0.000000,0,0,2167.54
