Block,Time,WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02012046/L_NR_2021_17,NR/03112023/30112023/IEX-231101-05680,NR/01102023/08032047/L_NR_2021_14,NR/01112023/30112023/HP-10,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/01102023/14082046/L_NR_2021_16,NR/01112023/30112023/HP-09,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/30092023/26122029/SH-06,NR/01102023/23072042/L_NR_2012_04,WR/01102023/16072048/L_NR_2022_08,SR/01112023/30112023/KSEB_BYPL-NOV23,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,WR/01102023/29112042/L_NR_2019_05,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_36,NR/22102023/11042047/L_NR_2021_16,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/30042040/GNA_LT_35,WR/01102023/01102023/L_NR_2020_06
1,00:00-00:15,36,7.21,0,0,0,0,48.220000,0,73.790000,0,0,0,172.780000,48.220000,0,0,36,44.01,1.920000,2.310000,0.000000,1.860000,0,26.030000,149.190000,9.51,144.68,71.760000,26.030000,0,25.080000,0.000000,0.000000,0,55.570000,48.220000,169.740000,14.67,0,0.000000,14.67

2,00:15-00:30,35,7.21,0,0,0,0,48.220000,0,73.790000,0,0,0,172.780000,48.220000,0,0,35,43.01,1.920000,2.310000,0.000000,1.860000,0,26.030000,149.190000,9.34,144.68,71.760000,26.030000,0,25.080000,0.000000,0.000000,0,55.570000,48.220000,169.740000,14.34,0,0.000000,14.33

3,00:30-00:45,34.67,7.21,0,0,0,0,48.220000,0,73.790000,0,0,0,172.780000,48.220000,0,0,34.67,42.51,1.920000,2.310000,0.000000,1.860000,0,26.030000,149.190000,9.18,144.68,71.760000,26.030000,0,25.080000,0.000000,0.000000,0,55.570000,48.220000,169.740000,14.17,0,0.000000,14.17

4,00:45-01:00,25,7.21,0,0,0,0,48.220000,0,73.790000,0,0,0,172.780000,48.220000,0,0,25,42,1.920000,2.310000,0.000000,1.860000,0,26.030000,149.190000,9.21,144.68,71.760000,26.030000,0,25.080000,0.000000,0.000000,0,32.790000,48.220000,169.740000,14,0,0.000000,14

5,01:00-01:15,23.34,7.21,0,0,0,0,48.220000,0,73.790000,0,0,0,172.780000,48.220000,0,0,23.34,41,1.840000,2.310000,0.000000,1.860000,0,26.030000,149.190000,9.32,144.68,71.760000,26.030000,0,25.080000,0.000000,0.000000,0,32.790000,48.220000,169.740000,13.67,0,0.000000,13.66

6,01:15-01:30,22.84,7.21,0,0,0,0,48.220000,0,73.790000,0,0,0,172.780000,48.220000,0,0,22.84,39.01,1.840000,2.310000,0.000000,1.860000,0,26.030000,149.190000,9.08,144.68,71.760000,26.030000,0,25.080000,0.000000,0.000000,0,32.790000,48.220000,169.740000,13,0,0.000000,13.01

7,01:30-01:45,25,7.21,0,0,0,0,48.220000,0,73.790000,0,0,0,172.780000,48.220000,0,0,25,37.51,1.840000,2.310000,0.000000,1.860000,0,26.030000,149.190000,8.95,144.68,71.760000,26.030000,0,25.080000,0.000000,0.000000,0,32.790000,48.220000,169.740000,12.5,0,0.000000,12.51

8,01:45-02:00,24.95,7.21,0,0,0,0,48.220000,0,73.790000,0,0,0,172.780000,48.220000,0,0,24.95,36.01,1.840000,2.310000,0.000000,1.860000,0,26.030000,149.190000,8.74,144.68,71.760000,26.030000,0,25.080000,0.000000,0.000000,0,32.790000,48.220000,169.740000,12,0,0.000000,12.01

9,02:00-02:15,24.75,7.21,0,0,0,0,48.220000,0,73.790000,0,0,0,172.780000,48.220000,0,0,24.75,33.01,1.690000,2.310000,0.000000,1.780000,0,26.030000,149.190000,8.68,144.68,71.760000,26.030000,0,25.080000,0.000000,0.000000,0,32.790000,48.220000,169.740000,11,0,0.000000,11.01

10,02:15-02:30,24.51,7.21,0,0,0,0,48.220000,0,73.790000,0,0,0,172.780000,48.220000,0,0,24.51,32.51,1.690000,2.310000,0.000000,1.780000,0,26.030000,149.190000,8.65,144.68,71.760000,26.030000,0,25.080000,0.000000,0.000000,0,32.790000,48.220000,169.740000,10.84,0,0.000000,10.83

11,02:30-02:45,24.01,7.21,0,0,0,0,48.220000,0,73.790000,0,0,0,172.780000,48.220000,0,0,24.01,31.01,1.690000,2.310000,0.000000,1.780000,0,26.030000,149.190000,8.42,144.68,71.760000,26.030000,0,25.080000,0.000000,0.000000,0,32.790000,48.220000,169.740000,10.34,0,0.000000,10.33

12,02:45-03:00,23.67,7.21,0,0,0,0,48.220000,0,73.790000,0,0,0,172.780000,48.220000,0,0,23.67,29.01,1.690000,2.310000,0.000000,1.780000,0,26.030000,149.190000,6.66,144.68,71.760000,26.030000,0,25.080000,0.000000,0.000000,0,32.790000,48.220000,169.740000,9.67,0,0.000000,9.67

13,03:00-03:15,23.34,7.21,0,0,0,0,48.220000,0,73.790000,0,0,0,172.780000,48.220000,0,0,23.34,27.51,1.690000,2.310000,0.000000,1.780000,0,26.030000,149.190000,6.66,144.68,71.760000,26.030000,0,25.080000,0.000000,0.000000,0,31.830000,48.220000,169.740000,9.17,0,0.000000,9.17

14,03:15-03:30,23.29,7.21,0,0,0,0,48.220000,0,73.790000,0,0,0,172.780000,48.220000,0,0,23.29,27.5,1.690000,2.310000,0.000000,1.780000,0,26.030000,149.190000,6.66,144.68,71.760000,26.030000,0,25.080000,0.000000,0.000000,0,31.830000,48.220000,169.740000,9.17,0,0.000000,9.16

