Column1,Time,SR/01102023/07102043/L_NR_2018_61,GNA/NR/2025/01/01/6528,NR/01102023/30042040/GNA_LT_36,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/6775,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,GNARE/NR/2024/12/20/3668,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/02/1250,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/01/01/3945,NR/01102023/06022042/L_NR_2012_07,GNA/WR/2025/01/01/8625,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/01/01/3925,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/8058,NR/01102023/22052037/LT-59,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/3514
1,00:00-00:15,11.21,8.65,0,1.65,25.94,0,25.23,0,70.07,14.4,0,42.49,37.33,0,0,14.17,0,37.34,14.17,0,0,0,0,0,0,0,0,0,0,0,0,28.82,48.04,1.57,25.94,59.41,0,1.14,65.33,48.04,53.8,0,20.18,26.9,0,74.71,25.94,48.04,19.22

2,00:15-00:30,10.8,8.65,0,1.65,25.94,0,25.23,0,70.07,13.75,0,42,35.67,0,0,14,0,35.66,14,0,0,0,0,0,0,0,0,0,0,0,0,28.82,48.04,1.57,25.94,59.41,0,1.14,65.33,48.04,53.8,0,20.18,26.9,0,74.71,25.94,48.04,19.22

3,00:30-00:45,10.4,8.65,0,1.65,25.94,0,25.23,0,70.07,13.42,0,45,40.33,0,0,15,0,40.34,15,0,0,0,0,0,0,0,0,0,0,0,0,28.82,48.04,1.57,25.94,59.41,0,1.14,65.33,48.04,53.8,0,20.18,26.9,0,74.71,25.94,48.04,19.22

4,00:45-01:00,9.8,8.65,0,1.65,25.94,0,25.23,0,70.07,12.76,0,43.5,36.67,0,0,14.5,0,36.66,14.5,0,0,0,0,0,0,0,0,0,0,0,0,28.82,48.04,1.57,25.94,59.41,0,1.14,65.33,48.04,53.8,0,20.18,26.9,0,74.71,25.94,48.04,19.22

5,01:00-01:15,9.6,8.65,0,1.65,25.94,0,25.23,0,70.07,10,0,41.51,33.33,0,0,13.83,0,33.34,13.83,0,0,0,0,0,0,0,0,0,0,0,0,28.82,48.04,1.57,25.94,59.41,0,1.14,65.33,48.04,53.8,0,20.18,26.9,0,74.71,25.94,48.04,19.22

6,01:15-01:30,9.4,8.65,0,1.65,25.94,0,25.23,0,70.07,9.67,0,40.01,30,0,0,13.33,0,30,13.33,0,0,0,0,0,0,0,0,0,0,0,0,28.82,48.04,1.57,25.94,59.41,0,1.14,65.33,48.04,53.8,0,20.18,26.9,0,74.71,25.94,48.04,19.22

7,01:30-01:45,9.2,8.65,0,1.65,25.94,0,24.73,0,70.07,9.33,0,37.99,41,0,0,12.67,0,41,12.67,0,0,0,0,0,0,0,0,0,0,0,0,28.82,48.04,1.57,25.94,59.41,0,1.14,65.33,48.04,53.8,0,20.18,26.9,0,74.71,25.94,48.04,19.22

8,01:45-02:00,9,8.65,0,1.65,25.94,0,24.73,0,70.07,8.67,0,35.51,37.67,0,0,11.83,0,37.66,11.83,0,0,0,0,0,0,0,0,0,0,0,0,28.82,48.04,1.57,25.94,59.41,0,1.14,65.33,48.04,53.8,0,20.18,26.9,0,74.71,25.94,48.04,19.22

9,02:00-02:15,8.8,8.65,0,1.65,24.98,0,24.73,0,70.07,8.33,0,33,34.67,0,0,11,0,34.66,11,0,0,0,0,0,0,0,0,0,0,0,0,28.82,48.04,1.57,24.98,59.41,0,1.14,65.33,48.04,53.8,0,20.18,26.9,0,74.71,24.98,48.04,19.22

10,02:15-02:30,8.6,8.65,0,1.65,24.98,0,24.73,0,70.07,8.33,0,31.01,32,0,0,10.33,0,32,10.33,0,0,0,0,0,0,0,0,0,0,0,0,28.82,48.04,1.57,24.98,59.41,0,1.14,65.33,48.04,53.8,0,20.18,26.9,0,74.71,24.98,48.04,19.22

11,02:30-02:45,10.6,8.65,0,1.65,24.98,0,24.73,0,70.07,8,0,28.99,29.33,0,0,9.67,0,29.34,9.67,0,0,0,0,0,0,0,0,0,0,0,0,28.82,48.04,1.57,24.98,59.41,0,1.14,65.33,48.04,53.8,0,20.18,26.9,0,74.71,24.98,48.04,19.22

12,02:45-03:00,10.2,8.65,0,1.65,24.98,0,24.73,0,70.07,7.67,0,27,26.67,0,0,9,0,26.66,9,0,0,0,0,0,0,0,0,0,0,0,0,28.82,48.04,1.57,24.98,59.41,0,1.14,65.33,48.04,53.8,0,20.18,26.9,0,74.71,24.98,48.04,19.22

13,03:00-03:15,9.8,8.65,0,1.65,24.98,0,24.73,0,70.07,7,0,25.5,23.33,0,0,8.5,0,23.34,8.5,0,0,0,0,0,0,0,0,0,0,0,0,28.82,48.04,1.53,24.98,59.41,0,1.14,65.33,48.04,53.8,0,20.18,26.9,0,74.71,24.98,48.04,19.22

14,03:15-03:30,9.2,8.65,0,1.65,24.98,0,24.73,0,70.07,7,0,24,21.67,0,0,8,0,21.66,8,0,0,0,0,0,0,0,0,0,0,0,0,28.82,48.04,1.53,24.98,59.41,0,1.14,65.33,48.04,53.8,0,20.18,26.9,0,74.71,24.98,48.04,19.22

