Time,Block,WR/2023/20914/A/3197,WR/2023/20937/A/3217,NR/2024/18346/C,NR/2023/18074/A/3049,NR/2024/18285/A/3190,NR/2024/18331/A/3218,NR/2023/18183/A/3219,Total
,,APPCPL,MANIKARAN,NVVNL,ITCLH,HPXL,MANIKARAN,MANIKARAN,Total

,,DELHI,DELHI,NA,ANDHRA PRADESH,MP,DELHI,DELHI,
,,BRPL,BRPL,SOLAPUR_SOLAR,ITCWIND,MSPIL,BRPL,BRPL,
,,GOA,GOA,DELHI,DELHI,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,
,,GOA_Beneficiary,GOA_Beneficiary,MES (Delhi),ITCLH,NDMC,HP,HP,
,,North-West,North-West,West-North,South-West-North,West-North,North-North,North-North,
1,00:00-00:15,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

2,00:15-00:30,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

3,00:30-00:45,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

4,00:45-01:00,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

5,01:00-01:15,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

6,01:15-01:30,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

7,01:30-01:45,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

8,01:45-02:00,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

9,02:00-02:15,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

10,02:15-02:30,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

11,02:30-02:45,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

12,02:45-03:00,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

13,03:00-03:15,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

14,03:15-03:30,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

15,03:30-03:45,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

16,03:45-04:00,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

17,04:00-04:15,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

18,04:15-04:30,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

19,04:30-04:45,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

20,04:45-05:00,0.000000,0.000000,0,0.380000,9.600000,0.000000,0.000000,9.98

21,05:00-05:15,0.000000,0.000000,0,0.430000,9.600000,0.000000,0.000000,10.03

22,05:15-05:30,0.000000,0.000000,0,0.430000,9.600000,0.000000,0.000000,10.03

23,05:30-05:45,0.000000,0.000000,0,0.430000,9.600000,0.000000,0.000000,10.03

24,05:45-06:00,0.000000,0.000000,0,0.430000,9.600000,0.000000,0.000000,10.03

25,06:00-06:15,0.000000,0.000000,0,0.380000,9.600000,0.000000,158.480000,168.46

26,06:15-06:30,0.000000,0.000000,0,0.380000,9.600000,0.000000,158.480000,168.46

27,06:30-06:45,0.000000,0.000000,0,0.380000,9.600000,0.000000,158.480000,168.46

28,06:45-07:00,0.000000,0.000000,0,0.380000,9.600000,0.000000,158.480000,168.46

29,07:00-07:15,0.000000,0.000000,0,0.530000,9.600000,0.000000,158.480000,168.61

30,07:15-07:30,0.000000,0.000000,0.17,0.530000,9.600000,0.000000,158.480000,168.78

31,07:30-07:45,0.000000,0.000000,0.39,0.530000,9.600000,0.000000,158.480000,169

32,07:45:08:00,0.000000,0.000000,0.76,0.530000,9.600000,0.000000,158.480000,169.37

33,08:00-08:15,0.000000,0.000000,1.25,0.860000,9.600000,0.000000,158.480000,170.19

34,08:15-08:30,0.000000,0.000000,1.72,0.860000,9.600000,0.000000,158.480000,170.66

35,08:30-08:45,0.000000,0.000000,2.23,0.860000,9.600000,0.000000,158.480000,171.17

36,08:45:09:00,0.000000,0.000000,2.72,0.860000,9.600000,0.000000,158.480000,171.66

