Column1,Time,GNA/NR/2025/07/01/2952,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/8128,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8230,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/07/01/2786,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/2236,NR/01102023/30042040/GNA_LT_35,NR/01102023/31052040/LT-31,GNA/NR/2025/07/01/2997,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/07/01/3109,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,GNARE/SR/2025/01/13/4532,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05
1,00:00-00:15,0,135.71,0,-0,0,49.09,225.22,6.16,43.75,84.82,56.42,15.94,72.19,0,20.76,81.81,0,0,15.26,231,19.25,10.66,26.5,26.5,24.73,10.49,70.19,0,0,0,37.42,0,0,0,0,0,0,0,0,30,0,90,31.67,0,0,30,0

2,00:15-00:30,0,135.71,0,-0,0,49.09,225.22,6.16,43.75,84.82,56.42,15.94,52.94,0,20.76,81.81,0,0,15.26,192.5,19.25,10.66,26.5,26.5,24.73,10.49,70.19,0,0,0,35.41,0,0,0,0,0,0,0,0,30,0,90,31.67,0,0,30,0

3,00:30-00:45,0,135.71,0,-0,0,49.09,225.22,6.16,43.75,84.82,56.42,15.94,52.94,0,20.76,81.81,0,0,15.26,148.88,19.25,10.66,26.5,26.5,25.24,10.49,70.19,0,0,0,35.21,0,0,0,0,0,0,0,0,30,0,90,31.33,0,0,30,0

4,00:45-01:00,0,135.71,0,-0,0,49.09,225.22,6.16,43.75,84.82,56.42,15.94,52.94,0,20.76,81.81,0,0,15.26,148.88,19.25,10.66,26.5,26.5,25.24,10.49,70.19,0,0,0,34.81,0,0,0,0,0,0,0,0,30,0,90,30.67,0,0,30,0

5,01:00-01:15,0,135.71,0,-0,0,49.09,225.22,6.06,43.75,84.82,56.42,15.94,52.94,0,20.76,81.81,0,0,15.26,148.88,19.25,10.66,26.5,26.5,25.24,10.49,70.19,0,0,0,32.61,0,0,0,0,0,0,0,0,30,0,90,33.33,0,0,30,0

6,01:15-01:30,0,135.71,0,-0,0,49.09,225.22,6.06,43.75,84.82,56.42,15.94,52.94,0,20.76,81.81,0,0,15.26,148.88,19.25,10.66,26.5,26.5,25.24,10.49,70.19,0,0,0,32.41,0,0,0,0,0,0,0,0,30,0,90,32.33,0,0,30,0

7,01:30-01:45,0,135.71,0,-0,0,49.09,225.22,6.06,43.75,84.82,56.42,15.94,52.94,0,20.76,81.81,0,0,15.26,148.88,19.25,10.66,26.5,26.5,25.24,10.49,70.19,0,0,0,28.01,0,0,0,0,0,0,0,0,30,0,90,31.33,0,0,30,0

