Block,Time,DADRI_CRF,SINGRAULI_HYDRO,DADRI_RF,DHAULIGNGA,ANTA_GF,ANTA_RF,RIHAND2,CHAMERA1,RIHAND1,AURY_LF,AURY_RF,URI2,URI,AURY_GF,SINGRAULI,NJPC,KOLDAM,TEHRI,BSIUL,RAPPC,RIHAND3,DADRI_GF,UNCHAHAR1,SEWA2,DADRT2,SALAL,RAPPB,TANAKPUR,DULHASTI,UNCHAHAR2,AURY_CRF,KOTESHWR,TANDA2,RAMPUR,CHAMERA3,PARBATI3,UNCHAHAR4,ANTA_CRF,KISHANGANGA,ANTA_LF,CHAMERA2,NAPP,DADRI_LF,UNCHAHAR3,JHAJJAR,NLCEXP,KUDGI,RSTPSU7,KHSTPP-II,KGSU1AND2,SOLAPUR,SIMHST2,MOUDA_II,NNTPP,KAWAS-zLIQ,SIPAT I,SASAN,MAPS,KKNP,VSTPS IV,KSTPS7,KAWAS-RLNG,MOUDA,VSTPS II,KHARGONE-I,NLCIIST1,VSTPS I,KAWAS-APM,SIPAT II,NLCTS2EXP,TALA,BRBCL,VSTPS III,NLCIIST2,VSTPS V,VALLURNTECL,KHSTPP-I,GANDHAR-RLNG,GANDHAR-NAPM,GANDHAR-APM,RSTPSU1TO6,KAPS,TAPS-II,NTPL,FSTPP I & II,TALST2,GADARWARA-I,LARA-I,KAWAS-ComGas,KAWAS-NAPM,GANDHAR-ComGas,KSTPS I&II,KGSU3AND4,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
9,02:00-02:15,0.000000,0.689930,0.000000,0.000000,0.000000,0.000000,117.887847,40.584386,92.331090,0.000000,0.000000,30.390654,46.773830,0.000000,141.748509,0.000000,0.000000,0.000000,12.604361,62.846385,123.684601,0.000000,11.842703,17.436898,363.778790,80.560066,0.000000,1.233475,36.418010,26.531747,0.000000,17.596491,3.938161,0.000000,21.482687,0.000000,2.301331,0.000000,4.068498,0.000000,29.710734,45.735721,0.000000,14.421177,346.978897,1.67,8.98,1.87,142.042795,1.94,1.693819,1.78,3.358207,0.21,0.000000,3.387639,336.028028,0.24,0.00,2.566393,1.283197,0.000000,1.853390,1.858043,1.866966,0.93,2.290725,0.000000,1.788485,0.90,0.000000,14.443459,1.874035,0.93,1.269510,3.44,29.679659,0.000000,0.000000,0.000000,7.66,1.097871,1.311170,3.64,15.762673,2.92,2.682737,4.072013,0.000000,0.000000,0.000000,2.574826,2.10,0,0,0,0,0

10,02:15-02:30,0.000000,0.689930,0.000000,0.000000,0.000000,0.000000,117.887847,40.584386,92.331090,0.000000,0.000000,30.390654,46.773830,0.000000,141.748509,0.000000,0.000000,0.000000,12.604361,62.846385,123.684601,0.000000,11.842703,17.436898,363.777461,80.560066,0.000000,1.233475,36.418010,26.531747,0.000000,8.798246,3.938161,0.000000,21.482687,0.000000,2.301331,0.000000,4.068498,0.000000,29.710734,45.735721,0.000000,14.421177,346.978897,1.67,8.98,1.87,142.042795,1.94,1.693819,1.78,3.358207,0.21,0.000000,3.387639,336.028028,0.24,0.00,2.566393,1.283197,0.000000,1.853390,1.858043,1.866966,0.93,2.290725,0.000000,1.788485,0.90,0.000000,12.534615,1.874035,0.93,1.269510,3.44,29.679659,0.000000,0.000000,0.000000,7.66,1.097871,1.311170,3.64,15.762673,2.92,2.819610,4.072013,0.000000,0.000000,0.000000,2.574826,2.10,0,0,0,0,0

11,02:30-02:45,0.000000,0.689930,0.000000,0.000000,0.000000,0.000000,117.887847,40.584386,92.331090,0.000000,0.000000,30.390654,46.773830,0.000000,141.748509,0.000000,0.000000,0.000000,6.249221,62.846385,123.684601,0.000000,10.280197,17.436898,363.266890,80.560066,0.000000,1.233475,36.418010,26.531747,0.000000,8.798246,3.938161,0.000000,21.482687,0.000000,1.657536,0.000000,4.068498,0.000000,29.710734,45.735721,0.000000,13.387576,339.798131,1.67,8.98,1.87,142.042795,1.94,1.693819,1.78,3.358207,0.21,0.000000,3.387639,336.028028,0.24,0.00,2.566393,1.283197,0.000000,1.853390,1.858043,1.866966,0.93,2.290725,0.000000,1.788485,0.90,0.000000,12.781204,1.874035,0.93,1.269510,3.44,29.679659,0.000000,0.000000,0.000000,7.66,1.097871,1.311170,3.64,15.762673,2.92,2.819610,4.072013,0.000000,0.000000,0.000000,2.574826,2.10,0,0,0,0,0

12,02:45-03:00,0.000000,0.689930,0.000000,0.000000,0.000000,0.000000,117.887847,40.584386,92.331090,0.000000,0.000000,30.390654,46.773830,0.000000,141.748509,0.000000,0.000000,0.000000,6.249221,62.846385,123.684601,0.000000,10.280197,17.436898,363.265216,80.560066,0.000000,1.233475,36.418010,26.531747,0.000000,8.798246,3.938161,0.000000,21.482687,0.000000,1.657536,0.000000,4.068498,0.000000,29.710734,45.735721,0.000000,13.387576,339.750265,1.67,8.98,1.87,142.042795,1.94,1.693819,1.78,3.358207,0.21,0.000000,3.387639,336.028028,0.24,0.00,2.566393,1.283197,0.000000,1.853390,1.858043,1.866966,0.93,2.290725,0.000000,1.788485,0.90,0.000000,12.449655,1.874035,0.93,1.269510,3.44,29.679659,0.000000,0.000000,0.000000,7.66,1.097871,1.311170,3.64,15.762673,2.92,2.819610,4.072013,0.000000,0.000000,0.000000,2.574826,2.10,0,0,0,0,0

13,03:00-03:15,0.000000,0.689930,0.000000,0.000000,0.000000,0.000000,117.887847,40.584386,92.331090,0.000000,0.000000,35.282808,46.773830,0.000000,141.748509,0.000000,0.000000,0.000000,6.249221,62.846385,123.684601,0.000000,10.280197,17.436898,363.266890,80.560066,0.000000,1.233475,36.418010,26.531747,0.000000,8.798246,3.938161,0.000000,10.741344,0.000000,1.657536,0.000000,4.068498,0.000000,29.710734,45.735721,0.000000,13.387576,339.750265,1.67,8.98,1.87,142.042795,1.94,1.693819,1.78,3.358207,0.10,0.000000,3.387639,336.028028,0.24,0.00,2.566393,1.283197,0.000000,1.853390,1.858043,1.866966,0.93,2.300896,0.000000,1.788485,0.90,0.000000,14.443459,1.874035,0.93,1.269510,3.44,29.679659,0.000000,0.000000,0.000000,7.66,1.097871,1.311170,3.64,15.762673,2.92,2.819610,4.072013,0.000000,0.000000,0.000000,2.574826,2.10,0,0,0,0,0

