Time,Block,NR/2023/13635/A,NR/2023/14898/A,NR/2023/12168/A,NR/2023/12592/A,NR/2023/12431/A,NR/2023/12052/A,NR/2023/12053/A,NR/2023/16392/C,NR/2023/12148/A,NR/2023/16368/D,NR/2023/14746/A,NR/2023/12591/A,WR/2023/18367/C,NR/2023/13862/A,NR/2023/16383/C,SR/2023/8819/C,SR/2023/8851/C,NR/2023/12167/A,NR/2023/14745/A,NR/2023/12422/A,NR/2023/15402/F,NR/2023/15309/F,NR/2023/14737/A,NR/2023/12347/A,NR/2023/15057/F,NR/2023/16369/D,NR/2023/16385/C,NR/2023/16190/F,NR/2023/16386/C,NR/2023/14895/A,NR/2023/16389/C,NR/2023/16388/C,Total
,,NVVNL,MANIKARAN,APPCPL,NVVNL,TPTCL,KEIPL,KEIPL,IEXL,GMRETL,KEIPL,APPCPL,NVVNL,IEXL,MANIKARAN,GBHHPL,HPXL,IEXL,APPCPL,APPCPL,APPCPL,SJVNL,IEXL,NVVNL,STATKRAFT,ITCLH,NVVNL,TPDDL,NVVNL,PXIL,MANIKARAN,PXIL,HPXL,Total

,,NA,HIMACHAL PRADESH,UTTARAKHAND,NA,NA,MEGHALAYA,MEGHALAYA,NA,MEGHALAYA,UTTAR PRADESH,HIMACHAL PRADESH,NA,DELHI,TAMIL NADU,HIMACHAL PRADESH,DELHI,DELHI,MEGHALAYA,GOA,HIMACHAL PRADESH,UTTAR PRADESH,JAMMU AND KASHMIR,NA,TAMIL NADU,ANDHRA PRADESH,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,DELHI,NA,
,,KAMENG,HP,UTTARAKHAND,JPNIGRIE_JNSTPP,JPL-2,Meghalaya_Ben,Meghalaya_Ben,SCLTPS,Meghalaya_Ben,LAPL-UP,HP,JPNIGRIE_JNSTPP,BYPL,TANGEDCO,GBHHPL,BYPL,BYPL,Meghalaya_Ben,GOA_Beneficiary,HP,BCMLB001,SAPU1234,SKS Raigarh,TANGEDCO,ITCWIND,SOLAPUR_SOLAR,CHANJUII,KAMENG,Teesta_III,HP,BYPL,SEILP2,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,Gujarat,DELHI,DELHI,TELANGANA,TAMIL NADU,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,
,,BRPL,BRPL,BYPL,BRPL,BRPL,BYPL,BYPL,BRPL,BYPL,BYPL,BRPL,BRPL,TPLD,BRPL,DIAPL,TSSPDCL,TANGEDCO,BYPL,BRPL,BYPL,NDMC,MES (Delhi),NDMC,BYPL,ITCLH,MES (Delhi),TPDDL,TPDDL,BRPL,BRPL,NPCL(UP),BRPL,
,,North East-East-North,North-North,North-North,West-North,West-North,North East-East-North,North East-East-North,North-North,North East-East-North,North-North,North-North,West-North,North-East-West,South-East-North,North-North,North-East-South,North-East-South,North East-East-North,West-North,North-North,North-North,North-North,West-North,South-West-North,South-West-North,West-North,North-North,North East-East-North,East-North,North-North,North-North,South-East-North,
1,00:00-00:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,6.060000,50.00,150.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.870000,0,17.130000,193.460000,96.730000,95.760000,0.000000,0.000000,1491.78

2,00:15-00:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,0.000000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,6.060000,50.00,150.00,24.180000,24.180000,38.010000,0.000000,4.840000,33.860000,98.660000,0.870000,0,17.130000,193.460000,96.730000,95.760000,0.000000,0.000000,1491.78
