Block,Time,KOTESHWR,RIHAND1,UNCHAHAR2,RAPPC,TEHRI,DULHASTI,CHAMERA1,CHAMERA3,UNCHAHAR3,ANTA_LF,RAPPB,DADRI_GF,AURY_CRF,NAPP,ANTA_CRF,UNCHAHAR4,BSIUL,SALAL,SINGRAULI,PARBATI3,TANDA2,URI,DHAULIGNGA,UNCHAHAR1,JHAJJAR,AURY_GF,KISHANGANGA,ANTA_RF,RAMPUR,DADRI_RF,RIHAND2,KOLDAM,NJPC,TANAKPUR,RIHAND3,DADRT2,AURY_RF,DADRI_CRF,URI2,SINGRAULI_HYDRO,ANTA_GF,DADRI_LF,SEWA2,AURY_LF,FSTPP I & II,SASAN,TALA,CHAMERA2,BRBCL,KHSTPP-II,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,37.643498,93.212528,41.421380,65.137212,60.608536,56.832057,26.986011,33.451935,23.663276,0.000000,0.000000,0.000000,0.000000,47.167510,0.000000,2.967636,6.262576,80.350906,126.067383,4.102917,5.142122,39.230419,41.812106,20.187387,212.961685,0.000000,8.010361,0.000000,6.478393,0.000000,119.454552,9.807271,172.835941,12.425751,125.142521,661.154676,0.000000,0.000000,29.158698,1.164790,0.000000,0.000000,0.000000,0.000000,13.733720,334.786796,9.176622,46.579236,14.406000,50.952646,30.896164,0,0,0,0,0

2,00:15-00:30,37.643498,93.212528,41.421380,65.137212,60.608536,56.832057,26.986011,33.451935,23.663276,0.000000,0.000000,0.000000,0.000000,47.167510,0.000000,2.967636,6.262576,80.350906,126.067383,4.102917,5.142122,39.230419,41.812106,20.187387,259.453387,0.000000,8.010361,0.000000,6.478393,0.000000,119.454552,9.807271,172.835941,12.425751,125.142521,661.154676,0.000000,0.000000,29.158698,1.164790,0.000000,0.000000,0.000000,0.000000,13.733720,335.155590,9.176622,46.579236,14.406000,59.696643,30.896164,0,0,0,0,0

3,00:30-00:45,37.643498,93.212528,41.421380,65.137212,60.608536,56.832057,26.986011,33.451935,23.663276,0.000000,0.000000,0.000000,0.000000,47.167510,0.000000,2.967636,6.262576,80.350906,126.067383,4.102917,5.142122,39.230419,41.812106,20.187387,259.453387,0.000000,8.010361,0.000000,6.478393,0.000000,119.454552,9.807271,172.835941,12.425751,125.142521,661.154676,0.000000,0.000000,36.832039,1.164790,0.000000,0.000000,0.000000,0.000000,13.733720,335.155590,9.176622,46.579236,14.406000,60.378667,30.896164,0,0,0,0,0

4,00:45-01:00,37.643498,93.212528,41.421380,65.137212,60.608536,56.832057,26.986011,33.451935,23.663276,0.000000,0.000000,0.000000,0.000000,47.167510,0.000000,2.967636,6.262576,80.350906,126.067383,4.102917,5.142122,39.230419,41.812106,20.187387,259.453387,0.000000,8.010361,0.000000,6.478393,0.000000,119.454552,9.807271,172.835941,12.425751,125.142521,661.154676,0.000000,0.000000,36.832039,1.164790,0.000000,0.000000,0.000000,0.000000,13.733720,335.155590,9.176622,46.579236,14.406000,60.378667,30.896164,0,0,0,0,0

5,01:00-01:15,37.643498,93.212528,41.421380,65.137212,60.608536,56.832057,26.986011,33.451935,23.663276,0.000000,0.000000,0.000000,0.000000,47.167510,0.000000,2.967636,6.262576,80.350906,126.067383,4.102917,5.142122,39.230419,41.812106,20.187387,259.453387,0.000000,8.010361,0.000000,6.478393,0.000000,119.454552,9.807271,172.835941,12.425751,125.142521,661.154676,0.000000,0.000000,36.832039,1.164790,0.000000,0.000000,0.000000,0.000000,13.733720,335.155590,9.317801,46.579236,13.829760,60.378667,30.896164,0,0,0,0,0

6,01:15-01:30,37.643498,93.212528,41.421380,65.137212,60.608536,56.832057,26.986011,33.451935,23.663276,0.000000,0.000000,0.000000,0.000000,47.167510,0.000000,2.967636,6.262576,80.350906,126.067383,4.102917,5.142122,39.230419,41.812106,20.187387,259.453387,0.000000,8.010361,0.000000,6.478393,0.000000,119.454552,9.807271,172.835941,12.425751,125.142521,661.154676,0.000000,0.000000,36.832039,1.164790,0.000000,0.000000,0.000000,0.000000,13.733720,335.155590,9.317801,46.579236,13.042232,60.378667,30.896164,0,0,0,0,0

7,01:30-01:45,37.643498,93.212528,41.421380,65.137212,60.608536,56.832057,26.986011,33.451935,23.663276,0.000000,0.000000,0.000000,0.000000,47.167510,0.000000,2.967636,6.262576,80.350906,126.067383,4.102917,5.142122,39.230419,41.812106,19.810075,259.452060,0.000000,8.010361,0.000000,6.478393,0.000000,119.454552,9.807271,172.835941,11.564561,125.142521,661.154676,0.000000,0.000000,36.832039,1.164790,0.000000,0.000000,0.000000,0.000000,13.733720,335.155590,9.317801,46.579236,11.755296,81.699547,30.896164,0,0,0,0,0

8,01:45-02:00,37.643498,93.212528,41.421380,65.137212,60.608536,56.832057,26.986011,33.451935,23.663276,0.000000,0.000000,0.000000,0.000000,47.167510,0.000000,2.967636,6.262576,80.350906,126.067383,4.102917,5.142122,39.230419,41.812106,19.810075,259.452060,0.000000,8.010361,0.000000,6.478393,0.000000,119.454552,9.807271,172.835941,11.564561,125.142521,661.154676,0.000000,0.000000,36.832039,1.164790,0.000000,0.000000,0.000000,0.000000,13.733720,335.155590,9.317801,46.579236,11.371136,83.524307,30.896164,0,0,0,0,0

