Block,Time,BSIUL,TANDA2,RAPPC,PARBATI3,ANTA_CRF,KOLDAM,RAPPB,KISHANGANGA,UNCHAHAR2,URI,ANTA_GF,DADRI_CRF,DULHASTI,DHAULIGNGA,AURY_GF,NJPC,UNCHAHAR1,RIHAND2,JHAJJAR,AURY_LF,CHAMERA3,UNCHAHAR4,ANTA_LF,ANTA_RF,TANAKPUR,SEWA2,KOTESHWR,RIHAND3,DADRT2,AURY_RF,KUDGI,SALAL,CHAMERA2,TEHRI,AURY_CRF,DADRI_LF,CHAMERA1,SINGRAULI_HYDRO,RIHAND1,SINGRAULI,DADRI_GF,URI2,SASAN,DADRI_RF,UNCHAHAR3,RAMPUR,NAPP,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,6.338835,1.347048,54.578451,0.000000,0.000000,0.587361,0.000000,1.408538,41.637960,47.516602,0.000000,0.000000,50.282028,9.257700,0.000000,67.082579,20.074237,115.667448,424.210109,0.000000,29.570778,0.783432,0.000000,9.968060,1.734576,16.044749,16.333011,121.185604,665.674446,18.370126,82.61,51.698774,40.491409,25.412092,0.000000,0.000000,40.765623,0.976282,90.259104,137.342400,0.000000,33.308487,405.034344,1.624896,25.841443,0.764639,29.676487,20.050056,0.000000,141.463446,39.335057,14.508048,0,0,0,0,0

2,00:15-00:30,6.338835,1.347048,54.578451,0.000000,0.000000,0.587361,0.000000,1.408538,41.637960,47.516602,0.000000,0.000000,50.282028,9.257700,0.000000,67.082579,20.074237,115.667448,424.210109,0.000000,29.570778,0.783432,0.000000,9.968060,1.734576,16.044749,16.333011,121.185604,665.674446,18.370126,80.67,51.698774,40.491409,25.412092,0.000000,0.000000,40.765623,0.976282,90.259104,137.342400,0.000000,33.308487,405.034344,1.624896,25.841443,0.764639,29.676487,20.050056,0.000000,141.463446,39.335057,14.508048,0,0,0,0,0

3,00:30-00:45,6.338835,1.347048,54.578451,0.000000,0.000000,0.587361,0.000000,1.408538,41.637960,47.516602,0.000000,0.000000,50.282028,9.257700,0.000000,57.499353,20.074237,115.667448,424.210109,0.000000,29.570778,0.783432,0.000000,9.968060,1.734576,16.044749,16.333011,121.185604,665.674446,18.370126,77.77,51.698774,40.491409,25.412092,0.000000,0.000000,40.765623,0.976282,90.259104,137.342400,0.000000,33.308487,405.034344,1.624896,25.841443,0.655405,29.676487,20.050056,0.000000,141.463446,39.335057,13.733272,0,0,0,0,0

4,00:45-01:00,6.338835,1.347048,54.578451,0.000000,0.000000,0.587361,0.000000,1.408538,41.637960,51.253862,0.000000,0.000000,50.282028,9.257700,0.000000,38.332902,20.074237,115.667448,424.210109,0.000000,29.570778,0.783432,0.000000,9.968060,1.734576,16.044749,16.333011,121.185604,665.674446,18.370126,75.84,51.698774,40.491409,25.412092,0.000000,0.000000,40.765623,0.976282,90.259104,137.342400,0.000000,33.308487,405.034344,1.624896,25.841443,0.436936,29.676487,20.050056,0.000000,141.463446,39.335057,13.001487,0,0,0,0,0

5,01:00-01:15,6.338835,1.347048,54.578451,0.000000,0.000000,0.000000,0.000000,1.408538,41.637960,51.253862,0.000000,0.000000,50.282028,9.257700,0.000000,38.332902,20.074237,115.667448,424.210109,0.000000,29.570778,0.783432,0.000000,9.968060,1.734576,16.044749,16.333011,121.185604,665.674446,18.370126,72.97,51.698774,40.491409,25.412092,0.000000,0.000000,40.765623,0.976282,90.259104,137.342400,0.000000,33.308487,405.034344,1.624896,25.841443,0.436936,29.676487,20.050056,0.000000,141.463446,40.900292,14.508048,0,0,0,0,0

